,Rank,"Player (yrs, age)",Strikeouts,Bats
0,1.,"Chris Davis (13, 34)",1852,L
1,2.,"Justin Upton (14, 32)",1841,R
2,3.,"Miguel Cabrera (18, 37)",1812,R
3,4.,"Matt Kemp (15, 35)",1641,R
4,5.,"Nelson Cruz (16, 39)",1625,R
5,6.,"Shin-Soo Choo (16, 37)",1579,L
6,7.,"Jay Bruce (13, 33)",1559,L
7,8.,"Alex Gordon (14, 36)",1535,L
8,9.,"Evan Longoria (13, 34)",1472,R
9,10.,"Edwin Encarnacion (16, 37)",1426,R
10,11.,"Ian Desmond (11, 34)",1402,R
11,11.,"Giancarlo Stanton (11, 30)",1402,R
12,13.,"Ryan Braun (14, 36)",1363,R
13,14.,"Joey Votto (14, 36)",1354,L
14,15.,"Dexter Fowler (13, 34)",1320,B
15,16.,"Ryan Zimmerman (15, 35)",1307,R
16,17.,"Albert Pujols (20, 40)",1304,R
17,18.,"Andrew McCutchen (12, 33)",1286,R
18,19.,"Paul Goldschmidt (10, 32)",1268,R
19,20.,"Asdrubal Cabrera (14, 34)",1250,B
20,21.,"Carlos Gonzalez (12, 34)",1240,L
21,22.,"Nick Markakis (15, 36)",1230,L
22,23.,"Freddie Freeman (11, 30)",1205,L
23,24.,"Robinson Cano (16, 37)",1189,L
24,25.,"Mike Trout (10, 28)",1174,R
25,26.,"Brett Gardner (13, 36)",1145,L
26,27.,"J.D. Martinez (10, 32)",1129,R
27,28.,"Justin Smoak (11, 33)",1122,B
28,29.,"Todd Frazier (10, 34)",1079,R
29,30.,"Carlos Santana (11, 34)",1056,B
30,31.,"Bryce Harper (9, 27)",1055,L
31,32.,"Eric Hosmer (10, 30)",1047,L
32,33.,"Starlin Castro (11, 30)",1046,R
33,34.,"Alex Avila (12, 33)",1031,L
34,35.,"Chris Iannetta (14, 37)",1024,R
35,36.,"Brandon Belt (10, 32)",1021,L
36,37.,"Jason Heyward (11, 30)",1001,L
37,38.,"Matt Carpenter (10, 34)",995,L
38,39.,"Khris Davis (8, 32)",986,R
39,40.,"Brandon Crawford (10, 33)",984,L
40,41.,"Brian Dozier (9, 33)",973,R
41,42.,"Elvis Andrus (12, 31)",962,R
42,43.,"Kyle Seager (10, 32)",959,L
43,44.,"Chris Carter (8, 33)",951,R
44,44.,"Jason Kipnis (10, 33)",951,L
45,46.,"Neil Walker (12, 34)",931,B
46,47.,"Matthew Joyce (13, 35)",919,L
47,48.,"Mitch Moreland (11, 34)",917,L
48,49.,"Kole Calhoun (9, 32)",912,L
49,50.,"Nicholas Castellanos (8, 28)",909,R
50,50.,"Josh Donaldson (10, 34)",909,R
51,50.,"Cameron Maybin (14, 33)",909,R
52,53.,"Christian Yelich (8, 28)",908,L
53,54.,"Wil Myers (8, 29)",894,R
54,55.,"Jason Castro (10, 33)",876,L
55,56.,"Marcell Ozuna (8, 29)",874,R
56,57.,"Jeff Mathis (16, 37)",867,R
57,58.,"Eugenio Suarez (7, 28)",861,R
58,59.,"Anthony Rizzo (10, 30)",858,L
59,60.,"Jonathan Villar (8, 29)",854,B
60,61.,"Starling Marte (9, 31)",853,R
61,62.,"Tyler Flowers (12, 34)",852,R
62,63.,"Mike Zunino (8, 29)",849,R
63,64.,"Matt Wieters (12, 34)",847,B
64,65.,"José Abreu (7, 33)",835,R
65,66.,"Manny Machado (9, 27)",834,R
66,66.,"Miguel Sano (6, 27)",834,R
67,68.,"Yasmani Grandal (9, 31)",831,B
68,69.,"Jackie Bradley Jr. (8, 30)",828,L
69,70.,"Yadier Molina (17, 37)",803,R
70,71.,"Charlie Blackmon (10, 33)",801,L
71,72.,"Rougned Odor (7, 26)",799,L
72,73.,"George Springer (7, 30)",785,R
73,74.,"Freddy Galvis (9, 30)",776,B
74,75.,"Sean Rodriguez (13, 35)",775,R
75,76.,"Kris Bryant (6, 28)",773,R
76,77.,"Lorenzo Cain (11, 34)",770,R
77,78.,"Javier Baez (7, 27)",769,R
78,79.,"Josh Reddick (12, 33)",760,L
79,80.,"Logan Forsythe (10, 33)",757,R
80,81.,"Xander Bogaerts (8, 27)",756,R
81,81.,"Avisail Garcia (9, 29)",756,R
82,83.,"Mike Moustakas (10, 31)",752,L
83,83.,"Jonathan Schoop (8, 28)",752,R
84,85.,"Randal Grichuk (7, 28)",749,R
85,86.,"Jed Lowrie (12, 36)",748,B
86,87.,"Yoenis Céspedes (8, 34)",742,R
87,88.,"Logan Morrison (11, 32)",740,L
88,89.,"Pablo Sandoval (13, 33)",732,B
89,90.,"Marcus Semien (8, 29)",731,R
90,91.,"Trevor Story (5, 27)",726,R
91,92.,"Yan Gomes (9, 32)",716,R
92,93.,"Jon Jay (11, 35)",714,L
93,94.,"Eduardo Escobar (10, 31)",712,B
94,95.,"Daniel Murphy (12, 35)",709,L
95,96.,"Welington Castillo (10, 33)",691,R
96,97.,"DJ LeMahieu (10, 31)",688,R
97,98.,"Nolan Arenado (8, 29)",684,R
98,99.,"Marwin Gonzalez (9, 31)",680,B
99,99.,"Brad Miller (8, 30)",680,L
