,Rank,"Player (yrs, age)",Double Plays Grounded Into,Bats
0,1.,"Albert Pujols (20, 40)",399,R
1,2.,"Miguel Cabrera (18, 37)",321,R
2,3.,"Robinson Cano (16, 37)",284,L
3,4.,"Yadier Molina (17, 37)",261,R
4,5.,"Nick Markakis (15, 36)",214,L
5,6.,"Ryan Zimmerman (15, 35)",203,R
6,7.,"Edwin Encarnacion (16, 37)",185,R
7,8.,"Matt Kemp (15, 35)",184,R
8,9.,"Evan Longoria (13, 34)",183,R
9,10.,"Ryan Braun (14, 36)",179,R
10,11.,"Starlin Castro (11, 30)",171,R
11,12.,"Asdrubal Cabrera (14, 34)",169,B
12,13.,"Elvis Andrus (12, 31)",161,R
13,14.,"Dustin Pedroia (14, 36)",154,R
14,15.,"Joey Votto (14, 36)",151,L
15,16.,"Jose Altuve (10, 30)",149,R
16,17.,"Buster Posey (11, 33)",148,R
17,18.,"Nelson Cruz (16, 39)",147,R
18,18.,"Pablo Sandoval (13, 33)",147,B
19,20.,"Andrelton Simmons (9, 30)",144,R
20,21.,"Manny Machado (9, 27)",141,R
21,22.,"Carlos Santana (11, 34)",138,B
22,22.,"Kurt Suzuki (14, 36)",138,R
23,24.,"Eric Hosmer (10, 30)",137,L
24,25.,"Jonathan Lucroy (11, 34)",136,R
25,25.,"Wilson Ramos (11, 32)",136,R
26,27.,"Ian Desmond (11, 34)",132,R
27,28.,"Salvador Perez (9, 30)",131,R
28,29.,"DJ LeMahieu (10, 31)",130,R
29,29.,"Justin Upton (14, 32)",130,R
30,31.,"J.D. Martinez (10, 32)",129,R
31,32.,"Daniel Murphy (12, 35)",124,L
32,33.,"Nolan Arenado (8, 29)",121,R
33,34.,"José Abreu (7, 33)",120,R
34,35.,"Michael Brantley (12, 33)",116,L
35,36.,"Freddie Freeman (11, 30)",115,L
36,37.,"Paul Goldschmidt (10, 32)",114,R
37,38.,"Alex Gordon (14, 36)",110,L
38,38.,"Justin Smoak (11, 33)",110,B
39,40.,"Erick Aybar (12, 36)",107,B
40,41.,"Anthony Rizzo (10, 30)",104,L
41,42.,"Jorge Cantu (8, 38)",102,R
42,42.,"Matt Wieters (12, 34)",102,B
43,44.,"Shin-Soo Choo (16, 37)",101,L
44,44.,"Mike Moustakas (10, 31)",101,L
45,46.,"Lorenzo Cain (11, 34)",100,R
46,46.,"Kyle Seager (10, 32)",100,L
47,48.,"Jay Bruce (13, 33)",99,L
48,48.,"Jean Segura (9, 30)",99,R
49,50.,"Andrew McCutchen (12, 33)",98,R
50,51.,"Khris Davis (8, 32)",97,R
51,51.,"Neil Walker (12, 34)",97,B
52,53.,"Brandon Crawford (10, 33)",96,L
53,54.,"Giancarlo Stanton (11, 30)",95,R
54,55.,"Yonder Alonso (10, 33)",94,L
55,55.,"Josh Donaldson (10, 34)",94,R
56,55.,"Todd Frazier (10, 34)",94,R
57,58.,"Carlos Gonzalez (12, 34)",93,L
58,59.,"Mitch Moreland (11, 34)",92,L
59,59.,"Justin Turner (12, 35)",92,R
60,61.,"Marcell Ozuna (8, 29)",91,R
61,61.,"Jonathan Schoop (8, 28)",91,R
62,63.,"Jon Jay (11, 35)",90,L
63,64.,"Gordon Beckham (11, 33)",89,R
64,64.,"Brian Dozier (9, 33)",89,R
65,66.,"Adeiny Hechavarria (9, 31)",88,R
66,67.,"Xander Bogaerts (8, 27)",87,R
67,67.,"Cameron Maybin (14, 33)",87,R
68,69.,"Jason Heyward (11, 30)",86,L
69,70.,"Yasmani Grandal (9, 31)",85,B
70,70.,"Christian Yelich (8, 28)",85,L
71,72.,"Chris Iannetta (14, 37)",83,R
72,73.,"Bryce Harper (9, 27)",81,L
73,73.,"Jed Lowrie (12, 36)",81,B
74,75.,"Alex Avila (12, 33)",79,L
75,76.,"Freddy Galvis (9, 30)",77,B
76,76.,"Jedd Gyorko (8, 31)",77,R
77,78.,"Maikel Franco (7, 27)",76,R
78,78.,"Avisail Garcia (9, 29)",76,R
79,78.,"Jason Kipnis (10, 33)",76,L
80,81.,"Marwin Gonzalez (9, 31)",75,B
81,82.,"Matthew Joyce (13, 35)",74,L
82,82.,"Starling Marte (9, 31)",74,R
83,84.,"Logan Forsythe (10, 33)",73,R
84,84.,"Eugenio Suarez (7, 28)",73,R
85,86.,"Jordy Mercer (9, 33)",72,R
86,87.,"Zack Cozart (9, 34)",71,R
87,87.,"Wil Myers (8, 29)",71,R
88,87.,"Josh Reddick (12, 33)",71,L
89,90.,"Stephen Piscotty (6, 29)",70,R
90,91.,"Nicholas Castellanos (8, 28)",69,R
91,92.,"Logan Morrison (11, 32)",68,L
92,93.,"Welington Castillo (10, 33)",67,R
93,93.,"Yoenis Céspedes (8, 34)",67,R
94,93.,"Yan Gomes (9, 32)",67,R
95,93.,"Francisco Lindor (6, 26)",67,B
96,97.,"Kole Calhoun (9, 32)",66,L
97,97.,"José Iglesias (9, 30)",66,R
98,97.,"Anthony Rendon (8, 30)",66,R
99,100.,"Wilmer Flores (8, 28)",64,R
100,100.,"Eduardo Nunez (11, 33)",64,R
101,100.,"Tommy Pham (7, 32)",64,R
102,100.,"Kevin Pillar (8, 31)",64,R
103,100.,"Miguel Rojas (7, 31)",64,R
104,100.,"Marcus Semien (8, 29)",64,R
