,Rank,"Player (yrs, age)",Range Factor/Game as 1B,Throws
0,1.,"Albert Pujols (20, 40)",9.378,R
1,2.,"Paul Goldschmidt (10, 32)",9.244,R
2,3.,"José Abreu (7, 33)",8.800,R
3,4.,"Anthony Rizzo (10, 30)",8.787,L
4,5.,"Freddie Freeman (11, 30)",8.661,R
5,6.,"Miguel Cabrera (18, 37)",8.535,R
6,7.,"Chris Davis (13, 34)",8.524,R
7,8.,"Eric Hosmer (10, 30)",8.522,L
8,9.,"Joey Votto (14, 36)",8.512,R
9,10.,"Carlos Santana (11, 34)",8.436,R
10,11.,"Logan Morrison (11, 32)",8.307,L
11,12.,"Brandon Belt (10, 32)",8.255,L
12,13.,"Yonder Alonso (10, 33)",8.218,R
13,14.,"Justin Smoak (11, 33)",8.153,L
14,15.,"Matt Adams (9, 31)",8.132,R
15,16.,"Mitch Moreland (11, 34)",7.673,L
