,Rank,"Player (yrs, age)",Championship WPA (cWPA),Bats
0,1.,"Albert Pujols (20, 40)",48.61,R
1,2.,"Miguel Cabrera (18, 37)",42.03,R
2,3.,"Joey Votto (14, 36)",21.19,L
3,4.,"Paul Goldschmidt (10, 32)",21.10,R
4,5.,"Mike Trout (10, 28)",20.63,R
5,6.,"Ryan Braun (14, 36)",18.64,R
6,7.,"Anthony Rizzo (10, 30)",18.00,L
7,8.,"Josh Donaldson (10, 34)",16.58,R
8,8.,"Bryce Harper (9, 27)",16.58,L
9,10.,"Freddie Freeman (11, 30)",16.24,L
10,11.,"Andrew McCutchen (12, 33)",16.13,R
11,12.,"Christian Yelich (8, 28)",15.16,L
12,13.,"Matt Carpenter (10, 34)",14.20,L
13,14.,"Buster Posey (11, 33)",13.60,R
14,15.,"Nelson Cruz (16, 39)",12.61,R
15,16.,"Robinson Cano (16, 37)",11.99,L
16,17.,"Mookie Betts (7, 27)",11.21,R
17,18.,"Justin Upton (14, 32)",11.01,R
18,19.,"Shin-Soo Choo (16, 37)",10.89,L
19,20.,"Yoenis Céspedes (8, 34)",10.78,R
20,21.,"Evan Longoria (13, 34)",10.67,R
21,22.,"Dustin Pedroia (14, 36)",10.62,R
22,23.,"Michael Brantley (12, 33)",10.17,L
23,24.,"Edwin Encarnacion (16, 37)",10.09,R
24,25.,"Carlos Santana (11, 34)",8.88,B
25,26.,"Justin Turner (12, 35)",8.87,R
26,27.,"Kris Bryant (6, 28)",8.73,R
27,28.,"Giancarlo Stanton (11, 30)",8.50,R
28,29.,"Jason Heyward (11, 30)",8.18,L
29,30.,"J.D. Martinez (10, 32)",8.05,R
30,31.,"Nolan Arenado (8, 29)",7.97,R
31,32.,"Brandon Belt (10, 32)",7.40,L
32,33.,"Brett Gardner (13, 36)",7.28,L
33,34.,"Chris Davis (13, 34)",6.94,L
34,35.,"Anthony Rendon (8, 30)",6.77,R
35,36.,"Charlie Blackmon (10, 33)",6.72,L
36,37.,"Daniel Murphy (12, 35)",6.60,L
37,38.,"Dexter Fowler (13, 34)",6.48,B
38,39.,"George Springer (7, 30)",6.40,R
39,40.,"Starling Marte (9, 31)",6.24,R
40,41.,"Cody Bellinger (4, 24)",6.20,L
41,42.,"Ryan Zimmerman (15, 35)",6.08,R
42,43.,"Eric Hosmer (10, 30)",5.95,L
43,44.,"Matt Kemp (15, 35)",5.70,R
44,45.,"Neil Walker (12, 34)",5.44,B
45,46.,"Alex Bregman (5, 26)",5.43,R
46,47.,"Jose Ramirez (8, 27)",4.87,B
47,48.,"Manny Machado (9, 27)",4.56,R
48,49.,"Carlos Gonzalez (12, 34)",4.51,L
49,50.,"Ian Desmond (11, 34)",4.36,R
50,51.,"Daniel Descalso (10, 33)",4.27,L
51,52.,"DJ LeMahieu (10, 31)",4.12,R
52,53.,"Matt Olson (5, 26)",4.10,L
53,54.,"Aaron Judge (5, 28)",4.09,R
54,54.,"David Peralta (7, 32)",4.09,L
55,56.,"Juan Soto (3, 21)",3.98,L
56,57.,"José Abreu (7, 33)",3.96,R
57,57.,"Eric Thames (6, 33)",3.96,L
58,59.,"Ronald Acuna Jr. (3, 22)",3.94,R
59,59.,"Mitch Moreland (11, 34)",3.94,L
60,61.,"Miguel Sano (6, 27)",3.93,R
61,62.,"Alex Avila (12, 33)",3.91,L
62,63.,"Max Muncy (5, 29)",3.89,L
63,64.,"Xander Bogaerts (8, 27)",3.87,R
64,65.,"Matt Chapman (4, 27)",3.78,R
65,66.,"Todd Frazier (10, 34)",3.72,R
66,66.,"Corey Seager (6, 26)",3.72,L
67,68.,"Pablo Sandoval (13, 33)",3.70,B
68,69.,"Matthew Joyce (13, 35)",3.54,L
69,70.,"Yadier Molina (17, 37)",3.34,R
70,71.,"Marcell Ozuna (8, 29)",3.29,R
71,72.,"Jose Altuve (10, 30)",3.27,R
72,73.,"Chris Taylor (7, 29)",3.22,R
73,74.,"Francisco Lindor (6, 26)",3.16,B
74,75.,"Lorenzo Cain (11, 34)",3.02,R
75,76.,"Mitch Haniger (4, 29)",3.00,R
76,77.,"Ramon Laureano (3, 25)",2.90,R
77,78.,"Jorge Polanco (7, 26)",2.86,B
78,79.,"Kole Calhoun (9, 32)",2.78,L
79,80.,"Tommy Edman (2, 25)",2.76,B
80,81.,"Andrew Benintendi (5, 25)",2.74,L
81,82.,"Max Kepler (6, 27)",2.70,L
82,82.,"Domingo Santana (7, 27)",2.70,R
83,84.,"Trevor Story (5, 27)",2.67,R
84,85.,"Carlos Correa (6, 25)",2.66,R
85,86.,"Jason Kipnis (10, 33)",2.62,L
86,87.,"Jose Martinez (5, 31)",2.58,R
87,88.,"Mike Yastrzemski (2, 29)",2.53,L
88,89.,"Tommy Pham (7, 32)",2.49,R
89,90.,"Jake Lamb (7, 29)",2.46,L
90,91.,"Elvis Andrus (12, 31)",2.42,R
91,92.,"Rhys Hoskins (4, 27)",2.41,R
92,93.,"Jay Bruce (13, 33)",2.33,L
93,94.,"Gregory Polanco (7, 28)",2.32,L
94,95.,"Khris Davis (8, 32)",2.26,R
95,95.,"Brandon Nimmo (5, 27)",2.26,L
96,95.,"Gleyber Torres (3, 23)",2.26,R
97,98.,"Nick Markakis (15, 36)",2.23,L
98,99.,"Austin Meadows (3, 25)",2.21,L
99,100.,"Matt Adams (9, 31)",2.17,L
100,100.,"Alec Bohm (1, 23)",2.17,R
