,Rank,"Player (yrs, age)",Range Factor/9Inn as C,Throws
0,1.,"Yan Gomes (9, 32)",9.539,R
1,2.,"Yasmani Grandal (9, 31)",9.537,R
2,3.,"Martin Maldonado (10, 33)",9.073,R
3,4.,"Tucker Barnhart (7, 29)",9.029,R
4,5.,"Mike Zunino (8, 29)",8.914,R
5,6.,"Wilson Ramos (11, 32)",8.831,R
6,7.,"Tyler Flowers (12, 34)",8.810,R
7,8.,"J.T. Realmuto (7, 29)",8.628,R
8,9.,"Buster Posey (11, 33)",8.555,R
9,10.,"Jonathan Lucroy (11, 34)",8.414,R
10,11.,"Jeff Mathis (16, 37)",8.391,R
11,12.,"James McCann (7, 30)",8.380,R
12,13.,"Alex Avila (12, 33)",8.339,R
13,14.,"Jason Castro (10, 33)",8.298,R
14,15.,"Salvador Perez (9, 30)",8.200,R
15,16.,"Welington Castillo (10, 33)",8.171,R
16,17.,"Robinson Chirinos (9, 36)",8.123,R
17,18.,"Matt Wieters (12, 34)",8.084,R
18,19.,"Yadier Molina (17, 37)",7.955,R
19,20.,"Chris Iannetta (14, 37)",7.919,R
20,21.,"Kurt Suzuki (14, 36)",7.823,R
21,22.,"Drew Butera (11, 36)",7.761,R
