,Rank,"Player (yrs, age)",At Bats,Bats
0,1.,"Albert Pujols (20, 40)",10839,R
1,2.,"Miguel Cabrera (18, 37)",9153,R
2,3.,"Robinson Cano (16, 37)",8673,L
3,4.,"Nick Markakis (15, 36)",8302,L
4,5.,"Yadier Molina (17, 37)",7115,R
5,6.,"Edwin Encarnacion (16, 37)",7040,R
6,7.,"Ryan Braun (14, 36)",6622,R
7,8.,"Evan Longoria (13, 34)",6576,R
8,9.,"Ryan Zimmerman (15, 35)",6399,R
9,10.,"Nelson Cruz (16, 39)",6397,R
10,11.,"Alex Gordon (14, 36)",6391,L
11,12.,"Elvis Andrus (12, 31)",6366,R
12,13.,"Matt Kemp (15, 35)",6365,R
13,14.,"Justin Upton (14, 32)",6355,R
14,15.,"Asdrubal Cabrera (14, 34)",6323,B
15,16.,"Joey Votto (14, 36)",6274,L
16,17.,"Shin-Soo Choo (16, 37)",6087,L
17,18.,"Andrew McCutchen (12, 33)",6038,R
18,19.,"Dustin Pedroia (14, 36)",6031,R
19,20.,"Jay Bruce (13, 33)",5930,L
20,21.,"Starlin Castro (11, 30)",5833,R
21,22.,"Ian Desmond (11, 34)",5442,R
22,23.,"Eric Hosmer (10, 30)",5366,L
23,24.,"Brett Gardner (13, 36)",5350,L
24,25.,"Carlos Santana (11, 34)",5333,B
25,26.,"Daniel Murphy (12, 35)",5308,L
26,27.,"Kurt Suzuki (14, 36)",5205,R
27,28.,"Jose Altuve (10, 30)",5177,R
28,29.,"Erick Aybar (12, 36)",5175,B
29,30.,"Freddie Freeman (11, 30)",5167,L
30,31.,"Jason Heyward (11, 30)",5067,L
31,32.,"Carlos Gonzalez (12, 34)",5033,L
32,33.,"Dexter Fowler (13, 34)",5020,B
33,34.,"Chris Davis (13, 34)",4978,L
34,35.,"Kyle Seager (10, 32)",4958,L
35,36.,"Michael Brantley (12, 33)",4800,L
36,37.,"Paul Goldschmidt (10, 32)",4763,R
37,38.,"Anthony Rizzo (10, 30)",4617,L
38,39.,"Neil Walker (12, 34)",4583,B
39,40.,"Buster Posey (11, 33)",4575,R
40,41.,"Mike Trout (10, 28)",4539,R
41,42.,"Pablo Sandoval (13, 33)",4536,B
42,43.,"Manny Machado (9, 27)",4531,R
43,44.,"Jason Kipnis (10, 33)",4404,L
44,45.,"Brandon Crawford (10, 33)",4402,L
45,46.,"Todd Frazier (10, 34)",4357,R
46,47.,"Giancarlo Stanton (11, 30)",4329,R
47,48.,"Jean Segura (9, 30)",4327,R
48,49.,"Brian Dozier (9, 33)",4316,R
49,50.,"Charlie Blackmon (10, 33)",4313,L
50,51.,"Mike Moustakas (10, 31)",4273,L
51,52.,"Josh Reddick (12, 33)",4257,L
52,53.,"DJ LeMahieu (10, 31)",4242,R
53,54.,"Matt Carpenter (10, 34)",4196,L
54,55.,"J.D. Martinez (10, 32)",4183,R
55,56.,"Justin Smoak (11, 33)",4153,B
56,57.,"Jonathan Lucroy (11, 34)",4121,R
57,58.,"Nolan Arenado (8, 29)",4118,R
58,59.,"Bryce Harper (9, 27)",4069,L
59,60.,"Matt Wieters (12, 34)",3994,B
60,61.,"Jed Lowrie (12, 36)",3991,B
61,62.,"Andrelton Simmons (9, 30)",3954,R
62,63.,"Josh Donaldson (10, 34)",3922,R
63,64.,"Lorenzo Cain (11, 34)",3912,R
64,65.,"Starling Marte (9, 31)",3875,R
65,66.,"Dee Strange-Gordon (10, 32)",3847,L
66,67.,"Mitch Moreland (11, 34)",3842,L
67,68.,"Jon Jay (11, 35)",3824,L
68,69.,"Brandon Belt (10, 32)",3811,L
69,70.,"Cameron Maybin (14, 33)",3796,R
70,71.,"José Abreu (7, 33)",3787,R
71,72.,"Marcell Ozuna (8, 29)",3764,R
72,73.,"Xander Bogaerts (8, 27)",3748,R
73,74.,"Christian Yelich (8, 28)",3741,L
74,75.,"Kole Calhoun (9, 32)",3737,L
75,76.,"Salvador Perez (9, 30)",3687,R
76,77.,"Matthew Joyce (13, 35)",3663,L
77,78.,"Anthony Rendon (8, 30)",3613,R
78,79.,"Nicholas Castellanos (8, 28)",3578,R
79,80.,"Freddy Galvis (9, 30)",3565,B
80,81.,"Chris Iannetta (14, 37)",3563,R
81,82.,"Justin Turner (12, 35)",3521,R
82,83.,"Mookie Betts (7, 27)",3422,R
83,84.,"Gordon Beckham (11, 33)",3403,R
84,85.,"Yonder Alonso (10, 33)",3362,L
85,86.,"Eduardo Escobar (10, 31)",3359,B
86,87.,"Wilson Ramos (11, 32)",3341,R
87,88.,"Logan Morrison (11, 32)",3331,L
88,89.,"Didi Gregorius (9, 30)",3311,L
89,90.,"Khris Davis (8, 32)",3292,R
90,91.,"Kevin Pillar (8, 31)",3270,R
91,92.,"Marcus Semien (8, 29)",3266,R
92,93.,"Yoenis Céspedes (8, 34)",3191,R
93,94.,"Adam Eaton (9, 31)",3185,L
94,95.,"Rougned Odor (7, 26)",3158,L
95,96.,"Cesar Hernandez (8, 30)",3148,B
96,97.,"Francisco Lindor (6, 26)",3140,B
97,98.,"Jorge Cantu (8, 38)",3128,R
98,99.,"Logan Forsythe (10, 33)",3120,R
99,100.,"Zack Cozart (9, 34)",3088,R
