,Rank,"Player (yrs, age)",Double Plays Turned as OF,Throws
0,1.,"Matt Kemp (15, 35)",27,R
1,2.,"Jarrod Dyson (11, 35)",21,R
2,3.,"Jackie Bradley Jr. (8, 30)",20,R
3,3.,"Jay Bruce (13, 33)",20,L
4,3.,"Jason Heyward (11, 30)",20,L
5,6.,"Nick Markakis (15, 36)",18,L
6,7.,"Dexter Fowler (13, 34)",17,R
7,7.,"Andrew McCutchen (12, 33)",17,R
8,9.,"Gregory Polanco (7, 28)",16,L
9,10.,"Brett Gardner (13, 36)",15,L
10,11.,"Kole Calhoun (9, 32)",14,L
11,11.,"Alex Gordon (14, 36)",14,R
12,11.,"Josh Reddick (12, 33)",14,R
13,14.,"Charlie Blackmon (10, 33)",13,L
14,14.,"Michael Brantley (12, 33)",13,L
15,14.,"Ryan Braun (14, 36)",13,R
16,14.,"Billy Hamilton (8, 29)",13,R
17,18.,"Lorenzo Cain (11, 34)",12,R
18,18.,"Shin-Soo Choo (16, 37)",12,L
19,18.,"Jon Jay (11, 35)",12,L
20,18.,"George Springer (7, 30)",12,R
21,22.,"Nelson Cruz (16, 39)",11,R
22,22.,"Avisail Garcia (9, 29)",11,R
23,22.,"Max Kepler (6, 27)",11,L
24,22.,"J.D. Martinez (10, 32)",11,R
25,26.,"Adam Eaton (9, 31)",10,L
26,26.,"Bryce Harper (9, 27)",10,R
27,26.,"Aaron Hicks (8, 30)",10,R
28,26.,"Ender Inciarte (7, 29)",10,L
29,26.,"Jake Marisnick (8, 29)",10,R
30,26.,"Mike Trout (10, 28)",10,R
31,32.,"Mookie Betts (7, 27)",9,R
32,32.,"Odubel Herrera (5, 28)",9,R
33,32.,"Kevin Kiermaier (8, 30)",9,R
34,32.,"Cameron Maybin (14, 33)",9,R
35,32.,"Marcell Ozuna (8, 29)",9,R
36,32.,"Giancarlo Stanton (11, 30)",9,R
37,38.,"Delino DeShields (6, 27)",8,R
38,38.,"Matthew Joyce (13, 35)",8,R
39,38.,"Justin Upton (14, 32)",8,R
