,Rank,"Player (yrs, age)",Fielding % as LF (s.1901),Throws
0,1.,"Alex Gordon (14, 36)",.9940,R
1,2.,"Michael Brantley (12, 33)",.9934,L
2,3.,"Christian Yelich (8, 28)",.9925,R
3,4.,"Brett Gardner (13, 36)",.9915,L
4,5.,"Ryan Braun (14, 36)",.9889,R
5,6.,"Corey Dickerson (8, 31)",.9887,R
6,7.,"Khris Davis (8, 32)",.9831,R
7,8.,"Starling Marte (9, 31)",.9791,R
8,8.,"Justin Upton (14, 32)",.9791,R
9,10.,"Yoenis Céspedes (8, 34)",.9767,R
10,11.,"Eddie Rosario (6, 28)",.9761,R
