,Rank,"Player (yrs, age)",On-Base Plus Slugging,Bats
0,1.,"Mike Trout (10, 28)",.9996,R
1,2.,"Joey Votto (14, 36)",.9366,L
2,3.,"Miguel Cabrera (18, 37)",.9308,R
3,4.,"Albert Pujols (20, 40)",.9237,R
4,5.,"Paul Goldschmidt (10, 32)",.9144,R
5,6.,"Giancarlo Stanton (11, 30)",.9049,R
6,7.,"Bryce Harper (9, 27)",.9002,L
7,8.,"Mookie Betts (7, 27)",.8952,R
8,9.,"Freddie Freeman (11, 30)",.8921,L
9,10.,"Ryan Braun (14, 36)",.8906,R
10,11.,"Nolan Arenado (8, 29)",.8901,R
11,12.,"Kris Bryant (6, 28)",.8887,R
12,13.,"J.D. Martinez (10, 32)",.8833,R
13,14.,"Josh Donaldson (10, 34)",.8771,R
14,15.,"Nelson Cruz (16, 39)",.8762,R
15,16.,"José Abreu (7, 33)",.8702,R
16,17.,"Christian Yelich (8, 28)",.8696,L
17,18.,"Charlie Blackmon (10, 33)",.8651,L
18,19.,"Anthony Rendon (8, 30)",.8620,R
19,20.,"Anthony Rizzo (10, 30)",.8568,L
20,21.,"Andrew McCutchen (12, 33)",.8543,R
21,22.,"George Springer (7, 30)",.8521,R
22,23.,"Jose Ramirez (8, 27)",.8485,B
23,24.,"Edwin Encarnacion (16, 37)",.8463,R
24,25.,"Robinson Cano (16, 37)",.8439,L
25,26.,"Carlos Gonzalez (12, 34)",.8430,L
26,27.,"Justin Turner (12, 35)",.8380,R
27,28.,"Francisco Lindor (6, 26)",.8333,B
28,29.,"Matt Carpenter (10, 34)",.8280,L
29,30.,"Buster Posey (11, 33)",.8263,R
30,31.,"Manny Machado (9, 27)",.8249,R
31,32.,"Yoenis Céspedes (8, 34)",.8240,R
32,33.,"Corey Dickerson (8, 31)",.8239,L
33,34.,"Shin-Soo Choo (16, 37)",.8237,L
34,35.,"Matt Kemp (15, 35)",.8210,R
35,36.,"Justin Upton (14, 32)",.8198,R
36,37.,"Jose Altuve (10, 30)",.8194,R
37,38.,"Ryan Zimmerman (15, 35)",.8180,R
38,39.,"Eugenio Suarez (7, 28)",.8149,R
39,40.,"Carlos Santana (11, 34)",.8122,B
40,41.,"Khris Davis (8, 32)",.8103,R
41,42.,"Brandon Belt (10, 32)",.8096,L
42,43.,"AJ Pollock (9, 32)",.8094,R
43,44.,"Evan Longoria (13, 34)",.8068,R
44,45.,"Xander Bogaerts (8, 27)",.8047,R
45,46.,"Dustin Pedroia (14, 36)",.8046,R
46,47.,"Marcell Ozuna (8, 29)",.8012,R
47,48.,"Daniel Murphy (12, 35)",.7963,L
48,49.,"Nicholas Castellanos (8, 28)",.7959,R
49,50.,"Michael Brantley (12, 33)",.7942,L
50,51.,"Yasmani Grandal (9, 31)",.7933,B
51,52.,"Starling Marte (9, 31)",.7912,R
52,53.,"DJ LeMahieu (10, 31)",.7873,R
53,54.,"Jay Bruce (13, 33)",.7831,L
54,55.,"Nick Markakis (15, 36)",.7806,L
55,56.,"Dexter Fowler (13, 34)",.7763,B
56,57.,"Wil Myers (8, 29)",.7762,R
57,58.,"Adam Eaton (9, 31)",.7754,L
58,58.,"Pablo Sandoval (13, 33)",.7754,B
59,60.,"Chris Davis (13, 34)",.7736,L
60,61.,"Matthew Joyce (13, 35)",.7718,L
61,62.,"Eric Hosmer (10, 30)",.7707,L
62,63.,"Kyle Seager (10, 32)",.7681,L
63,64.,"Mitch Moreland (11, 34)",.7675,L
64,65.,"Todd Frazier (10, 34)",.7671,R
65,66.,"Brian Dozier (9, 33)",.7665,R
66,67.,"Neil Walker (12, 34)",.7643,B
67,68.,"Lorenzo Cain (11, 34)",.7612,R
68,69.,"Jason Heyward (11, 30)",.7582,L
69,70.,"Asdrubal Cabrera (14, 34)",.7558,B
70,71.,"Wilson Ramos (11, 32)",.7551,R
71,72.,"Jorge Cantu (8, 38)",.7549,R
72,73.,"Kole Calhoun (9, 32)",.7527,L
73,74.,"Mike Moustakas (10, 31)",.7526,L
74,75.,"Jonathan Lucroy (11, 34)",.7514,R
75,76.,"Chris Iannetta (14, 37)",.7510,R
76,77.,"Josh Reddick (12, 33)",.7504,L
77,78.,"Jason Kipnis (10, 33)",.7496,L
78,79.,"Salvador Perez (9, 30)",.7490,R
79,80.,"Logan Morrison (11, 32)",.7488,L
80,81.,"Alex Gordon (14, 36)",.7484,L
81,82.,"Didi Gregorius (9, 30)",.7479,L
82,83.,"Jed Lowrie (12, 36)",.7477,B
83,84.,"Marcus Semien (8, 29)",.7472,R
84,85.,"Jonathan Schoop (8, 28)",.7468,R
85,86.,"Avisail Garcia (9, 29)",.7455,R
86,87.,"Brett Gardner (13, 36)",.7435,L
87,88.,"Ian Desmond (11, 34)",.7424,R
88,89.,"Alex Avila (12, 33)",.7419,L
89,90.,"Justin Smoak (11, 33)",.7404,B
90,91.,"Eduardo Escobar (10, 31)",.7386,B
91,92.,"Yadier Molina (17, 37)",.7367,R
92,93.,"Yonder Alonso (10, 33)",.7361,L
93,94.,"Cesar Hernandez (8, 30)",.7355,B
94,95.,"Jean Segura (9, 30)",.7344,R
95,96.,"Starlin Castro (11, 30)",.7329,R
96,97.,"Jackie Bradley Jr. (8, 30)",.7324,L
97,98.,"Marwin Gonzalez (9, 31)",.7293,B
98,99.,"Rougned Odor (7, 26)",.7278,L
99,100.,"Jonathan Villar (8, 29)",.7270,B
