,Rank,"Player (yrs, age)",Adj. Batting Wins,Bats
0,1.,"Albert Pujols (20, 40)",69.5,R
1,2.,"Miguel Cabrera (18, 37)",61.4,R
2,3.,"Mike Trout (10, 28)",49.5,R
3,4.,"Joey Votto (14, 36)",48.7,L
4,5.,"Ryan Braun (14, 36)",30.5,R
5,6.,"Paul Goldschmidt (10, 32)",30.3,R
6,7.,"Andrew McCutchen (12, 33)",30.0,R
7,8.,"Robinson Cano (16, 37)",29.9,L
8,9.,"Freddie Freeman (11, 30)",29.5,L
9,10.,"Nelson Cruz (16, 39)",28.2,R
10,11.,"Giancarlo Stanton (11, 30)",26.5,R
11,12.,"Bryce Harper (9, 27)",23.8,L
12,13.,"Edwin Encarnacion (16, 37)",23.6,R
13,14.,"Shin-Soo Choo (16, 37)",21.5,L
14,15.,"Josh Donaldson (10, 34)",20.5,R
15,16.,"Anthony Rizzo (10, 30)",20.4,L
16,17.,"J.D. Martinez (10, 32)",19.7,R
17,18.,"Christian Yelich (8, 28)",19.4,L
18,19.,"Buster Posey (11, 33)",19.3,R
19,20.,"Evan Longoria (13, 34)",18.6,R
20,21.,"José Abreu (7, 33)",18.5,R
21,22.,"Carlos Santana (11, 34)",17.9,B
22,23.,"Matt Kemp (15, 35)",17.3,R
23,24.,"Jose Altuve (10, 30)",17.2,R
24,24.,"Matt Carpenter (10, 34)",17.2,L
25,26.,"Mookie Betts (7, 27)",17.1,R
26,26.,"Justin Upton (14, 32)",17.1,R
27,28.,"Anthony Rendon (8, 30)",15.1,R
28,29.,"Justin Turner (12, 35)",14.9,R
29,30.,"Ryan Zimmerman (15, 35)",14.4,R
30,31.,"Kris Bryant (6, 28)",14.2,R
31,32.,"George Springer (7, 30)",13.7,R
32,33.,"Brandon Belt (10, 32)",13.2,L
33,34.,"Alex Bregman (5, 26)",12.8,R
34,35.,"Manny Machado (9, 27)",12.7,R
35,36.,"Nick Markakis (15, 36)",12.5,L
36,37.,"Dustin Pedroia (14, 36)",12.4,R
37,38.,"Nolan Arenado (8, 29)",11.8,R
38,39.,"Michael Brantley (12, 33)",11.7,L
39,40.,"Aaron Judge (5, 28)",11.1,R
40,41.,"Cody Bellinger (4, 24)",10.2,L
41,42.,"Yoenis Céspedes (8, 34)",10.1,R
42,43.,"Daniel Murphy (12, 35)",9.9,L
43,43.,"Kyle Seager (10, 32)",9.9,L
44,45.,"Jose Ramirez (8, 27)",9.6,B
45,46.,"Charlie Blackmon (10, 33)",9.1,L
46,46.,"Michael Conforto (6, 27)",9.1,L
47,48.,"Juan Soto (3, 21)",8.8,L
48,49.,"Carlos Correa (6, 25)",8.7,R
49,50.,"Corey Seager (6, 26)",8.6,L
50,51.,"Carlos Gonzalez (12, 34)",8.1,L
51,52.,"Khris Davis (8, 32)",8.0,R
52,52.,"Marcell Ozuna (8, 29)",8.0,R
53,54.,"Matthew Joyce (13, 35)",7.9,L
54,55.,"Francisco Lindor (6, 26)",7.7,B
55,56.,"Yasmani Grandal (9, 31)",7.5,B
56,57.,"Starling Marte (9, 31)",7.4,R
57,58.,"Pablo Sandoval (13, 33)",7.2,B
58,59.,"Xander Bogaerts (8, 27)",7.0,R
59,60.,"Tommy Pham (7, 32)",6.8,R
60,60.,"Neil Walker (12, 34)",6.8,B
61,62.,"Corey Dickerson (8, 31)",6.6,L
62,63.,"Eric Hosmer (10, 30)",6.1,L
63,64.,"Matt Chapman (4, 27)",5.8,R
64,64.,"Rhys Hoskins (4, 27)",5.8,R
65,66.,"Ronald Acuna Jr. (3, 22)",5.7,R
66,66.,"Asdrubal Cabrera (14, 34)",5.7,B
67,68.,"Brandon Nimmo (5, 27)",5.6,L
68,69.,"Jay Bruce (13, 33)",5.5,L
69,69.,"Matt Olson (5, 26)",5.5,L
70,69.,"Eugenio Suarez (7, 28)",5.5,R
71,72.,"Nicholas Castellanos (8, 28)",5.4,R
72,72.,"Adam Eaton (9, 31)",5.4,L
73,72.,"Miguel Sano (6, 27)",5.4,R
74,75.,"Jeff McNeil (3, 28)",5.2,L
75,75.,"Joc Pederson (7, 28)",5.2,L
76,77.,"Max Muncy (5, 29)",5.1,L
77,78.,"AJ Pollock (9, 32)",4.9,R
78,79.,"Josh Bell (5, 27)",4.8,B
79,79.,"Mitch Haniger (4, 29)",4.8,R
80,81.,"Wil Myers (8, 29)",4.7,R
81,81.,"David Peralta (7, 32)",4.7,L
82,83.,"Pete Alonso (2, 25)",4.5,R
83,83.,"Dexter Fowler (13, 34)",4.5,B
84,83.,"Todd Frazier (10, 34)",4.5,R
85,83.,"Luke Voit (4, 29)",4.5,R
86,87.,"Trey Mancini (4, 28)",4.2,R
87,87.,"Trea Turner (6, 27)",4.2,R
88,89.,"Brian Dozier (9, 33)",4.1,R
89,89.,"Trevor Story (5, 27)",4.1,R
90,91.,"Fernando Tatis Jr. (2, 21)",4.0,R
91,92.,"J.T. Realmuto (7, 29)",3.9,R
92,93.,"Mark Canha (6, 31)",3.8,R
93,93.,"Jorge Soler (7, 28)",3.8,R
94,95.,"Chris Davis (13, 34)",3.7,L
95,96.,"Jason Heyward (11, 30)",3.6,L
96,97.,"Kole Calhoun (9, 32)",3.5,L
97,97.,"Jed Lowrie (12, 36)",3.5,B
98,99.,"Yordan Álvarez (2, 23)",3.3,L
99,99.,"Gleyber Torres (3, 23)",3.3,R
