,Rank,"Player (yrs, age)",Runs Batted In,Bats
0,1.,"Albert Pujols (20, 40)",2100,R
1,2.,"Miguel Cabrera (18, 37)",1729,R
2,3.,"Robinson Cano (16, 37)",1302,L
3,4.,"Edwin Encarnacion (16, 37)",1261,R
4,5.,"Ryan Braun (14, 36)",1154,R
5,6.,"Nelson Cruz (16, 39)",1152,R
6,7.,"Nick Markakis (15, 36)",1046,L
7,8.,"Evan Longoria (13, 34)",1043,R
8,9.,"Matt Kemp (15, 35)",1031,R
9,10.,"Ryan Zimmerman (15, 35)",1015,R
10,11.,"Joey Votto (14, 36)",966,L
11,12.,"Justin Upton (14, 32)",959,R
12,13.,"Jay Bruce (13, 33)",948,L
13,14.,"Yadier Molina (17, 37)",932,R
14,15.,"Freddie Freeman (11, 30)",858,L
15,16.,"Andrew McCutchen (12, 33)",853,R
16,17.,"Paul Goldschmidt (10, 32)",828,R
17,18.,"Asdrubal Cabrera (14, 34)",827,B
18,19.,"Mike Trout (10, 28)",798,R
19,20.,"Carlos Santana (11, 34)",796,B
20,20.,"Giancarlo Stanton (11, 30)",796,R
21,22.,"Carlos Gonzalez (12, 34)",785,L
22,23.,"Shin-Soo Choo (16, 37)",782,L
23,24.,"Chris Davis (13, 34)",780,L
24,25.,"Eric Hosmer (10, 30)",770,L
25,26.,"Nolan Arenado (8, 29)",760,R
26,27.,"Anthony Rizzo (10, 30)",753,L
27,28.,"Alex Gordon (14, 36)",749,L
28,29.,"J.D. Martinez (10, 32)",738,R
29,30.,"Daniel Murphy (12, 35)",735,L
30,31.,"Dustin Pedroia (14, 36)",725,R
31,32.,"Ian Desmond (11, 34)",711,R
32,33.,"Kyle Seager (10, 32)",706,L
33,34.,"Kurt Suzuki (14, 36)",699,R
34,35.,"Buster Posey (11, 33)",673,R
35,36.,"José Abreu (7, 33)",671,R
36,37.,"Bryce Harper (9, 27)",668,L
37,38.,"Josh Donaldson (10, 34)",656,R
38,39.,"Manny Machado (9, 27)",645,R
39,40.,"Michael Brantley (12, 33)",640,L
40,40.,"Starlin Castro (11, 30)",640,R
41,42.,"Elvis Andrus (12, 31)",636,R
42,42.,"Todd Frazier (10, 34)",636,R
43,44.,"Pablo Sandoval (13, 33)",628,B
44,45.,"Neil Walker (12, 34)",609,B
45,46.,"Jason Heyward (11, 30)",601,L
46,47.,"Marcell Ozuna (8, 29)",594,R
47,48.,"Mitch Moreland (11, 34)",588,L
48,48.,"Mike Moustakas (10, 31)",588,L
49,50.,"Khris Davis (8, 32)",580,R
50,51.,"Anthony Rendon (8, 30)",577,R
51,52.,"Justin Smoak (11, 33)",570,B
52,53.,"Brandon Crawford (10, 33)",564,L
53,54.,"Brian Dozier (9, 33)",561,R
54,55.,"Jose Altuve (10, 30)",556,R
55,56.,"Matt Carpenter (10, 34)",555,L
56,57.,"Josh Reddick (12, 33)",554,L
57,58.,"Charlie Blackmon (10, 33)",553,L
58,59.,"Matt Wieters (12, 34)",550,B
59,60.,"Jason Kipnis (10, 33)",545,L
60,60.,"Jonathan Lucroy (11, 34)",545,R
61,62.,"Brett Gardner (13, 36)",539,L
62,63.,"Salvador Perez (9, 30)",535,R
63,64.,"Xander Bogaerts (8, 27)",531,R
64,65.,"Yoenis Céspedes (8, 34)",528,R
65,66.,"Christian Yelich (8, 28)",522,L
66,67.,"Dexter Fowler (13, 34)",516,B
67,68.,"Wilson Ramos (11, 32)",514,R
68,69.,"Mookie Betts (7, 27)",509,R
69,69.,"Jed Lowrie (12, 36)",509,B
70,71.,"Brandon Belt (10, 32)",502,L
71,71.,"Chris Iannetta (14, 37)",502,R
72,73.,"Matthew Joyce (13, 35)",496,L
73,74.,"Justin Turner (12, 35)",495,R
74,75.,"Nicholas Castellanos (8, 28)",494,R
75,76.,"Kole Calhoun (9, 32)",491,L
76,77.,"DJ LeMahieu (10, 31)",478,R
77,78.,"Jorge Cantu (8, 38)",476,R
78,79.,"Erick Aybar (12, 36)",473,B
79,80.,"Eugenio Suarez (7, 28)",468,R
80,81.,"Rougned Odor (7, 26)",458,L
81,81.,"George Springer (7, 30)",458,R
82,83.,"Didi Gregorius (9, 30)",457,L
83,84.,"Starling Marte (9, 31)",447,R
84,85.,"Eduardo Escobar (10, 31)",446,B
85,86.,"Yasmani Grandal (9, 31)",443,B
86,87.,"Jose Ramirez (8, 27)",437,B
87,88.,"Yonder Alonso (10, 33)",426,L
88,88.,"Logan Morrison (11, 32)",426,L
89,90.,"Wil Myers (8, 29)",417,R
90,91.,"Jonathan Schoop (8, 28)",415,R
91,92.,"Kris Bryant (6, 28)",414,R
92,93.,"Francisco Lindor (6, 26)",411,B
93,94.,"Lorenzo Cain (11, 34)",409,R
94,95.,"Andrelton Simmons (9, 30)",406,R
95,96.,"Jean Segura (9, 30)",401,R
96,97.,"Chris Carter (8, 33)",400,R
97,98.,"Matt Adams (9, 31)",397,L
98,98.,"Carlos Correa (6, 25)",397,R
99,100.,"Avisail Garcia (9, 29)",389,R
