,Rank,"Player (yrs, age)",WAR for Pitchers,Throws
0,1.,"Justin Verlander (16, 37)",72.3,R
1,2.,"Zack Greinke (17, 36)",67.1,R
2,3.,"Clayton Kershaw (13, 32)",67.0,L
3,4.,"Max Scherzer (13, 35)",60.6,R
4,5.,"Cole Hamels (15, 36)",58.4,L
5,6.,"Felix Hernandez (15, 34)",50.3,R
6,7.,"Bartolo Colon (21, 47)",47.8,R
7,8.,"Chris Sale (10, 31)",45.4,L
8,9.,"Jon Lester (15, 36)",45.0,L
9,10.,"David Price (12, 34)",39.7,L
10,11.,"Adam Wainwright (15, 38)",36.9,R
11,12.,"Jacob deGrom (7, 32)",35.9,R
12,13.,"Johnny Cueto (13, 34)",34.1,R
13,14.,"Corey Kluber (10, 34)",32.3,R
14,15.,"Stephen Strasburg (11, 31)",32.1,R
15,16.,"Madison Bumgarner (12, 30)",31.9,L
16,17.,"Gio Gonzalez (13, 34)",30.0,L
17,18.,"Anibal Sanchez (15, 36)",29.3,R
18,19.,"Jose Quintana (9, 31)",25.7,L
19,20.,"Gerrit Cole (8, 29)",25.5,R
20,21.,"Yu Darvish (8, 33)",25.3,R
21,22.,"Lance Lynn (9, 33)",25.0,R
22,23.,"Jake Arrieta (11, 34)",24.4,R
23,24.,"J.A. Happ (14, 37)",23.2,L
24,25.,"Kyle Hendricks (7, 30)",22.3,R
25,25.,"Aaron Nola (6, 27)",22.3,R
26,27.,"Dallas Keuchel (9, 32)",22.1,L
27,28.,"Carlos Carrasco (11, 33)",21.3,R
28,29.,"Jordan Zimmermann (12, 34)",20.6,R
29,30.,"Rick Porcello (12, 31)",19.8,R
30,31.,"Craig Kimbrel (11, 32)",19.4,R
31,32.,"Jhoulys Chacin (12, 32)",19.0,R
32,33.,"Sonny Gray (8, 30)",18.9,R
33,34.,"Julio Teheran (10, 29)",18.7,R
34,35.,"Joakim Soria (13, 36)",18.6,R
35,36.,"Tanner Roark (8, 33)",18.5,R
36,37.,"Patrick Corbin (8, 30)",18.1,L
37,38.,"Aroldis Chapman (11, 32)",17.8,L
38,38.,"Francisco Liriano (14, 36)",17.8,L
39,38.,"Mike Minor (9, 32)",17.8,L
40,41.,"Trevor Bauer (9, 29)",17.7,R
41,42.,"Danny Duffy (10, 31)",17.6,L
42,42.,"Masahiro Tanaka (7, 31)",17.6,R
43,44.,"Darren O'Day (13, 37)",17.1,R
44,45.,"Hyun Jin Ryu (7, 33)",16.5,L
45,46.,"Kenley Jansen (11, 32)",16.1,R
46,47.,"David Robertson (12, 35)",15.8,R
47,48.,"Ian Kennedy (14, 35)",15.6,R
48,49.,"Tyler Clippard (14, 35)",15.4,R
49,50.,"Rich Hill (16, 40)",15.1,L
50,51.,"Jeff Samardzija (13, 35)",14.7,R
51,52.,"Marcus Stroman (6, 29)",14.6,R
52,53.,"Noah Syndergaard (5, 27)",14.5,R
53,54.,"Mike Leake (10, 32)",14.2,R
54,55.,"Zack Britton (10, 32)",14.1,L
55,56.,"Carlos Martinez (8, 28)",13.9,R
56,57.,"Eduardo Rodriguez (5, 27)",13.6,L
57,58.,"Ivan Nova (11, 33)",13.5,R
58,59.,"Mike Clevinger (5, 29)",13.4,R
59,59.,"Joe Smith (13, 36)",13.4,R
60,61.,"Chris Archer (8, 31)",13.3,R
61,62.,"Kyle Freeland (4, 27)",13.0,L
62,62.,"German Marquez (5, 25)",13.0,R
63,62.,"James Paxton (8, 31)",13.0,L
64,65.,"Zack Wheeler (6, 30)",12.9,R
65,66.,"Alex Cobb (9, 32)",12.6,R
66,66.,"Mike Fiers (10, 35)",12.6,R
67,66.,"Greg Holland (10, 34)",12.6,R
68,69.,"Jake Odorizzi (9, 30)",12.5,R
69,70.,"Steve Cishek (11, 34)",12.2,R
70,71.,"Trevor Cahill (12, 32)",12.1,R
71,72.,"Alex Wood (8, 29)",12.0,L
72,73.,"Drew Pomeranz (10, 31)",11.9,L
73,73.,"Tony Watson (10, 35)",11.9,L
74,75.,"Mark Melancon (12, 35)",11.8,R
75,76.,"Luis Severino (5, 26)",11.7,R
76,77.,"Kevin Gausman (8, 29)",11.6,R
77,78.,"Brandon Morrow (12, 35)",11.5,R
78,79.,"Blake Snell (5, 27)",11.3,L
79,80.,"Dellin Betances (9, 32)",11.2,R
80,80.,"Michael Pineda (7, 31)",11.2,R
81,82.,"Wade Davis (12, 34)",11.1,R
82,83.,"Nathan Eovaldi (9, 30)",10.7,R
83,83.,"Jon Gray (6, 28)",10.7,R
84,83.,"Tommy Hunter (13, 33)",10.7,R
85,83.,"Jair Jurrjens (8, 34)",10.7,R
86,83.,"Adam Ottavino (10, 34)",10.7,R
87,88.,"Oliver Perez (18, 38)",10.6,L
88,89.,"Brett Anderson (12, 32)",10.5,L
89,89.,"Sergio Romo (13, 37)",10.5,R
90,91.,"Tyler Chatwood (9, 30)",10.4,R
91,91.,"Matt Harvey (8, 31)",10.4,R
92,93.,"Wade Miley (10, 33)",10.3,L
93,94.,"Kelvin Herrera (10, 30)",10.2,R
94,94.,"Charlie Morton (13, 36)",10.2,R
95,96.,"Drew Smyly (7, 31)",9.9,L
96,97.,"Zach Davies (6, 27)",9.8,R
97,98.,"Luis Castillo (4, 27)",9.6,R
98,99.,"Chase Anderson (7, 32)",9.4,R
99,99.,"Sean Doolittle (9, 33)",9.4,L
100,99.,"Kyle Gibson (8, 32)",9.4,R
