,Rank,"Player (yrs, age)",Singles,Bats
0,1.,"Albert Pujols (20, 40)",1889,R
1,2.,"Miguel Cabrera (18, 37)",1781,R
2,3.,"Robinson Cano (16, 37)",1686,L
3,4.,"Nick Markakis (15, 36)",1663,L
4,5.,"Yadier Molina (17, 37)",1453,R
5,6.,"Elvis Andrus (12, 31)",1316,R
6,7.,"Dustin Pedroia (14, 36)",1256,R
7,8.,"Joey Votto (14, 36)",1181,L
8,9.,"Starlin Castro (11, 30)",1159,R
9,10.,"Ryan Braun (14, 36)",1154,R
10,11.,"Matt Kemp (15, 35)",1146,R
11,12.,"Jose Altuve (10, 30)",1141,R
12,13.,"Asdrubal Cabrera (14, 34)",1096,B
13,14.,"Ryan Zimmerman (15, 35)",1091,R
14,15.,"Shin-Soo Choo (16, 37)",1085,L
15,15.,"Andrew McCutchen (12, 33)",1085,R
16,17.,"Alex Gordon (14, 36)",1070,L
17,18.,"Erick Aybar (12, 36)",1042,B
18,19.,"Daniel Murphy (12, 35)",1034,L
19,20.,"Evan Longoria (13, 34)",1030,R
20,21.,"Edwin Encarnacion (16, 37)",1028,R
21,22.,"Eric Hosmer (10, 30)",1024,L
22,23.,"Nelson Cruz (16, 39)",1017,R
23,24.,"Justin Upton (14, 32)",999,R
24,25.,"Michael Brantley (12, 33)",987,L
25,26.,"DJ LeMahieu (10, 31)",968,R
26,27.,"Buster Posey (11, 33)",961,R
27,28.,"Brett Gardner (13, 36)",951,L
28,29.,"Ian Desmond (11, 34)",937,R
29,30.,"Kurt Suzuki (14, 36)",925,R
30,31.,"Freddie Freeman (11, 30)",919,L
31,32.,"Jean Segura (9, 30)",911,R
32,33.,"Dee Strange-Gordon (10, 32)",904,L
33,34.,"Jason Heyward (11, 30)",890,L
34,35.,"Carlos Gonzalez (12, 34)",856,L
35,36.,"Charlie Blackmon (10, 33)",846,L
36,37.,"Dexter Fowler (13, 34)",839,B
37,38.,"Jon Jay (11, 35)",835,L
38,39.,"Pablo Sandoval (13, 33)",834,B
39,40.,"Paul Goldschmidt (10, 32)",821,R
40,41.,"Lorenzo Cain (11, 34)",819,R
41,42.,"Neil Walker (12, 34)",815,B
42,43.,"Jay Bruce (13, 33)",790,L
43,44.,"Manny Machado (9, 27)",786,R
44,44.,"Andrelton Simmons (9, 30)",786,R
45,46.,"Jonathan Lucroy (11, 34)",780,R
46,47.,"Mike Trout (10, 28)",770,R
47,48.,"Carlos Santana (11, 34)",768,B
48,49.,"Kyle Seager (10, 32)",767,L
49,50.,"Starling Marte (9, 31)",748,R
50,51.,"Jason Kipnis (10, 33)",737,L
51,52.,"Anthony Rizzo (10, 30)",734,L
52,53.,"Josh Reddick (12, 33)",733,L
53,54.,"Brandon Crawford (10, 33)",721,L
54,55.,"Christian Yelich (8, 28)",716,L
55,56.,"Xander Bogaerts (8, 27)",715,R
56,57.,"J.D. Martinez (10, 32)",704,R
57,58.,"Cameron Maybin (14, 33)",693,R
58,59.,"Nolan Arenado (8, 29)",682,R
59,60.,"Marcell Ozuna (8, 29)",678,R
60,61.,"José Abreu (7, 33)",669,R
61,62.,"Cesar Hernandez (8, 30)",664,B
62,63.,"Jed Lowrie (12, 36)",663,B
63,64.,"Justin Turner (12, 35)",662,R
64,65.,"Matt Wieters (12, 34)",655,B
65,66.,"Ender Inciarte (7, 29)",653,L
66,67.,"Matt Carpenter (10, 34)",649,L
67,68.,"Mike Moustakas (10, 31)",642,L
68,69.,"Bryce Harper (9, 27)",641,L
69,69.,"Salvador Perez (9, 30)",641,R
70,71.,"Wilson Ramos (11, 32)",639,R
71,72.,"Adam Eaton (9, 31)",638,L
72,73.,"Chris Davis (13, 34)",632,L
73,74.,"Anthony Rendon (8, 30)",631,R
74,75.,"Todd Frazier (10, 34)",612,R
75,76.,"Brian Dozier (9, 33)",611,R
76,77.,"Mookie Betts (7, 27)",609,R
77,78.,"Freddy Galvis (9, 30)",603,B
78,79.,"Josh Donaldson (10, 34)",601,R
79,80.,"Giancarlo Stanton (11, 30)",591,R
80,81.,"Yonder Alonso (10, 33)",589,L
81,81.,"Adeiny Hechavarria (9, 31)",589,R
82,83.,"Brandon Belt (10, 32)",588,L
83,84.,"José Iglesias (9, 30)",582,R
84,85.,"Didi Gregorius (9, 30)",581,L
85,86.,"Kole Calhoun (9, 32)",578,L
86,87.,"Mitch Moreland (11, 34)",576,L
87,88.,"Josh Harrison (10, 32)",572,R
88,89.,"Nicholas Castellanos (8, 28)",571,R
89,90.,"Avisail Garcia (9, 29)",568,R
90,91.,"Kevin Pillar (8, 31)",558,R
91,92.,"Justin Smoak (11, 33)",557,B
92,93.,"Francisco Lindor (6, 26)",552,B
93,94.,"Eduardo Nunez (11, 33)",551,R
94,95.,"Jorge Cantu (8, 38)",535,R
95,96.,"Gordon Beckham (11, 33)",533,R
96,96.,"Marwin Gonzalez (9, 31)",533,B
97,98.,"Eduardo Escobar (10, 31)",531,B
98,99.,"Emilio Bonifacio (12, 35)",528,B
99,99.,"Logan Forsythe (10, 33)",528,R
