,Rank,"Player (yrs, age)",Range Factor/9Inn as CF (s.1948),Throws
0,1.,"Lorenzo Cain (11, 34)",2.788,R
1,2.,"Jarrod Dyson (11, 35)",2.764,R
2,3.,"Kevin Kiermaier (8, 30)",2.758,R
3,4.,"Ender Inciarte (7, 29)",2.719,L
4,5.,"Juan Lagares (8, 31)",2.661,R
5,6.,"Cameron Maybin (14, 33)",2.630,R
6,7.,"Odubel Herrera (5, 28)",2.602,R
7,7.,"Mike Trout (10, 28)",2.602,R
8,9.,"Billy Hamilton (8, 29)",2.562,R
9,10.,"Brett Gardner (13, 36)",2.536,L
10,11.,"Kevin Pillar (8, 31)",2.520,R
11,12.,"Aaron Hicks (8, 30)",2.503,R
12,13.,"Jon Jay (11, 35)",2.485,L
13,14.,"Jake Marisnick (8, 29)",2.468,R
14,15.,"Jackie Bradley Jr. (8, 30)",2.448,R
15,16.,"Andrew McCutchen (12, 33)",2.341,R
16,17.,"AJ Pollock (9, 32)",2.321,R
17,18.,"Matt Kemp (15, 35)",2.287,R
18,19.,"Dexter Fowler (13, 34)",2.279,R
19,20.,"Charlie Blackmon (10, 33)",2.253,L
