,Rank,"Player (yrs, age)",Walks & Hits per IP,Throws
0,1.,"Clayton Kershaw (13, 32)",1.0034,L
1,2.,"Chris Sale (10, 31)",1.0346,L
2,3.,"Jacob deGrom (7, 32)",1.0473,R
3,4.,"Corey Kluber (10, 34)",1.0859,R
4,5.,"Stephen Strasburg (11, 31)",1.0882,R
5,6.,"Max Scherzer (13, 35)",1.1004,R
6,7.,"Kyle Hendricks (7, 30)",1.1047,R
7,8.,"Madison Bumgarner (12, 30)",1.1178,L
8,9.,"Gerrit Cole (8, 29)",1.1191,R
9,10.,"Masahiro Tanaka (7, 31)",1.1296,R
10,11.,"Justin Verlander (16, 37)",1.1342,R
11,12.,"David Price (12, 34)",1.1529,L
12,13.,"Zack Greinke (17, 36)",1.1582,R
13,14.,"Yu Darvish (8, 33)",1.1597,R
14,15.,"Cole Hamels (15, 36)",1.1827,L
15,16.,"Carlos Carrasco (11, 33)",1.1961,R
16,17.,"Johnny Cueto (13, 34)",1.1966,R
17,18.,"Felix Hernandez (15, 34)",1.2060,R
18,19.,"Josh Tomlin (11, 35)",1.2175,R
19,20.,"Jake Arrieta (11, 34)",1.2196,R
20,21.,"Sonny Gray (8, 30)",1.2200,R
21,22.,"Mike Minor (9, 32)",1.2227,L
22,23.,"Julio Teheran (10, 29)",1.2233,R
23,24.,"Adam Wainwright (15, 38)",1.2248,R
24,25.,"Jake Odorizzi (9, 30)",1.2395,R
25,26.,"Jeff Samardzija (13, 35)",1.2435,R
26,27.,"Jordan Zimmermann (12, 34)",1.2491,R
27,28.,"Dallas Keuchel (9, 32)",1.2524,L
28,29.,"Chris Archer (8, 31)",1.2526,R
29,30.,"Tanner Roark (8, 33)",1.2578,R
30,31.,"Mike Fiers (10, 35)",1.2613,R
31,32.,"Trevor Bauer (9, 29)",1.2647,R
32,33.,"Jon Lester (15, 36)",1.2653,L
33,34.,"Jose Quintana (9, 31)",1.2656,L
34,35.,"Wei-Yin Chen (8, 34)",1.2774,L
35,36.,"Mike Leake (10, 32)",1.2810,R
36,37.,"Patrick Corbin (8, 30)",1.2832,L
37,38.,"Ian Kennedy (14, 35)",1.2850,R
38,39.,"Lance Lynn (9, 33)",1.2904,R
39,40.,"J.A. Happ (14, 37)",1.3007,L
40,41.,"Bartolo Colon (21, 47)",1.3118,R
41,42.,"Anibal Sanchez (15, 36)",1.3129,R
42,43.,"Rick Porcello (12, 31)",1.3161,R
43,44.,"Danny Duffy (10, 31)",1.3218,L
44,45.,"Gio Gonzalez (13, 34)",1.3238,L
45,46.,"Brett Anderson (12, 32)",1.3320,L
46,47.,"Jhoulys Chacin (12, 32)",1.3323,R
47,48.,"Charlie Morton (13, 36)",1.3340,R
48,49.,"Ivan Nova (11, 33)",1.3586,R
49,50.,"Francisco Liriano (14, 36)",1.3591,L
50,51.,"Trevor Cahill (12, 32)",1.3640,R
51,52.,"Homer Bailey (14, 34)",1.3684,R
52,53.,"Derek Holland (12, 33)",1.3726,L
53,54.,"Wade Miley (10, 33)",1.3858,L
54,55.,"Kyle Gibson (8, 32)",1.4181,R
55,56.,"Oliver Perez (18, 38)",1.4287,L
56,57.,"Edinson Volquez (15, 36)",1.4499,R
57,58.,"Edwin Jackson (17, 36)",1.4658,R
