,Rank,"Player (yrs, age)",Home Runs,Throws,HR Log
0,1.,"Bartolo Colon (21, 47)",439,R,HR Log
1,2.,"Cole Hamels (15, 36)",310,L,HR Log
2,2.,"Justin Verlander (16, 37)",310,R,HR Log
3,4.,"Zack Greinke (17, 36)",298,R,HR Log
4,5.,"Jon Lester (15, 36)",269,L,HR Log
5,6.,"Felix Hernandez (15, 34)",264,R,HR Log
6,6.,"Max Scherzer (13, 35)",264,R,HR Log
7,8.,"Rick Porcello (12, 31)",260,R,HR Log
8,9.,"Ian Kennedy (14, 35)",253,R,HR Log
9,10.,"Edwin Jackson (17, 36)",249,R,HR Log
10,11.,"Mike Leake (10, 32)",238,R,HR Log
11,12.,"J.A. Happ (14, 37)",231,L,HR Log
12,13.,"Anibal Sanchez (15, 36)",225,R,HR Log
13,14.,"Derek Holland (12, 33)",214,L,HR Log
14,15.,"David Price (12, 34)",207,L,HR Log
15,16.,"Madison Bumgarner (12, 30)",205,L,HR Log
16,16.,"Jeff Samardzija (13, 35)",205,R,HR Log
17,18.,"Johnny Cueto (13, 34)",202,R,HR Log
18,19.,"Oliver Perez (18, 38)",197,L,HR Log
19,20.,"Jordan Zimmermann (12, 34)",194,R,HR Log
20,21.,"Julio Teheran (10, 29)",188,R,HR Log
21,22.,"Josh Tomlin (11, 35)",187,R,HR Log
22,23.,"Ivan Nova (11, 33)",185,R,HR Log
23,24.,"Francisco Liriano (14, 36)",184,L,HR Log
24,25.,"Clayton Kershaw (13, 32)",181,L,HR Log
25,26.,"Mike Fiers (10, 35)",180,R,HR Log
26,27.,"Adam Wainwright (15, 38)",176,R,HR Log
27,28.,"Homer Bailey (14, 34)",175,R,HR Log
28,29.,"Chris Sale (10, 31)",172,L,HR Log
29,30.,"Gio Gonzalez (13, 34)",171,L,HR Log
30,31.,"Trevor Cahill (12, 32)",166,R,HR Log
31,32.,"Masahiro Tanaka (7, 31)",159,R,HR Log
32,32.,"Edinson Volquez (15, 36)",159,R,HR Log
33,34.,"Wade Miley (10, 33)",158,L,HR Log
34,35.,"Jake Arrieta (11, 34)",157,R,HR Log
35,36.,"Wei-Yin Chen (8, 34)",156,L,HR Log
36,37.,"Tommy Milone (10, 33)",154,L,HR Log
37,37.,"Jose Quintana (9, 31)",154,L,HR Log
38,39.,"Mike Minor (9, 32)",153,L,HR Log
39,40.,"Chris Archer (8, 31)",150,R,HR Log
40,41.,"Carlos Carrasco (11, 33)",145,R,HR Log
41,42.,"Stephen Strasburg (11, 31)",144,R,HR Log
42,43.,"Jesse Chavez (13, 36)",143,R,HR Log
43,43.,"Hector Santiago (9, 32)",143,L,HR Log
44,45.,"Wade LeBlanc (12, 35)",142,L,HR Log
45,46.,"Trevor Bauer (9, 29)",141,R,HR Log
46,46.,"Jhoulys Chacin (12, 32)",141,R,HR Log
47,46.,"Patrick Corbin (8, 30)",141,L,HR Log
48,46.,"Jake Odorizzi (9, 30)",141,R,HR Log
49,50.,"Chase Anderson (7, 32)",140,R,HR Log
50,50.,"Tanner Roark (8, 33)",140,R,HR Log
51,52.,"Kyle Gibson (8, 32)",139,R,HR Log
52,53.,"Danny Duffy (10, 31)",138,L,HR Log
53,53.,"Kevin Gausman (8, 29)",138,R,HR Log
54,55.,"Yu Darvish (8, 33)",137,R,HR Log
55,56.,"Jordan Lyles (10, 29)",134,R,HR Log
56,56.,"Lance Lynn (9, 33)",134,R,HR Log
57,58.,"Matthew Boyd (6, 29)",133,L,HR Log
58,58.,"Dallas Keuchel (9, 32)",133,L,HR Log
59,60.,"Corey Kluber (10, 34)",132,R,HR Log
60,61.,"Gerrit Cole (8, 29)",129,R,HR Log
61,62.,"Yusmeiro Petit (13, 35)",125,R,HR Log
62,63.,"Robbie Ray (7, 28)",123,L,HR Log
63,64.,"Charlie Morton (13, 36)",122,R,HR Log
64,65.,"Dylan Bundy (6, 27)",119,R,HR Log
65,65.,"Tommy Hunter (13, 33)",119,R,HR Log
66,67.,"Rich Hill (16, 40)",115,L,HR Log
67,68.,"Michael Pineda (7, 31)",114,R,HR Log
68,69.,"Martin Perez (9, 29)",112,L,HR Log
69,70.,"Drew Smyly (7, 31)",111,L,HR Log
70,71.,"Tyler Clippard (14, 35)",108,R,HR Log
71,71.,"Sonny Gray (8, 30)",108,R,HR Log
72,71.,"Drew Pomeranz (10, 31)",108,L,HR Log
73,74.,"Alex Cobb (9, 32)",106,R,HR Log
74,74.,"Michael Wacha (8, 28)",106,R,HR Log
75,76.,"Matt Harvey (8, 31)",105,R,HR Log
76,77.,"Brett Anderson (12, 32)",104,L,HR Log
77,77.,"Nathan Eovaldi (9, 30)",104,R,HR Log
78,77.,"Kyle Hendricks (7, 30)",104,R,HR Log
79,80.,"Jacob deGrom (7, 32)",102,R,HR Log
80,81.,"Mike Foltynewicz (7, 28)",101,R,HR Log
81,82.,"Erasmo Ramirez (9, 30)",100,R,HR Log
82,83.,"Anthony DeSclafani (6, 30)",97,R,HR Log
83,84.,"Brett Cecil (10, 33)",96,L,HR Log
84,84.,"Wade Davis (12, 34)",96,R,HR Log
85,84.,"Steven Matz (6, 29)",96,L,HR Log
86,87.,"Collin McHugh (8, 33)",93,R,HR Log
87,88.,"Aaron Nola (6, 27)",92,R,HR Log
88,89.,"Jonathan Sanchez (8, 37)",91,L,HR Log
89,90.,"David Hernandez (10, 35)",88,R,HR Log
90,90.,"Brandon Morrow (12, 35)",88,R,HR Log
91,90.,"Eduardo Rodriguez (5, 27)",88,L,HR Log
92,90.,"Vince Velasquez (6, 28)",88,R,HR Log
93,94.,"Jose Berrios (5, 26)",86,R,HR Log
94,94.,"Tyler Chatwood (9, 30)",86,R,HR Log
95,94.,"Kenta Maeda (5, 32)",86,R,HR Log
96,94.,"German Marquez (5, 25)",86,R,HR Log
97,98.,"Andrew Heaney (7, 29)",85,L,HR Log
98,98.,"Jakob Junis (4, 27)",85,R,HR Log
99,98.,"Matt Shoemaker (8, 33)",85,R,HR Log
