,Rank,"Player (yrs, age)",Double Plays Turned as LF (s.1901),Throws
0,1.,"Alex Gordon (14, 36)",14,R
1,2.,"Michael Brantley (12, 33)",10,L
2,2.,"Ryan Braun (14, 36)",10,R
3,4.,"Brett Gardner (13, 36)",9,L
4,5.,"Corey Dickerson (8, 31)",7,R
5,6.,"Khris Davis (8, 32)",6,R
6,6.,"Teoscar Hernandez (5, 27)",6,R
7,6.,"Eddie Rosario (6, 28)",6,R
8,9.,"Andrew Benintendi (5, 25)",5,L
9,9.,"Matt Kemp (15, 35)",5,R
10,9.,"Marcell Ozuna (8, 29)",5,R
11,12.,"Miguel Cabrera (18, 37)",4,R
12,12.,"Delino DeShields (6, 27)",4,R
13,14.,"Yoenis Céspedes (8, 34)",3,R
14,14.,"Adam Duvall (7, 31)",3,R
15,14.,"Jarrod Dyson (11, 35)",3,R
16,14.,"Ben Gamel (5, 28)",3,L
17,14.,"Enrique Hernandez (7, 28)",3,R
18,14.,"Trey Mancini (4, 28)",3,R
19,14.,"J.D. Martinez (10, 32)",3,R
20,14.,"David Peralta (7, 32)",3,L
21,14.,"Felix Pie (6, 35)",3,L
22,23.,"Charlie Blackmon (10, 33)",2,L
23,23.,"Jay Bruce (13, 33)",2,L
24,23.,"Michael Conforto (6, 27)",2,R
25,23.,"Charlie Culberson (8, 31)",2,R
26,23.,"Nicky Delmonico (4, 27)",2,R
27,23.,"Leury Garcia (8, 29)",2,R
28,23.,"Anthony Gose (5, 29)",2,L
29,23.,"Guillermo Heredia (5, 29)",2,L
30,23.,"Aaron Hicks (8, 30)",2,R
31,23.,"Starling Marte (9, 31)",2,R
32,23.,"Logan Morrison (11, 32)",2,L
33,23.,"Daniel Murphy (12, 35)",2,R
34,23.,"Rafael Ortega (4, 29)",2,R
35,23.,"Hunter Renfroe (5, 28)",2,R
36,23.,"Juan Soto (3, 21)",2,L
37,23.,"DJ Stewart (3, 26)",2,R
38,23.,"Chris Taylor (7, 29)",2,R
39,23.,"Christian Yelich (8, 28)",2,R
