,Rank,"Player (yrs, age)",Hits,Throws
0,1.,"Bartolo Colon (21, 47)",3593,R
1,2.,"Zack Greinke (17, 36)",2728,R
2,3.,"Justin Verlander (16, 37)",2538,R
3,4.,"Felix Hernandez (15, 34)",2487,R
4,5.,"Jon Lester (15, 36)",2451,L
5,6.,"Cole Hamels (15, 36)",2424,L
6,7.,"Rick Porcello (12, 31)",2270,R
7,8.,"Edwin Jackson (17, 36)",2094,R
8,9.,"Adam Wainwright (15, 38)",2066,R
9,10.,"Max Scherzer (13, 35)",1953,R
10,11.,"Mike Leake (10, 32)",1940,R
11,12.,"Anibal Sanchez (15, 36)",1905,R
12,13.,"David Price (12, 34)",1813,L
13,14.,"Clayton Kershaw (13, 32)",1756,L
14,15.,"Gio Gonzalez (13, 34)",1744,L
15,16.,"Johnny Cueto (13, 34)",1741,R
16,17.,"Ian Kennedy (14, 35)",1688,R
17,18.,"Madison Bumgarner (12, 30)",1669,L
18,19.,"Jordan Zimmermann (12, 34)",1665,R
19,20.,"Francisco Liriano (14, 36)",1649,L
20,21.,"J.A. Happ (14, 37)",1645,L
21,22.,"Jeff Samardzija (13, 35)",1555,R
22,23.,"Edinson Volquez (15, 36)",1507,R
23,24.,"Jose Quintana (9, 31)",1470,L
24,25.,"Wade Miley (10, 33)",1466,L
25,26.,"Ivan Nova (11, 33)",1463,R
26,27.,"Homer Bailey (14, 34)",1455,R
27,28.,"Derek Holland (12, 33)",1431,L
28,29.,"Trevor Cahill (12, 32)",1405,R
29,30.,"Charlie Morton (13, 36)",1402,R
30,31.,"Oliver Perez (18, 38)",1323,L
31,32.,"Jake Arrieta (11, 34)",1319,R
32,33.,"Lance Lynn (9, 33)",1312,R
33,33.,"Chris Sale (10, 31)",1312,L
34,35.,"Dallas Keuchel (9, 32)",1311,L
35,36.,"Julio Teheran (10, 29)",1228,R
36,37.,"Jhoulys Chacin (12, 32)",1227,R
37,38.,"Kyle Gibson (8, 32)",1215,R
38,39.,"Patrick Corbin (8, 30)",1198,L
39,40.,"Stephen Strasburg (11, 31)",1193,R
40,41.,"Carlos Carrasco (11, 33)",1165,R
41,41.,"Corey Kluber (10, 34)",1165,R
42,43.,"Chris Archer (8, 31)",1127,R
43,44.,"Brett Anderson (12, 32)",1115,L
44,45.,"Tanner Roark (8, 33)",1107,R
45,46.,"Mike Fiers (10, 35)",1104,R
46,47.,"Martin Perez (9, 29)",1095,L
47,48.,"Josh Tomlin (11, 35)",1091,R
48,49.,"Wei-Yin Chen (8, 34)",1090,L
49,50.,"Gerrit Cole (8, 29)",1087,R
50,51.,"Mike Minor (9, 32)",1074,L
51,52.,"Danny Duffy (10, 31)",1059,L
52,53.,"Jordan Lyles (10, 29)",1058,R
53,54.,"Trevor Bauer (9, 29)",1051,R
54,55.,"Kevin Gausman (8, 29)",1014,R
55,56.,"Nathan Eovaldi (9, 30)",1010,R
56,57.,"Tommy Milone (10, 33)",994,L
57,58.,"Masahiro Tanaka (7, 31)",983,R
58,59.,"Sonny Gray (8, 30)",978,R
59,60.,"Jesse Chavez (13, 36)",965,R
60,61.,"Jacob deGrom (7, 32)",941,R
61,62.,"Jake Odorizzi (9, 30)",934,R
62,63.,"Kyle Hendricks (7, 30)",931,R
63,64.,"Wade LeBlanc (12, 35)",921,L
64,65.,"Yu Darvish (8, 33)",909,R
65,66.,"Michael Wacha (8, 28)",895,R
66,67.,"Alex Cobb (9, 32)",893,R
67,68.,"Tommy Hunter (13, 33)",877,R
68,69.,"Marcus Stroman (6, 29)",853,R
69,70.,"Wade Davis (12, 34)",851,R
70,71.,"Hector Santiago (9, 32)",850,L
71,72.,"Chase Anderson (7, 32)",845,R
72,73.,"Tyler Chatwood (9, 30)",841,R
73,74.,"Tyson Ross (10, 33)",840,R
74,75.,"Michael Pineda (7, 31)",818,R
75,76.,"Matt Harvey (8, 31)",809,R
76,77.,"Carlos Martinez (8, 28)",808,R
77,78.,"Alex Wood (8, 29)",805,L
78,79.,"Rich Hill (16, 40)",803,L
79,80.,"Collin McHugh (8, 33)",771,R
80,81.,"Juan Nicasio (10, 33)",769,R
81,82.,"Drew Pomeranz (10, 31)",767,L
82,82.,"Zack Wheeler (6, 30)",767,R
83,84.,"Robbie Ray (7, 28)",765,L
84,85.,"Yusmeiro Petit (13, 35)",764,R
85,86.,"Jair Jurrjens (8, 34)",761,R
86,86.,"Brandon Morrow (12, 35)",761,R
87,88.,"Horacio Ramirez (8, 40)",758,L
88,88.,"Hyun Jin Ryu (7, 33)",758,L
89,90.,"Brett Cecil (10, 33)",757,L
90,91.,"Ross Detwiler (12, 34)",747,L
91,92.,"Craig Stammen (11, 36)",734,R
92,93.,"Shelby Miller (8, 29)",733,R
93,94.,"Aaron Nola (6, 27)",723,R
94,95.,"Garrett Richards (10, 32)",719,R
95,96.,"Matthew Boyd (6, 29)",716,L
96,97.,"Jonathan Sanchez (8, 37)",714,L
97,98.,"Manny Parra (8, 37)",693,L
98,99.,"Andrew Miller (15, 35)",691,L
99,100.,"Jon Gray (6, 28)",690,R
