,Rank,"Player (yrs, age)",Stolen Bases Allowed as C,Throws
0,1.,"Kurt Suzuki (14, 36)",812,R
1,2.,"Jonathan Lucroy (11, 34)",666,R
2,3.,"Chris Iannetta (14, 37)",607,R
3,4.,"Yadier Molina (17, 37)",519,R
4,5.,"Buster Posey (11, 33)",490,R
5,6.,"Alex Avila (12, 33)",485,R
6,7.,"Jeff Mathis (16, 37)",471,R
7,8.,"Matt Wieters (12, 34)",441,R
8,9.,"Tyler Flowers (12, 34)",436,R
9,10.,"Jason Castro (10, 33)",405,R
10,11.,"Yasmani Grandal (9, 31)",395,R
11,12.,"Wilson Ramos (11, 32)",388,R
12,13.,"Salvador Perez (9, 30)",349,R
13,14.,"Welington Castillo (10, 33)",312,R
14,15.,"Yan Gomes (9, 32)",294,R
15,16.,"Travis d'Arnaud (8, 31)",288,R
16,17.,"Mike Zunino (8, 29)",286,R
17,18.,"Robinson Chirinos (9, 36)",272,R
18,19.,"Tucker Barnhart (7, 29)",259,R
19,20.,"J.T. Realmuto (7, 29)",249,R
20,21.,"Martin Maldonado (10, 33)",229,R
21,22.,"James McCann (7, 30)",227,R
22,23.,"Rene Rivera (12, 36)",225,R
23,24.,"Stephen Vogt (8, 35)",224,R
24,25.,"Omar Narvaez (5, 28)",215,R
25,26.,"Carlos Santana (11, 34)",207,R
26,27.,"Drew Butera (11, 36)",206,R
27,28.,"Willson Contreras (5, 28)",191,R
28,29.,"Caleb Joseph (7, 34)",184,R
29,30.,"Kevin Plawecki (6, 29)",178,R
30,31.,"Austin Romine (9, 31)",171,R
31,32.,"Josh Phegley (8, 32)",160,R
32,33.,"Austin Hedges (6, 27)",158,R
33,34.,"Wilin Rosario (5, 31)",157,R
34,35.,"Tony Wolters (5, 28)",140,R
35,36.,"Christian Vazquez (6, 29)",137,R
36,37.,"Gary Sanchez (6, 27)",134,R
37,38.,"Kevan Smith (5, 32)",132,R
38,39.,"Sandy Leon (9, 31)",131,R
39,40.,"Roberto Perez (7, 31)",129,R
