,Rank,"Player (yrs, age)",Assists as RF (s.1901),Throws
0,1.,"Nick Markakis (15, 36)",119,L
1,2.,"Jay Bruce (13, 33)",94,L
2,3.,"Jason Heyward (11, 30)",63,L
3,3.,"Josh Reddick (12, 33)",63,R
4,5.,"Shin-Soo Choo (16, 37)",62,L
5,5.,"Giancarlo Stanton (11, 30)",62,R
6,7.,"Kole Calhoun (9, 32)",59,L
7,8.,"Nelson Cruz (16, 39)",47,R
8,9.,"Avisail Garcia (9, 29)",45,R
9,10.,"Gregory Polanco (7, 28)",42,L
10,11.,"Bryce Harper (9, 27)",41,R
11,12.,"Mookie Betts (7, 27)",36,R
12,13.,"Matt Kemp (15, 35)",35,R
13,14.,"Carlos Gonzalez (12, 34)",34,L
14,14.,"George Springer (7, 30)",34,R
15,16.,"Max Kepler (6, 27)",26,L
16,16.,"J.D. Martinez (10, 32)",26,R
17,18.,"Justin Upton (14, 32)",25,R
18,19.,"Aaron Judge (5, 28)",24,R
19,19.,"Nomar Mazara (5, 25)",24,L
20,21.,"Hunter Renfroe (5, 28)",22,R
21,21.,"Steven Souza Jr. (6, 31)",22,R
22,23.,"Adam Eaton (9, 31)",20,L
23,23.,"Matthew Joyce (13, 35)",20,R
24,23.,"Stephen Piscotty (6, 29)",20,R
25,26.,"Brian Anderson (4, 27)",17,R
26,26.,"Nicholas Castellanos (8, 28)",17,R
27,26.,"Mitch Haniger (4, 29)",17,R
28,29.,"Tyler Naquin (5, 29)",16,R
29,30.,"Charlie Blackmon (10, 33)",14,L
30,30.,"Michael Conforto (6, 27)",14,R
31,32.,"Randal Grichuk (7, 28)",12,R
32,32.,"Joey Rickard (5, 29)",12,L
33,32.,"Scott Schebler (6, 29)",12,R
34,35.,"Domingo Santana (7, 27)",11,R
35,35.,"Jorge Soler (7, 28)",11,R
36,37.,"Cody Bellinger (4, 24)",10,L
37,37.,"Ryan Braun (14, 36)",10,R
38,37.,"Jon Jay (11, 35)",10,L
39,40.,"Wil Myers (8, 29)",9,R
