,Rank,"Player (yrs, age)",Fielding % as 2B,Throws
0,1.,"Dustin Pedroia (14, 36)",.9914,R
1,2.,"DJ LeMahieu (10, 31)",.9906,R
2,3.,"Neil Walker (12, 34)",.9882,R
3,4.,"Robinson Cano (16, 37)",.9876,R
4,5.,"Joe Panik (7, 29)",.9874,R
5,6.,"Brian Dozier (9, 33)",.9870,R
6,7.,"Jose Altuve (10, 30)",.9852,R
7,8.,"Gordon Beckham (11, 33)",.9851,R
8,9.,"Jason Kipnis (10, 33)",.9839,R
9,10.,"Dee Strange-Gordon (10, 32)",.9821,R
10,11.,"Logan Forsythe (10, 33)",.9814,R
11,12.,"Cesar Hernandez (8, 30)",.9812,R
12,12.,"Jonathan Schoop (8, 28)",.9812,R
13,14.,"Kolten Wong (8, 29)",.9809,R
14,15.,"Daniel Murphy (12, 35)",.9776,R
15,16.,"Starlin Castro (11, 30)",.9769,R
16,17.,"Rougned Odor (7, 26)",.9751,R
