,Rank,"Player (yrs, age)",Putouts as 3B,Throws
0,1.,"Evan Longoria (13, 34)",1193,R
1,2.,"Ryan Zimmerman (15, 35)",853,R
2,3.,"Kyle Seager (10, 32)",846,R
3,4.,"Josh Donaldson (10, 34)",774,R
4,5.,"Mike Moustakas (10, 31)",763,R
5,6.,"Nolan Arenado (8, 29)",725,R
6,7.,"Manny Machado (9, 27)",689,R
7,8.,"Todd Frazier (10, 34)",683,R
8,9.,"Pablo Sandoval (13, 33)",632,R
9,10.,"Anthony Rendon (8, 30)",571,R
10,11.,"Edwin Encarnacion (16, 37)",491,R
11,12.,"Miguel Cabrera (18, 37)",490,R
12,13.,"Eugenio Suarez (7, 28)",454,R
13,14.,"Maikel Franco (7, 27)",432,R
14,15.,"Justin Turner (12, 35)",381,R
15,16.,"Matt Chapman (4, 27)",379,R
16,17.,"Jose Ramirez (8, 27)",364,R
17,18.,"Matt Carpenter (10, 34)",342,R
18,19.,"Kris Bryant (6, 28)",327,R
19,20.,"Nicholas Castellanos (8, 28)",310,R
20,21.,"Jake Lamb (7, 29)",294,R
21,22.,"Alex Bregman (5, 26)",287,R
22,23.,"Travis Shaw (6, 30)",284,R
23,24.,"Eduardo Escobar (10, 31)",249,R
24,25.,"Alex Gordon (14, 36)",235,R
25,26.,"Matt Duffy (5, 29)",233,R
26,27.,"Rafael Devers (4, 23)",232,R
27,28.,"Miguel Sano (6, 27)",200,R
28,29.,"Jorge Cantu (8, 38)",198,R
29,30.,"Jeimer Candelario (5, 26)",188,R
30,31.,"Yolmer Sanchez (7, 28)",183,R
31,32.,"Eduardo Nunez (11, 33)",169,R
32,33.,"Josh Harrison (10, 32)",166,R
33,34.,"Gio Urshela (5, 28)",165,R
34,35.,"Yoan Moncada (5, 25)",155,R
35,36.,"Brian Anderson (4, 27)",141,R
36,37.,"Colin Moran (5, 27)",136,R
37,38.,"Rio Ruiz (5, 26)",135,R
38,39.,"Cheslor Cuthbert (6, 27)",132,R
39,40.,"Jedd Gyorko (8, 31)",131,R
