,Rank,"Player (yrs, age)",Caught Stealing as C,Throws
0,1.,"Yadier Molina (17, 37)",350,R
1,2.,"Jonathan Lucroy (11, 34)",257,R
2,3.,"Buster Posey (11, 33)",242,R
3,4.,"Kurt Suzuki (14, 36)",241,R
4,5.,"Matt Wieters (12, 34)",211,R
5,6.,"Alex Avila (12, 33)",207,R
6,7.,"Chris Iannetta (14, 37)",195,R
7,8.,"Salvador Perez (9, 30)",189,R
8,9.,"Jeff Mathis (16, 37)",181,R
9,10.,"Welington Castillo (10, 33)",147,R
10,10.,"Yan Gomes (9, 32)",147,R
11,12.,"Wilson Ramos (11, 32)",146,R
12,13.,"Jason Castro (10, 33)",143,R
13,14.,"Yasmani Grandal (9, 31)",142,R
14,15.,"J.T. Realmuto (7, 29)",139,R
15,16.,"Martin Maldonado (10, 33)",129,R
16,17.,"James McCann (7, 30)",127,R
17,17.,"Rene Rivera (12, 36)",127,R
18,19.,"Tucker Barnhart (7, 29)",126,R
19,19.,"Tyler Flowers (12, 34)",126,R
20,21.,"Mike Zunino (8, 29)",119,R
21,22.,"Roberto Perez (7, 31)",91,R
22,23.,"Drew Butera (11, 36)",88,R
23,23.,"Willson Contreras (5, 28)",88,R
24,23.,"Christian Vazquez (6, 29)",88,R
25,26.,"Robinson Chirinos (9, 36)",86,R
26,27.,"Caleb Joseph (7, 34)",84,R
27,28.,"Travis d'Arnaud (8, 31)",79,R
28,29.,"Josh Phegley (8, 32)",78,R
29,30.,"Austin Hedges (6, 27)",75,R
30,31.,"Stephen Vogt (8, 35)",74,R
31,32.,"Carlos Santana (11, 34)",70,R
32,33.,"Sandy Leon (9, 31)",66,R
33,34.,"Gary Sanchez (6, 27)",64,R
34,35.,"Tony Wolters (5, 28)",63,R
35,36.,"Wilin Rosario (5, 31)",61,R
36,37.,"Omar Narvaez (5, 28)",59,R
37,37.,"Manny Pina (7, 33)",59,R
38,39.,"Kevin Plawecki (6, 29)",54,R
39,40.,"Bryan Holaday (9, 32)",51,R
