,Rank,"Player (yrs, age)",Def. Games as CF (s.1901),Throws
0,1.,"Andrew McCutchen (12, 33)",1329,R
1,2.,"Dexter Fowler (13, 34)",1170,R
2,3.,"Mike Trout (10, 28)",1094,R
3,4.,"Lorenzo Cain (11, 34)",920,R
4,5.,"Cameron Maybin (14, 33)",867,R
5,6.,"Matt Kemp (15, 35)",827,R
6,7.,"Billy Hamilton (8, 29)",802,R
7,8.,"Jackie Bradley Jr. (8, 30)",781,R
8,9.,"Kevin Pillar (8, 31)",759,R
9,10.,"Charlie Blackmon (10, 33)",691,L
10,11.,"Jon Jay (11, 35)",678,L
11,12.,"Juan Lagares (8, 31)",657,R
12,13.,"Jarrod Dyson (11, 35)",656,R
13,14.,"Kevin Kiermaier (8, 30)",651,R
14,14.,"AJ Pollock (9, 32)",651,R
15,16.,"Ender Inciarte (7, 29)",638,L
16,17.,"Odubel Herrera (5, 28)",594,R
17,18.,"Brett Gardner (13, 36)",553,L
18,19.,"Jake Marisnick (8, 29)",549,R
19,20.,"Aaron Hicks (8, 30)",541,R
20,21.,"Starling Marte (9, 31)",434,R
21,22.,"Michael A. Taylor (7, 29)",430,R
22,23.,"Albert Almora (5, 26)",427,R
23,24.,"Byron Buxton (6, 26)",425,R
24,25.,"Manuel Margot (5, 25)",424,R
25,26.,"Delino DeShields (6, 27)",420,R
26,27.,"Joc Pederson (7, 28)",412,L
27,28.,"Marcell Ozuna (8, 29)",410,R
28,29.,"Adam Eaton (9, 31)",385,L
29,30.,"Michael Brantley (12, 33)",356,L
30,31.,"Adam Engel (4, 28)",324,R
31,32.,"George Springer (7, 30)",300,R
32,33.,"Randal Grichuk (7, 28)",298,R
33,34.,"Keon Broxton (5, 30)",297,R
34,35.,"Anthony Gose (5, 29)",288,L
35,36.,"Mallex Smith (5, 27)",266,R
36,37.,"Harrison Bader (4, 26)",265,R
37,38.,"Christian Yelich (8, 28)",260,R
38,39.,"JaCoby Jones (5, 28)",236,R
39,40.,"Victor Robles (4, 23)",210,R
