,Rank,"Player (yrs, age)",Innings Pitched,Throws
0,1.,"Bartolo Colon (21, 47)",3461.2,R
1,2.,"Justin Verlander (16, 37)",2988.0,R
2,3.,"Zack Greinke (17, 36)",2939.0,R
3,4.,"Felix Hernandez (15, 34)",2729.2,R
4,5.,"Cole Hamels (15, 36)",2698.0,L
5,6.,"Jon Lester (15, 36)",2598.2,L
6,7.,"Max Scherzer (13, 35)",2357.1,R
7,8.,"Clayton Kershaw (13, 32)",2333.0,L
8,9.,"Adam Wainwright (15, 38)",2169.1,R
9,10.,"Rick Porcello (12, 31)",2096.1,R
10,11.,"David Price (12, 34)",2029.2,L
11,12.,"Edwin Jackson (17, 36)",1960.0,R
12,13.,"Anibal Sanchez (15, 36)",1948.1,R
13,14.,"Gio Gonzalez (13, 34)",1933.0,L
14,15.,"Johnny Cueto (13, 34)",1919.2,R
15,16.,"Madison Bumgarner (12, 30)",1887.2,L
16,17.,"Mike Leake (10, 32)",1829.0,R
17,18.,"Francisco Liriano (14, 36)",1813.2,L
18,19.,"Ian Kennedy (14, 35)",1781.1,R
19,20.,"J.A. Happ (14, 37)",1741.1,L
20,21.,"Jeff Samardzija (13, 35)",1645.1,R
21,22.,"Chris Sale (10, 31)",1629.2,L
22,23.,"Jordan Zimmermann (12, 34)",1608.1,R
23,24.,"Edinson Volquez (15, 36)",1546.1,R
24,25.,"Jake Arrieta (11, 34)",1513.2,R
25,26.,"Jose Quintana (9, 31)",1495.0,L
26,27.,"Trevor Cahill (12, 32)",1470.2,R
27,28.,"Oliver Perez (18, 38)",1458.0,L
28,29.,"Stephen Strasburg (11, 31)",1443.2,R
29,30.,"Charlie Morton (13, 36)",1439.1,R
30,31.,"Lance Lynn (9, 33)",1426.2,R
31,32.,"Wade Miley (10, 33)",1418.0,L
32,33.,"Derek Holland (12, 33)",1416.1,L
33,34.,"Homer Bailey (14, 34)",1401.2,R
34,35.,"Julio Teheran (10, 29)",1391.1,R
35,36.,"Dallas Keuchel (9, 32)",1365.1,L
36,37.,"Ivan Nova (11, 33)",1347.2,R
37,38.,"Corey Kluber (10, 34)",1342.2,R
38,39.,"Jhoulys Chacin (12, 32)",1324.0,R
39,40.,"Gerrit Cole (8, 29)",1268.0,R
40,41.,"Carlos Carrasco (11, 33)",1242.1,R
41,42.,"Chris Archer (8, 31)",1235.0,R
42,43.,"Patrick Corbin (8, 30)",1213.1,L
43,44.,"Trevor Bauer (9, 29)",1190.0,R
44,45.,"Jacob deGrom (7, 32)",1169.2,R
45,46.,"Kyle Gibson (8, 32)",1154.1,R
46,47.,"Mike Minor (9, 32)",1152.1,L
47,48.,"Tanner Roark (8, 33)",1148.0,R
48,49.,"Mike Fiers (10, 35)",1141.2,R
49,50.,"Sonny Gray (8, 30)",1132.0,R
50,51.,"Yu Darvish (8, 33)",1127.0,R
51,52.,"Danny Duffy (10, 31)",1111.1,L
52,53.,"Wei-Yin Chen (8, 34)",1064.2,L
53,54.,"Masahiro Tanaka (7, 31)",1054.1,R
54,55.,"Kyle Hendricks (7, 30)",1047.1,R
55,56.,"Brett Anderson (12, 32)",1044.1,L
56,57.,"Jake Odorizzi (9, 30)",1042.1,R
57,58.,"Josh Tomlin (11, 35)",1017.2,R
58,59.,"Martin Perez (9, 29)",988.2,L
59,60.,"Kevin Gausman (8, 29)",985.1,R
60,61.,"Rich Hill (16, 40)",976.0,L
61,62.,"Jordan Lyles (10, 29)",967.1,R
62,63.,"Nathan Eovaldi (9, 30)",966.0,R
63,64.,"Wade Davis (12, 34)",947.2,R
64,65.,"Jesse Chavez (13, 36)",933.0,R
65,66.,"Hector Santiago (9, 32)",920.2,L
66,67.,"Alex Cobb (9, 32)",917.0,R
67,68.,"Tommy Milone (10, 33)",913.2,L
68,69.,"Tyson Ross (10, 33)",904.2,R
69,70.,"Michael Wacha (8, 28)",901.2,R
70,71.,"Chase Anderson (7, 32)",890.2,R
71,72.,"Carlos Martinez (8, 28)",884.2,R
72,73.,"Wade LeBlanc (12, 35)",882.1,L
73,74.,"Tommy Hunter (13, 33)",863.1,R
74,75.,"Brandon Morrow (12, 35)",859.0,R
75,76.,"Michael Pineda (7, 31)",852.2,R
76,77.,"Alex Wood (8, 29)",851.2,L
77,78.,"Marcus Stroman (6, 29)",849.1,R
78,79.,"Tyler Chatwood (9, 30)",846.2,R
79,80.,"Aaron Nola (6, 27)",842.2,R
80,81.,"Robbie Ray (7, 28)",842.1,L
81,82.,"Tyler Clippard (14, 35)",842.0,R
82,83.,"Matt Harvey (8, 31)",838.2,R
83,84.,"Drew Pomeranz (10, 31)",832.2,L
84,85.,"Yusmeiro Petit (13, 35)",826.0,R
85,86.,"Zack Wheeler (6, 30)",820.1,R
86,87.,"Hyun Jin Ryu (7, 33)",807.1,L
87,88.,"Garrett Richards (10, 32)",804.2,R
88,89.,"Collin McHugh (8, 33)",800.2,R
89,90.,"Andrew Miller (15, 35)",793.0,L
90,91.,"Jonathan Sanchez (8, 37)",786.1,L
91,92.,"Jair Jurrjens (8, 34)",767.1,R
92,93.,"Shelby Miller (8, 29)",758.1,R
93,94.,"Brett Cecil (10, 33)",756.0,L
94,94.,"Craig Stammen (11, 36)",756.0,R
95,96.,"James Paxton (8, 31)",753.1,L
96,97.,"Joakim Soria (13, 36)",725.2,R
97,98.,"Juan Nicasio (10, 33)",720.1,R
98,99.,"Noah Syndergaard (5, 27)",716.0,R
99,100.,"Daniel Hudson (11, 33)",713.1,R
