,Rank,"Player (yrs, age)",Range Factor/9Inn as 1B,Throws
0,1.,"Albert Pujols (20, 40)",9.925,R
1,2.,"Paul Goldschmidt (10, 32)",9.519,R
2,3.,"Matt Adams (9, 31)",9.185,R
3,4.,"Brandon Belt (10, 32)",9.133,L
4,5.,"Anthony Rizzo (10, 30)",9.128,L
5,6.,"Chris Davis (13, 34)",9.097,R
6,7.,"Yonder Alonso (10, 33)",9.055,R
7,8.,"Justin Smoak (11, 33)",9.030,L
8,9.,"Logan Morrison (11, 32)",9.017,L
9,10.,"José Abreu (7, 33)",9.012,R
10,11.,"Freddie Freeman (11, 30)",9.007,R
11,12.,"Miguel Cabrera (18, 37)",8.999,R
12,13.,"Joey Votto (14, 36)",8.842,R
13,14.,"Eric Hosmer (10, 30)",8.825,L
14,15.,"Carlos Santana (11, 34)",8.748,R
15,16.,"Mitch Moreland (11, 34)",8.581,L
