,Rank,"Player (yrs, age)",Outs Made,Bats
0,1.,"Albert Pujols (20, 40)",8159,R
1,2.,"Miguel Cabrera (18, 37)",6720,R
2,3.,"Robinson Cano (16, 37)",6443,L
3,4.,"Nick Markakis (15, 36)",6237,L
4,5.,"Yadier Molina (17, 37)",5526,R
5,6.,"Edwin Encarnacion (16, 37)",5473,R
6,7.,"Evan Longoria (13, 34)",5115,R
7,8.,"Elvis Andrus (12, 31)",5041,R
8,9.,"Alex Gordon (14, 36)",4954,L
9,10.,"Ryan Braun (14, 36)",4942,R
10,11.,"Asdrubal Cabrera (14, 34)",4940,B
11,12.,"Justin Upton (14, 32)",4921,R
12,13.,"Ryan Zimmerman (15, 35)",4902,R
13,14.,"Matt Kemp (15, 35)",4877,R
14,15.,"Nelson Cruz (16, 39)",4848,R
15,16.,"Jay Bruce (13, 33)",4667,L
16,17.,"Shin-Soo Choo (16, 37)",4622,L
17,18.,"Joey Votto (14, 36)",4590,L
18,19.,"Andrew McCutchen (12, 33)",4552,R
19,20.,"Dustin Pedroia (14, 36)",4510,R
20,21.,"Starlin Castro (11, 30)",4472,R
21,22.,"Ian Desmond (11, 34)",4270,R
22,23.,"Carlos Santana (11, 34)",4213,B
23,24.,"Brett Gardner (13, 36)",4185,L
24,25.,"Kurt Suzuki (14, 36)",4093,R
25,26.,"Eric Hosmer (10, 30)",4076,L
26,27.,"Erick Aybar (12, 36)",4056,B
27,28.,"Daniel Murphy (12, 35)",3940,L
28,29.,"Chris Davis (13, 34)",3930,L
29,30.,"Dexter Fowler (13, 34)",3916,B
30,31.,"Jason Heyward (11, 30)",3898,L
31,32.,"Kyle Seager (10, 32)",3860,L
32,33.,"Jose Altuve (10, 30)",3857,R
33,34.,"Freddie Freeman (11, 30)",3818,L
34,35.,"Carlos Gonzalez (12, 34)",3775,L
35,36.,"Michael Brantley (12, 33)",3579,L
36,37.,"Paul Goldschmidt (10, 32)",3556,R
37,38.,"Anthony Rizzo (10, 30)",3541,L
38,39.,"Neil Walker (12, 34)",3532,B
39,40.,"Pablo Sandoval (13, 33)",3485,B
40,41.,"Brandon Crawford (10, 33)",3484,L
41,41.,"Manny Machado (9, 27)",3484,R
42,43.,"Todd Frazier (10, 34)",3475,R
43,44.,"Jason Kipnis (10, 33)",3440,L
44,45.,"Brian Dozier (9, 33)",3434,R
45,46.,"Buster Posey (11, 33)",3404,R
46,47.,"Mike Moustakas (10, 31)",3355,L
47,48.,"Justin Smoak (11, 33)",3335,B
48,49.,"Giancarlo Stanton (11, 30)",3309,R
49,50.,"Mike Trout (10, 28)",3306,R
50,51.,"Jean Segura (9, 30)",3301,R
51,52.,"Josh Reddick (12, 33)",3279,L
52,53.,"Matt Carpenter (10, 34)",3186,L
53,53.,"DJ LeMahieu (10, 31)",3186,R
54,55.,"Jonathan Lucroy (11, 34)",3185,R
55,56.,"Charlie Blackmon (10, 33)",3152,L
56,57.,"J.D. Martinez (10, 32)",3150,R
57,58.,"Matt Wieters (12, 34)",3149,B
58,59.,"Bryce Harper (9, 27)",3114,L
59,60.,"Nolan Arenado (8, 29)",3103,R
60,61.,"Andrelton Simmons (9, 30)",3096,R
61,62.,"Jed Lowrie (12, 36)",3080,B
62,63.,"Mitch Moreland (11, 34)",3013,L
63,64.,"Cameron Maybin (14, 33)",2999,R
64,65.,"Josh Donaldson (10, 34)",2993,R
65,66.,"Lorenzo Cain (11, 34)",2954,R
66,67.,"Starling Marte (9, 31)",2950,R
67,68.,"Dee Strange-Gordon (10, 32)",2947,L
68,69.,"Jon Jay (11, 35)",2946,L
69,70.,"Kole Calhoun (9, 32)",2928,L
70,71.,"Matthew Joyce (13, 35)",2912,L
71,72.,"Brandon Belt (10, 32)",2892,L
72,73.,"Chris Iannetta (14, 37)",2881,R
73,74.,"Salvador Perez (9, 30)",2858,R
74,75.,"Marcell Ozuna (8, 29)",2848,R
75,76.,"José Abreu (7, 33)",2833,R
76,77.,"Freddy Galvis (9, 30)",2829,B
77,78.,"Xander Bogaerts (8, 27)",2800,R
78,79.,"Christian Yelich (8, 28)",2766,L
79,80.,"Gordon Beckham (11, 33)",2764,R
80,81.,"Nicholas Castellanos (8, 28)",2714,R
81,82.,"Anthony Rendon (8, 30)",2696,R
82,83.,"Logan Morrison (11, 32)",2635,L
83,84.,"Justin Turner (12, 35)",2631,R
84,85.,"Khris Davis (8, 32)",2627,R
85,86.,"Yonder Alonso (10, 33)",2621,L
86,87.,"Eduardo Escobar (10, 31)",2608,B
87,88.,"Wilson Ramos (11, 32)",2597,R
88,89.,"Marcus Semien (8, 29)",2545,R
89,90.,"Kevin Pillar (8, 31)",2542,R
90,91.,"Didi Gregorius (9, 30)",2541,L
91,92.,"Rougned Odor (7, 26)",2533,L
92,93.,"Mookie Betts (7, 27)",2500,R
93,94.,"Logan Forsythe (10, 33)",2476,R
94,95.,"Zack Cozart (9, 34)",2452,R
95,96.,"Adeiny Hechavarria (9, 31)",2444,R
96,97.,"Yoenis Céspedes (8, 34)",2436,R
97,98.,"Jorge Cantu (8, 38)",2427,R
98,99.,"Marwin Gonzalez (9, 31)",2413,B
99,100.,"Jonathan Schoop (8, 28)",2404,R
