,Rank,"Player (yrs, age)",Range Factor/Game as C,Throws
0,1.,"Yan Gomes (9, 32)",8.920,R
1,2.,"Yasmani Grandal (9, 31)",8.666,R
2,3.,"Wilson Ramos (11, 32)",8.359,R
3,4.,"J.T. Realmuto (7, 29)",8.208,R
4,4.,"Mike Zunino (8, 29)",8.208,R
5,6.,"Tucker Barnhart (7, 29)",8.182,R
6,7.,"Martin Maldonado (10, 33)",8.113,R
7,8.,"Buster Posey (11, 33)",8.089,R
8,9.,"Tyler Flowers (12, 34)",8.013,R
9,10.,"Jonathan Lucroy (11, 34)",7.847,R
10,11.,"James McCann (7, 30)",7.818,R
11,12.,"Welington Castillo (10, 33)",7.730,R
12,13.,"Salvador Perez (9, 30)",7.727,R
13,14.,"Jason Castro (10, 33)",7.649,R
14,15.,"Alex Avila (12, 33)",7.562,R
15,16.,"Matt Wieters (12, 34)",7.558,R
16,17.,"Jeff Mathis (16, 37)",7.487,R
17,18.,"Robinson Chirinos (9, 36)",7.423,R
18,19.,"Yadier Molina (17, 37)",7.405,R
19,20.,"Kurt Suzuki (14, 36)",7.347,R
20,21.,"Chris Iannetta (14, 37)",7.274,R
21,22.,"Drew Butera (11, 36)",5.941,R
