,Rank,"Player (yrs, age)",Win Probability Added (WPA),Bats
0,1.,"Albert Pujols (20, 40)",71.40,R
1,2.,"Miguel Cabrera (18, 37)",59.23,R
2,3.,"Joey Votto (14, 36)",49.64,L
3,4.,"Mike Trout (10, 28)",43.72,R
4,5.,"Paul Goldschmidt (10, 32)",35.59,R
5,6.,"Ryan Braun (14, 36)",33.00,R
6,7.,"Freddie Freeman (11, 30)",31.39,L
7,8.,"Andrew McCutchen (12, 33)",30.74,R
8,9.,"Anthony Rizzo (10, 30)",28.88,L
9,10.,"Bryce Harper (9, 27)",27.28,L
10,11.,"Shin-Soo Choo (16, 37)",24.86,L
11,12.,"Giancarlo Stanton (11, 30)",24.75,R
12,13.,"Josh Donaldson (10, 34)",23.55,R
13,14.,"Nelson Cruz (16, 39)",23.24,R
14,15.,"Christian Yelich (8, 28)",22.57,L
15,16.,"Edwin Encarnacion (16, 37)",21.50,R
16,17.,"Mookie Betts (7, 27)",21.08,R
17,18.,"Ryan Zimmerman (15, 35)",21.04,R
18,19.,"Matt Carpenter (10, 34)",20.88,L
19,20.,"Robinson Cano (16, 37)",20.80,L
20,21.,"Nolan Arenado (8, 29)",19.97,R
21,22.,"Justin Upton (14, 32)",18.79,R
22,23.,"Michael Brantley (12, 33)",16.39,L
23,24.,"Buster Posey (11, 33)",16.29,R
24,25.,"Carlos Santana (11, 34)",15.42,B
25,26.,"José Abreu (7, 33)",14.82,R
26,27.,"Yoenis Céspedes (8, 34)",14.62,R
27,28.,"Matt Kemp (15, 35)",14.60,R
28,29.,"Justin Turner (12, 35)",14.46,R
29,30.,"Dexter Fowler (13, 34)",14.01,B
30,31.,"Kris Bryant (6, 28)",13.88,R
31,32.,"Evan Longoria (13, 34)",13.73,R
32,33.,"Starling Marte (9, 31)",13.02,R
33,34.,"Anthony Rendon (8, 30)",12.95,R
34,35.,"Eric Hosmer (10, 30)",12.86,L
35,36.,"Charlie Blackmon (10, 33)",12.77,L
36,37.,"Daniel Murphy (12, 35)",12.52,L
37,38.,"J.D. Martinez (10, 32)",12.26,R
38,39.,"Jason Heyward (11, 30)",11.80,L
39,40.,"Brandon Belt (10, 32)",11.75,L
40,41.,"Dustin Pedroia (14, 36)",11.74,R
41,42.,"Alex Bregman (5, 26)",11.31,R
42,43.,"Nick Markakis (15, 36)",11.18,L
43,44.,"Neil Walker (12, 34)",10.97,B
44,45.,"George Springer (7, 30)",10.56,R
45,46.,"Carlos Gonzalez (12, 34)",10.19,L
46,47.,"Cody Bellinger (4, 24)",9.73,L
47,48.,"Brett Gardner (13, 36)",9.71,L
48,49.,"Khris Davis (8, 32)",9.30,R
49,50.,"Manny Machado (9, 27)",8.87,R
50,51.,"Xander Bogaerts (8, 27)",8.86,R
51,52.,"Juan Soto (3, 21)",8.82,L
52,53.,"Jose Ramirez (8, 27)",8.74,B
53,54.,"Eugenio Suarez (7, 28)",8.60,R
54,55.,"Marcell Ozuna (8, 29)",8.53,R
55,56.,"Kole Calhoun (9, 32)",8.37,L
56,57.,"Aaron Judge (5, 28)",8.03,R
57,58.,"AJ Pollock (9, 32)",7.85,R
58,59.,"Kyle Seager (10, 32)",7.70,L
59,60.,"David Peralta (7, 32)",7.49,L
60,61.,"Corey Seager (6, 26)",7.44,L
61,62.,"Adam Eaton (9, 31)",7.37,L
62,63.,"Jose Altuve (10, 30)",7.09,R
63,64.,"Chris Davis (13, 34)",6.99,L
64,65.,"Michael Conforto (6, 27)",6.97,L
65,66.,"Matt Olson (5, 26)",6.48,L
66,67.,"Pablo Sandoval (13, 33)",6.39,B
67,68.,"Trea Turner (6, 27)",6.32,R
68,69.,"Ronald Acuna Jr. (3, 22)",6.30,R
69,70.,"Nicholas Castellanos (8, 28)",6.24,R
70,71.,"Carlos Correa (6, 25)",6.09,R
71,72.,"Tommy Pham (7, 32)",5.97,R
72,73.,"Francisco Lindor (6, 26)",5.85,B
73,74.,"Mitch Moreland (11, 34)",5.32,L
74,75.,"Matthew Joyce (13, 35)",5.26,L
75,76.,"Matt Chapman (4, 27)",5.18,R
76,77.,"Max Muncy (5, 29)",5.15,L
77,78.,"Lorenzo Cain (11, 34)",5.06,R
78,79.,"Brandon Nimmo (5, 27)",4.98,L
79,80.,"Daniel Descalso (10, 33)",4.92,L
80,81.,"Trevor Story (5, 27)",4.86,R
81,82.,"Jake Lamb (7, 29)",4.84,L
82,83.,"Jose Martinez (5, 31)",4.49,R
83,84.,"Yonder Alonso (10, 33)",4.40,L
84,85.,"Eric Thames (6, 33)",4.27,L
85,86.,"Josh Bell (5, 27)",4.26,B
86,87.,"Todd Frazier (10, 34)",4.25,R
87,88.,"Jason Kipnis (10, 33)",4.24,L
88,89.,"Ramon Laureano (3, 25)",4.20,R
89,90.,"DJ LeMahieu (10, 31)",4.17,R
90,91.,"Chris Taylor (7, 29)",4.04,R
91,92.,"Adam Frazier (5, 28)",4.03,L
92,93.,"Yadier Molina (17, 37)",4.02,R
93,94.,"Rhys Hoskins (4, 27)",3.95,R
94,95.,"Robbie Grossman (8, 30)",3.94,B
95,96.,"Chris Iannetta (14, 37)",3.89,R
96,97.,"Miguel Sano (6, 27)",3.88,R
97,98.,"Whit Merrifield (5, 31)",3.80,R
98,99.,"Gregory Polanco (7, 28)",3.68,L
99,100.,"Asdrubal Cabrera (14, 34)",3.61,B
100,100.,"Mark Canha (6, 31)",3.61,R
