,Rank,"Player (yrs, age)",Errors Committed as C,Throws
0,1.,"Yadier Molina (17, 37)",77,R
1,2.,"Jonathan Lucroy (11, 34)",64,R
2,3.,"Kurt Suzuki (14, 36)",62,R
3,4.,"Matt Wieters (12, 34)",58,R
4,5.,"Jeff Mathis (16, 37)",57,R
5,6.,"Welington Castillo (10, 33)",48,R
6,7.,"Yan Gomes (9, 32)",47,R
7,8.,"Wilson Ramos (11, 32)",45,R
8,9.,"Willson Contreras (5, 28)",44,R
9,9.,"Chris Iannetta (14, 37)",44,R
10,11.,"Martin Maldonado (10, 33)",43,R
11,11.,"Gary Sanchez (6, 27)",43,R
12,13.,"Yasmani Grandal (9, 31)",42,R
13,14.,"Buster Posey (11, 33)",41,R
14,14.,"J.T. Realmuto (7, 29)",41,R
15,16.,"Austin Hedges (6, 27)",38,R
16,17.,"Alex Avila (12, 33)",37,R
17,18.,"Salvador Perez (9, 30)",36,R
18,19.,"Tyler Flowers (12, 34)",34,R
19,20.,"Rene Rivera (12, 36)",32,R
20,21.,"Wilin Rosario (5, 31)",30,R
21,22.,"Mike Zunino (8, 29)",28,R
22,23.,"Jason Castro (10, 33)",27,R
23,24.,"Jorge Alfaro (5, 27)",26,R
24,24.,"Robinson Chirinos (9, 36)",26,R
25,26.,"Drew Butera (11, 36)",25,R
26,26.,"Elias Diaz (6, 29)",25,R
27,28.,"Travis d'Arnaud (8, 31)",24,R
28,28.,"Omar Narvaez (5, 28)",24,R
29,30.,"Caleb Joseph (7, 34)",22,R
30,30.,"James McCann (7, 30)",22,R
31,32.,"Carlos Santana (11, 34)",21,R
32,32.,"Stephen Vogt (8, 35)",21,R
33,34.,"Christian Vazquez (6, 29)",20,R
34,35.,"Sandy Leon (9, 31)",19,R
35,35.,"Roberto Perez (7, 31)",19,R
36,37.,"Andrew Knapp (4, 28)",17,R
37,37.,"Luke Maile (5, 29)",17,R
38,37.,"Josh Phegley (8, 32)",17,R
39,37.,"Manny Pina (7, 33)",17,R
