,Rank,"Player (yrs, age)",Caught Stealing %,Throws
0,1.,"Roberto Perez (7, 31)",41.36,R
1,2.,"Yadier Molina (17, 37)",40.28,R
2,3.,"Christian Vazquez (6, 29)",39.11,R
3,4.,"Rene Rivera (12, 36)",36.08,R
4,5.,"Martin Maldonado (10, 33)",36.03,R
5,6.,"James McCann (7, 30)",35.88,R
6,7.,"J.T. Realmuto (7, 29)",35.83,R
7,8.,"Salvador Perez (9, 30)",35.13,R
8,9.,"Yan Gomes (9, 32)",33.33,R
9,10.,"Buster Posey (11, 33)",33.06,R
10,11.,"Josh Phegley (8, 32)",32.77,R
11,12.,"Tucker Barnhart (7, 29)",32.73,R
12,13.,"Matt Wieters (12, 34)",32.36,R
13,14.,"Austin Hedges (6, 27)",32.19,R
14,15.,"Welington Castillo (10, 33)",32.03,R
15,16.,"Willson Contreras (5, 28)",31.54,R
16,17.,"Caleb Joseph (7, 34)",31.34,R
17,18.,"Tony Wolters (5, 28)",31.03,R
18,19.,"Drew Butera (11, 36)",29.93,R
19,20.,"Alex Avila (12, 33)",29.91,R
20,21.,"Mike Zunino (8, 29)",29.38,R
21,22.,"Wilin Rosario (5, 31)",27.98,R
22,23.,"Jonathan Lucroy (11, 34)",27.84,R
23,24.,"Jeff Mathis (16, 37)",27.76,R
24,25.,"Wilson Ramos (11, 32)",27.34,R
25,26.,"Yasmani Grandal (9, 31)",26.44,R
26,27.,"Jason Castro (10, 33)",26.10,R
27,28.,"Carlos Santana (11, 34)",25.27,R
28,29.,"Stephen Vogt (8, 35)",24.83,R
29,30.,"Chris Iannetta (14, 37)",24.31,R
30,31.,"Robinson Chirinos (9, 36)",24.02,R
31,32.,"Kevin Plawecki (6, 29)",23.28,R
32,33.,"Kurt Suzuki (14, 36)",22.89,R
33,34.,"Austin Romine (9, 31)",22.62,R
34,35.,"Tyler Flowers (12, 34)",22.42,R
35,36.,"Travis d'Arnaud (8, 31)",21.53,R
36,36.,"Omar Narvaez (5, 28)",21.53,R
