,Year,G,ARI,ATL,CHC,CIN,COL,HOU,LAD,MIA,MIL,NYM,PHI,PIT,SDP,SFG,STL,WSN
0,year_ID,G,ARI,ATL,CHC,CIN,COL,HOU,LAD,FLA,MIL,NYM,PHI,PIT,SDP,SFG,STL,WSN
1,A Star indicates an all-star that season.<br>A Ring indicates the player appeared in WS for winning team.,Games Played or Pitched,<strong>Arizona Diamondbacks</strong><br><em>Team Names</em><br>Arizona Diamondbacks,<strong>Atlanta Braves</strong><br><em>Team Names</em><br>Atlanta Braves<br>Milwaukee Braves<br>Boston Bees<br>Boston Braves<br>Boston Rustlers<br>Boston Doves<br>Boston Beaneaters<br>Boston Red Stockings,<strong>Chicago Cubs</strong><br><em>Team Names</em><br>Chicago Cubs<br>Chicago Orphans<br>Chicago Colts<br>Chicago White Stockings,<strong>Cincinnati Reds</strong><br><em>Team Names</em><br>Cincinnati Redlegs<br>Cincinnati Reds<br>Cincinnati Red Stockings,<strong>Colorado Rockies</strong><br><em>Team Names</em><br>Colorado Rockies,<strong>Houston Astros</strong><br><em>Team Names</em><br>Houston Astros<br>Houston Colt .45s,<strong>Los Angeles Dodgers</strong><br><em>Team Names</em><br>Los Angeles Dodgers<br>Brooklyn Robins<br>Brooklyn Dodgers<br>Brooklyn Superbas<br>Brooklyn Grooms<br>Brooklyn Bridegrooms<br>Brooklyn Grays<br>Brooklyn Atlantics,<strong>Miami Marlins</strong><br><em>Team Names</em><br>Miami Marlins<br>Florida Marlins,<strong>Milwaukee Brewers</strong><br><em>Team Names</em><br>Milwaukee Brewers<br>Seattle Pilots,<strong>New York Mets</strong><br><em>Team Names</em><br>New York Mets,<strong>Philadelphia Phillies</strong><br><em>Team Names</em><br>Philadelphia Phillies<br>Philadelphia Quakers,<strong>Pittsburgh Pirates</strong><br><em>Team Names</em><br>Pittsburgh Pirates<br>Pittsburgh Alleghenys,<strong>San Diego Padres</strong><br><em>Team Names</em><br>San Diego Padres,<strong>San Francisco Giants</strong><br><em>Team Names</em><br>San Francisco Giants<br>New York Giants<br>New York Gothams,<strong>St. Louis Cardinals</strong><br><em>Team Names</em><br>St. Louis Cardinals<br>St. Louis Perfectos<br>St. Louis Browns<br>St. Louis Brown Stockings,<strong>Washington Nationals</strong><br><em>Team Names</em><br>Washington Nationals<br>Montreal Expos
