,Year,G,BAL,BLA,BOS,CHW,CLE,DET,HOU,KCR,LAA,MIL,MIN,NYY,OAK,SEA,TBR,TEX,TOR
63,1957,154,76,,82,90,76,78,,,,,55,98,59,,,,
64,1956,154,69,,84,85,88,82,,,,,59,97,52,,,,
65,1955,154,57,,84,91,93,79,,,,,53,96,63,,,,
66,1954,154,54,,69,94,111,68,,,,,66,103,51,,,,
67,1953,154,54,,84,89,92,60,,,,,76,99,59,,,,
68,1952,154,64,,76,81,93,50,,,,,78,95,79,,,,
69,1951,154,52,,87,81,93,73,,,,,62,98,70,,,,
70,1950,154,58,,94,60,92,95,,,,,67,98,52,,,,
71,1949,154,53,,96,63,89,87,,,,,50,97,81,,,,
72,1948,155,59,,96,51,97,78,,,,,56,94,84,,,,
73,1947,154,59,,83,70,80,85,,,,,64,97,78,,,,
74,1946,154,66,,104,74,68,92,,,,,76,87,49,,,,
75,1945,154,81,,71,71,73,88,,,,,87,81,52,,,,
76,1944,154,89,,77,71,72,88,,,,,64,83,72,,,,
77,1943,154,72,,68,82,82,78,,,,,84,98,49,,,,
78,1942,154,82,,93,66,75,73,,,,,62,103,55,,,,
79,1941,154,70,,84,77,75,75,,,,,70,101,64,,,,
80,1940,154,67,,82,82,89,90,,,,,64,88,54,,,,
81,1939,154,43,,89,85,87,81,,,,,65,106,55,,,,
82,1938,154,55,,88,65,86,84,,,,,75,99,53,,,,
83,1937,154,46,,80,86,83,89,,,,,73,102,54,,,,
84,1936,154,57,,74,81,80,83,,,,,82,102,53,,,,
85,1935,153,65,,78,74,82,93,,,,,67,89,58,,,,
86,1934,154,67,,76,53,85,101,,,,,66,94,68,,,,
87,1933,154,55,,63,67,75,75,,,,,99,91,79,,,,
88,1932,154,63,,43,49,87,76,,,,,93,107,94,,,,
89,1931,154,63,,62,56,78,61,,,,,92,94,107,,,,
90,1930,154,64,,52,62,81,75,,,,,94,86,102,,,,
91,1929,154,79,,58,59,81,70,,,,,71,88,104,,,,
92,1928,154,82,,57,72,62,68,,,,,75,101,98,,,,
93,1927,154,59,,51,70,66,82,,,,,85,110,91,,,,
94,1926,154,62,,46,81,88,79,,,,,81,91,83,,,,
95,1925,154,82,,47,79,70,81,,,,,96,69,88,,,,
96,1924,154,74,,67,66,67,86,,,,,92,89,71,,,,
97,1923,154,74,,61,69,82,83,,,,,75,98,69,,,,
98,1922,154,93,,61,77,78,79,,,,,69,94,65,,,,
99,1921,154,81,,75,62,94,71,,,,,80,98,53,,,,
100,1920,154,76,,72,96,98,61,,,,,68,95,48,,,,
101,1919,140,67,,66,88,84,80,,,,,56,80,36,,,,
102,1918,128,58,,75,57,73,55,,,,,72,60,52,,,,
103,1917,154,57,,90,100,88,78,,,,,74,71,55,,,,
104,1916,154,79,,91,89,77,87,,,,,76,80,36,,,,
105,1915,154,63,,101,93,57,100,,,,,85,69,43,,,,
106,1914,154,71,,91,70,51,80,,,,,81,70,99,,,,
107,1913,154,57,,79,78,86,66,,,,,90,57,96,,,,
108,1912,154,53,,105,78,75,69,,,,,91,50,90,,,,
109,1911,154,45,,78,77,80,89,,,,,64,76,101,,,,
110,1910,154,47,,81,68,71,86,,,,,66,88,102,,,,
111,1909,153,61,,88,78,71,98,,,,,42,74,95,,,,
112,1908,154,83,,75,88,90,90,,,,,67,51,68,,,,
113,1907,152,69,,59,87,85,92,,,,,49,70,88,,,,
114,1906,154,76,,49,93,89,71,,,,,55,90,78,,,,
115,1905,154,54,,78,92,76,79,,,,,64,71,92,,,,
116,1904,154,65,,95,89,86,62,,,,,38,92,81,,,,
117,1903,140,65,,91,60,77,65,,,,,43,72,75,,,,
118,1902,138,78,50,77,74,69,52,,,,,61,,83,,,,
119,1901,137,48,68,79,83,54,74,,,,,61,,74,,,,
