,Year,G,BAL,BLA,BOS,CHW,CLE,DET,HOU,KCR,LAA,MIL,MIN,NYY,OAK,SEA,TBR,TEX,TOR
0,2020,60,25,,24,35,35,23,29,26,26,,36,33,36,27,40,22,32
1,2019,162,54,,84,72,93,47,107,59,72,,101,103,97,68,96,78,67
2,2018,162,47,,108,62,91,64,103,58,80,,78,100,97,89,90,67,73
3,2017,162,75,,93,67,102,64,101,80,80,,85,91,75,78,80,78,76
4,2016,162,89,,93,78,94,86,84,81,74,,59,84,69,86,68,95,89
5,2015,162,81,,78,76,81,74,86,95,85,,83,87,68,76,80,88,93
6,2014,162,96,,71,73,85,90,70,89,98,,70,84,88,87,77,67,83
7,2013,163,85,,97,63,92,93,51,86,78,,66,85,96,71,92,91,74
8,2012,162,93,,69,85,68,88,,72,89,,66,95,94,75,90,93,73
9,2011,162,69,,90,79,80,95,,71,86,,63,97,74,67,91,96,81
10,2010,162,66,,89,88,69,81,,67,80,,94,95,81,61,96,90,85
11,2009,163,64,,95,79,65,86,,65,97,,87,103,75,85,84,87,75
12,2008,163,68,,95,89,81,74,,75,100,,88,89,75,61,97,79,86
13,2007,162,69,,96,72,96,88,,69,94,,79,94,76,88,66,75,83
14,2006,162,70,,86,90,78,95,,62,89,,96,97,93,78,61,80,87
15,2005,162,74,,95,99,93,71,,56,95,,83,95,88,69,67,79,80
16,2004,162,78,,98,83,80,72,,58,92,,92,101,91,63,70,89,67
17,2003,162,71,,95,86,68,43,,83,77,,90,101,96,93,63,71,86
18,2002,162,67,,93,81,74,55,,62,99,,94,103,103,93,55,72,78
19,2001,162,63,,82,83,91,66,,65,75,,85,95,102,116,62,73,80
20,2000,162,74,,85,95,90,79,,77,82,,69,87,91,91,69,71,83
21,1999,162,78,,94,75,97,69,,64,70,,63,98,87,79,69,95,84
22,1998,162,79,,92,80,89,65,,72,85,,70,114,74,76,63,88,88
23,1997,162,98,,78,80,86,79,,67,84,78,68,96,65,90,,77,76
24,1996,162,88,,85,85,99,53,,75,70,80,78,92,78,85,,90,74
25,1995,145,71,,86,68,100,60,,70,78,65,56,79,67,79,,74,56
26,1994,115,63,,54,67,66,53,,64,47,53,53,70,51,49,,52,55
27,1993,162,85,,80,94,76,85,,84,71,69,71,88,68,82,,86,95
28,1992,162,89,,73,86,76,75,,72,72,92,90,76,96,64,,77,96
29,1991,162,67,,84,87,57,84,,82,81,83,95,71,84,83,,85,91
30,1990,162,76,,88,94,77,79,,75,80,74,74,67,103,77,,83,86
31,1989,162,87,,83,69,73,59,,92,91,81,80,74,99,73,,83,89
32,1988,162,54,,89,71,78,88,,84,75,87,91,85,104,68,,70,87
33,1987,162,67,,78,77,61,98,,83,75,91,85,89,81,78,,75,96
34,1986,162,73,,95,72,84,87,,76,92,77,71,90,76,67,,87,86
35,1985,162,83,,81,85,60,84,,91,90,71,77,97,77,74,,62,99
36,1984,162,85,,86,74,75,104,,84,81,67,81,87,77,74,,69,89
37,1983,162,98,,78,99,70,92,,79,70,87,70,91,74,60,,77,89
38,1982,162,94,,89,87,78,83,,90,93,95,60,79,68,76,,64,78
39,1981,110,59,,59,54,52,60,,50,51,62,41,59,64,44,,57,37
40,1980,162,100,,83,70,79,84,,97,65,86,77,103,83,59,,76,67
41,1979,162,102,,91,73,81,85,,85,88,95,82,89,54,67,,83,53
42,1978,163,90,,99,71,69,86,,92,87,93,73,100,69,56,,87,59
43,1977,162,97,,97,90,71,74,,102,74,67,84,100,63,64,,94,54
44,1976,162,88,,83,64,81,74,,90,76,66,85,97,87,,,76,
45,1975,162,90,,95,75,79,57,,91,72,68,76,83,98,,,79,
46,1974,162,91,,84,80,77,72,,77,68,76,82,89,90,,,84,
47,1973,162,97,,89,77,71,85,,88,79,74,81,80,94,,,57,
48,1972,156,80,,85,87,72,86,,76,75,65,77,79,93,,,54,
49,1971,162,101,,85,79,60,91,,85,76,69,74,82,101,,,63,
50,1970,162,108,,87,56,76,79,,65,86,65,98,93,89,,,70,
51,1969,162,109,,87,68,62,90,,69,71,64,97,80,88,,,86,
52,1968,162,91,,86,67,86,103,,,67,,79,83,82,,,65,
53,1967,162,76,,92,89,75,91,,,84,,91,72,62,,,76,
54,1966,162,97,,72,83,81,88,,,80,,89,70,74,,,71,
55,1965,162,94,,62,95,87,89,,,75,,102,77,59,,,70,
56,1964,162,97,,72,98,79,85,,,82,,79,99,57,,,62,
57,1963,162,86,,76,94,79,79,,,70,,91,104,73,,,56,
58,1962,162,77,,76,85,80,85,,,86,,91,96,72,,,60,
59,1961,162,95,,76,86,78,101,,,70,,70,109,61,,,61,
60,1960,154,89,,65,87,76,71,,,,,73,97,58,,,,
61,1959,154,74,,75,94,89,76,,,,,63,79,66,,,,
62,1958,154,74,,79,82,77,77,,,,,61,92,73,,,,
