,Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
0,year_ID,teams,batters_used,age_bat,runs_per_game,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,TB,GIDP,HBP,SH,SF,IBB
1,A Star indicates an all-star that season.<br>A Ring indicates the player appeared in WS for winning team.,,<strong>Number of Players used in Games</strong>,<strong>Batters&#x2019; average age</strong><br>Weighted by AB + Games Played,Runs Scored Per Game,Games Played or Pitched,"<strong>Plate Appearances</strong><br>When available, we use actual plate appearances from play-by-play game accounts<br>Otherwise estimated using AB + BB + HBP + SF + SH,<br>which excludes catcher interferences.<br>When <span class=tooltip>this color</span> click for a summary of each PA.",At Bats,Runs Scored/Allowed,Hits/Hits Allowed,Doubles Hit/Allowed,Triples Hit/Allowed,Home Runs Hit/Allowed,Runs Batted In,Stolen Bases,Caught Stealing,Bases on Balls/Walks,Strikeouts,"<strong>Hits/At Bats</strong><br>For recent years, leaders need 3.1 PA<br>per team game played<br>Bold indicates highest BA using current stats<br><span class=""all_time_record"">Gold</span> means awarded title at end of year.","<strong>(H + BB + HBP)/(At Bats + BB + HBP + SF)</strong><br>For recent years, leaders need 3.1 PA<br>per team game played","<strong>Total Bases/At Bats or <br>(1B + 2*2B + 3*3B + 4*HR)/AB</strong><br>For recent years, leaders need 3.1 PA<br>per team game played","<strong>On-Base + Slugging Percentages </strong><br>For recent years, leaders need 3.1 PA<br>per team game played",<strong>Total Bases</strong><br>Singles + 2 x Doubles + 3 x Triples + 4 x Home Runs.,"<strong>Double Plays Grounded Into</strong><br>Only includes standard 6-4-3, 4-3, etc. double plays.<br>First tracked in 1933.<br>For gamelogs only in seasons we have play-by-play, we include triple plays as well.<br>All official seasonal totals do not include GITP's.",Times Hit by a Pitch.,Sacrifice Hits (Sacrifice Bunts),<strong>Sacrifice Flies</strong><br>First tracked in 1954.,<strong>Intentional Bases on Balls</strong><br>First tracked in 1955.
