,Year,Tms,#Fld,R/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9,PB,WP,SB,CS,CS%,PO
0,2020,15,655,4.58,898,8082,6080,70013.2,31382,23338,7546,498,683,.984,18.0,74,350,431,148,25.6%,59
1,2019,15,758,4.88,2428,21838,16751,195216.1,88011,65069,21487,1455,1986,.983,18.2,180,1005,1147,430,27.3%,175
2,2018,15,729,4.53,2430,21870,16868,194946.1,88226,64982,21881,1363,2021,.985,18.5,219,1014,1239,484,28.1%,160
3,2017,15,728,4.71,2430,21870,16774,194676.1,88793,64892,22471,1430,2205,.984,18.7,197,946,1273,459,26.5%,147
4,2016,15,692,4.52,2428,21852,16842,194499 ,89525,64833,23333,1359,2204,.985,19.0,196,889,1131,470,29.4%,159
5,2015,15,706,4.39,2428,21852,16591,195248.2,90415,65083,23925,1407,2145,.984,19.4,174,938,1147,532,31.7%,191
6,2014,15,689,4.18,2430,21870,16739,196188.1,90131,65396,23276,1459,2086,.984,19.3,166,863,1384,501,26.6%,183
7,2013,15,672,4.33,2432,21888,16902,196254 ,90147,65418,23387,1342,2188,.985,19.3,190,904,1416,499,26.1%,171
8,2012,14,621,4.45,2268,20412,15826,182565 ,84763,60855,22560,1348,2131,.984,19.6,170,724,1527,521,25.4%,196
9,2011,14,609,4.46,2268,20412,16070,182549.2,84997,60850,22715,1432,2033,.983,20.1,148,776,1591,620,28.0%,221
10,2010,14,600,4.45,2268,20412,16013,181953 ,84808,60651,22747,1410,2077,.983,20.2,141,836,1502,533,26.2%,185
11,2009,14,613,4.82,2270,20430,15976,181559.2,84116,60520,22272,1324,2139,.984,20.1,153,728,1512,542,26.4%,177
12,2008,14,615,4.78,2268,20412,15653,182000.2,84918,60667,22870,1381,2258,.984,20.4,152,751,1308,488,27.2%,179
13,2007,14,610,4.90,2268,20412,15810,181604.2,84863,60535,22955,1373,2236,.984,20.4,160,754,1356,492,26.6%,136
14,2006,14,610,4.97,2268,20412,15828,181089 ,84866,60363,23126,1377,2235,.984,20.6,165,755,1227,521,29.8%,167
15,2005,14,593,4.76,2268,20412,16018,181620 ,85109,60540,23133,1436,2158,.983,20.8,132,694,1210,516,29.9%,164
16,2004,14,619,5.01,2266,20394,15837,182232 ,85074,60744,22810,1520,2123,.982,20.6,182,720,1184,553,31.8%,204
17,2003,14,605,4.86,2270,20430,15930,182025 ,85228,60675,23078,1475,2132,.983,20.9,160,682,1269,545,30.0%,179
18,2002,14,608,4.81,2264,20376,15938,181476 ,84719,60492,22740,1487,2081,.982,20.7,177,776,1242,581,31.9%,187
19,2001,14,583,4.86,2266,20394,15875,181917 ,85353,60639,23125,1589,2095,.981,20.6,174,737,1653,685,29.3%,235
20,2000,14,602,5.30,2265,20385,15619,181269 ,85273,60423,23282,1568,2280,.982,20.7,150,692,1332,582,30.4%,182
21,1999,14,597,5.18,2265,20385,15819,180690.1,85277,60230,23454,1593,2288,.981,20.8,183,748,1460,715,32.9%,193
22,1998,14,584,5.01,2268,20412,15782,181752.1,85473,60584,23295,1594,2085,.981,20.6,202,768,1645,750,31.3%,167
23,1997,14,583,4.93,2264,20376,15502,181784.2,85217,60595,23062,1560,2186,.982,20.6,180,785,1537,741,32.5%,243
24,1996,14,599,5.39,2266,20394,15180,182445.1,85625,60815,23240,1570,2278,.982,20.8,168,771,1454,634,30.4%,213
25,1995,14,595,5.06,2020,18180,13597,161784 ,76408,53928,21108,1372,1990,.982,20.9,210,720,1331,586,30.6%,201
26,1994,14,503,5.23,1594,14346,11181,128067.1,60578,42689,16734,1155,1508,.981,20.9,126,614,1117,503,31.0%,157
27,1993,14,573,4.71,2268,20412,15610,182000.2,86250,60667,23976,1607,2209,.981,21.2,166,726,1549,872,36.0%,139
28,1992,14,546,4.32,2268,20412,15738,182961 ,86930,60987,24287,1656,2204,.981,21.6,158,731,1704,860,33.5%,116
29,1991,14,571,4.49,2268,20412,14933,183438 ,87238,61146,24465,1627,2214,.981,21.3,213,766,1469,758,34.0%,113
30,1990,14,562,4.30,2266,20394,15334,181640.2,86236,60547,24025,1664,2231,.981,21.3,212,775,1503,783,34.3%,236
31,1989,14,548,4.29,2266,20394,15586,181629 ,86746,60546,24458,1742,2208,.980,21.5,195,697,1587,726,31.4%,217
32,1988,14,533,4.36,2262,20358,15770,181683 ,85784,60561,23558,1665,2150,.981,21.5,190,711,1512,689,31.3%,176
33,1987,14,526,4.90,2268,20412,15642,181761.1,86043,60587,23725,1731,2119,.980,21.0,267,762,1734,772,30.8%,160
34,1986,14,524,4.61,2268,20412,15712,181829.2,85788,60610,23398,1780,2159,.979,21.2,208,757,1470,762,34.1%,137
35,1985,14,519,4.56,2264,20376,15463,181656 ,86529,60552,24174,1803,2222,.979,21.7,180,639,1461,715,32.9%,148
36,1984,14,503,4.42,2268,20412,15202,182520 ,86973,60840,24280,1853,2179,.979,21.9,148,616,1304,738,36.1%,163
37,1983,14,506,4.48,2270,20429,15649,182529 ,87612,60843,24938,1831,2273,.979,22.1,139,564,1539,749,32.7%,270
38,1982,14,501,4.48,2270,20429,15810,183015 ,87722,61006,24948,1768,2208,.980,22.2,144,582,1394,796,36.3%,222
39,1981,14,482,4.07,1500,13500,10454,121137.1,58677,40379,17132,1166,1487,.980,22.4,93,360,913,556,37.8%,147
40,1980,14,490,4.51,2264,20376,15735,182985.1,88541,60995,25626,1920,2368,.978,22.4,172,588,1455,775,34.8%,205
41,1979,14,492,4.67,2256,20286,15837,180465.1,87578,60155,25461,1962,2318,.978,22.5,182,653,1496,831,35.7%,249
42,1978,14,483,4.20,2262,20358,16040,181469.2,87716,60490,25291,1935,2146,.978,22.5,135,553,1471,892,37.7%,243
43,1977,14,501,4.53,2262,20374,16017,182016 ,87834,60672,25175,1987,2143,.977,22.0,128,626,1461,937,39.1%,241
44,1976,12,403,4.01,1934,17406,13872,157214.2,75908,52405,21786,1717,1821,.977,22.3,127,491,1690,866,33.9%,209
45,1975,12,428,4.30,1926,17334,13704,155463.1,75257,51821,21585,1851,1854,.975,22.1,133,552,1349,817,37.7%,226
46,1974,12,416,4.10,1946,17514,13775,157038.1,75586,52346,21493,1747,1954,.977,22.1,172,493,1233,757,38.0%,196
47,1973,12,414,4.28,1944,17501,13918,156570.1,75491,52190,21599,1702,1994,.977,21.9,162,608,1057,660,38.4%,212
48,1972,12,426,3.47,1858,16722,13085,149883.1,71631,49923,20173,1535,1770,.979,21.5,161,471,851,538,38.7%,159
49,1971,12,419,3.87,1932,17387,13723,155621.2,74324,51803,21009,1512,1849,.980,21.6,203,526,865,549,38.8%,130
50,1970,12,426,4.17,1946,17515,13513,157023 ,75028,52275,21124,1629,1850,.978,21.3,189,617,862,561,39.4%,139
51,1969,12,434,4.09,1946,17514,13564,157529.2,75345,52437,21235,1673,1852,.978,21.4,247,636,1032,575,35.8%,167
52,1968,10,349,3.41,1624,14615,11337,130977 ,62215,43610,17232,1373,1388,.978,21.0,168,509,810,472,36.8%,88
53,1967,10,358,3.70,1620,14580,11021,131415.1,62295,43785,17185,1325,1388,.979,20.9,171,507,679,471,41.0%,89
54,1966,10,353,3.89,1612,14508,11247,130434.1,62031,43478,17167,1386,1457,.978,21.1,147,513,716,434,37.7%,125
55,1965,10,354,3.94,1620,14580,11182,130853.2,62136,43546,17231,1359,1453,.978,21.0,211,496,701,357,33.7%,106
56,1964,10,343,4.06,1628,14652,11576,131535 ,62168,43777,17130,1261,1486,.980,20.9,180,490,540,318,37.1%,94
57,1963,10,351,4.08,1616,14544,11765,130965.1,61936,43591,16998,1347,1445,.978,21.3,147,428,553,268,32.6%,90
58,1962,10,365,4.44,1618,14562,11709,130635 ,61951,43449,17138,1364,1507,.978,21.7,159,404,562,320,36.3%,110
59,1961,10,356,4.53,1622,14598,11706,129840.1,61956,43213,17237,1506,1585,.976,21.8,175,424,579,325,36.0%,99
60,1960,8,289,4.39,1234,11106,8540,99747 ,47755,33246,13464,1045,1276,.978,22.1,120,294,420,282,40.2%,65
61,1959,8,289,4.36,1236,11123,8758,99477 ,47773,33165,13497,1111,1196,.977,22.0,137,272,414,278,40.2%,77
62,1958,8,282,4.17,1238,11144,8741,99216 ,47200,33022,13177,1001,1313,.979,22.1,143,246,352,308,46.7%,80
63,1957,8,279,4.23,1232,11088,8661,100140.1,48022,33350,13654,1018,1316,.979,22.3,117,243,368,326,47.0%,70
64,1956,8,285,4.66,1236,11124,8721,99285.1,47633,33082,13381,1170,1325,.975,22.3,84,258,347,278,44.5%,92
65,1955,8,317,4.44,1236,11124,8659,99240.1,47487,33055,13343,1089,1281,.977,22.6,90,245,315,278,46.9%,99
66,1954,8,267,4.19,1242,11178,9164,99945 ,48018,33291,13607,1120,1276,.977,22.8,67,179,358,332,48.1%,75
67,1953,8,269,4.46,1236,11124,9151,99542.2,48026,33175,13783,1068,1344,.978,23.0,90,247,328,341,51.0%,81
68,1952,8,281,4.18,1242,11178,9294,100604.2,48531,33505,13897,1129,1300,.977,22.9,73,210,373,320,46.2%,110
69,1951,8,272,4.63,1234,11106,9298,99488.2,48162,33163,13799,1200,1398,.975,23.3,82,196,416,350,45.7%,107
70,1950,8,266,5.04,1240,11160,9625,98667 ,47687,32867,13682,1138,1448,.976,23.3,72,214,271,257,48.7%,78
71,1949,8,261,4.67,1236,11124,9535,98469 ,47749,32821,13830,1098,1487,.977,23.4,53,250,367,303,45.2%,85
72,1948,8,251,4.73,1236,11124,9614,98786.2,47791,32937,13754,1100,1351,.977,23.5,80,233,363,291,44.5%,69
73,1947,8,257,4.14,1246,11214,9830,99684 ,47915,33206,13630,1079,1304,.977,23.2,73,190,397,335,45.8%,65
74,1946,8,307,4.06,1242,11177,9799,99558 ,48179,33175,13701,1303,1252,.973,22.7,129,168,409,342,45.5%,70
75,1945,8,260,3.90,1224,11016,9707,98538.1,48442,32848,14292,1302,1236,.973,23.6,119,179,453,377,45.4%,57
76,1944,8,255,4.09,1238,11143,9899,100532.2,49380,33496,14454,1430,1279,.971,23.6,117,211,542,341,38.6%,52
77,1943,8,250,3.89,1234,11106,9966,101043 ,49272,33692,14274,1306,1245,.973,23.4,99,181,629,449,41.7%,77
78,1942,8,252,4.26,1222,10998,9858,98408.2,48146,32797,13943,1406,1207,.971,23.6,110,204,540,393,42.1%,75
79,1941,8,260,4.74,1244,11196,10024,99780.1,48615,33244,13988,1383,1242,.972,23.4,108,270,475,325,40.6%,72
80,1940,8,245,4.97,1238,11142,9968,98622 ,48156,32877,13839,1440,1195,.970,23.1,102,271,479,336,41.2%,68
81,1939,8,259,5.21,1230,11070,9758,97893 ,47777,32661,13651,1465,1183,.969,23.4,103,244,590,345,36.9%,87
82,1938,8,247,5.37,1226,11034,9973,96705 ,47471,32251,13837,1383,1282,.971,23.4,92,223,542,326,37.6%,75
83,1937,8,246,5.23,1244,11196,10072,98574.1,48575,32848,14359,1368,1245,.972,23.3,89,201,564,338,37.5%,96
84,1936,8,237,5.67,1236,11124,9986,98399.2,48426,32809,14208,1409,1232,.971,23.7,95,325,564,324,36.5%,94
85,1935,8,242,5.09,1222,10998,9841,98217 ,48342,32733,14268,1341,1158,.972,23.7,77,208,478,330,40.8%,95
86,1934,8,247,5.13,1230,11070,9810,98142.1,48366,32703,14237,1426,1225,.971,23.5,77,233,549,315,36.5%,99
87,1933,8,230,5.00,1216,10944,9483,98061.1,48529,32694,14458,1377,1124,.972,23.8,56,186,454,379,45.5%,80
88,1932,8,240,5.23,1230,11070,9694,99042.1,48871,33000,14372,1499,1197,.969,23.7,63,186,543,414,43.3%,78
89,1931,8,243,5.14,1236,11124,9742,99252 ,49022,33082,14375,1565,1130,.968,23.7,56,166,630,457,42.0%,79
90,1930,8,252,5.41,1232,11088,9575,98210.2,48497,32695,14252,1550,1164,.968,23.6,83,172,599,428,41.7%,82
91,1929,8,245,5.01,1226,11034,9586,98244 ,48963,32717,14722,1524,1197,.969,24.1,79,191,643,498,43.6%,96
92,1928,8,254,4.76,1234,11106,9711,98831.2,49266,32858,14868,1540,1167,.969,24.0,85,138,702,489,41.1%,119
93,1927,8,255,4.92,1238,11142,9707,99029.2,50295,33019,15619,1657,1155,.967,24.2,70,173,788,508,39.2%,150
94,1926,8,241,4.73,1232,11088,9687,98507.2,49654,32805,15327,1522,1113,.969,24.2,82,160,668,503,43.0%,116
95,1925,8,261,5.20,1232,11088,9508,98777.2,49896,32910,15358,1628,1229,.967,24.3,81,176,714,589,45.2%,147
96,1924,8,268,4.97,1234,11106,9771,98516.2,49534,32830,15189,1515,1113,.969,24.3,100,177,747,594,44.3%,141
97,1923,8,249,4.78,1232,11087,9801,99114.1,50169,32988,15582,1599,1095,.968,24.1,109,171,742,608,45.0%,128
98,1922,8,244,4.75,1236,11123,9983,99558 ,50358,33032,15788,1538,1136,.969,24.1,94,181,698,533,43.3%,129
99,1921,8,243,5.12,1232,11088,9914,99180 ,50426,32995,15684,1747,1099,.965,24.1,93,179,682,550,44.6%,134
100,1920,8,256,4.76,1234,11106,10059,99339.1,50910,33008,16182,1720,960,.966,24.0,83,218,753,705,48.4%,113
101,1919,8,244,4.09,1120,10078,9143,90402.1,46179,30112,14451,1616,805,.965,23.8,90,191,917,736,44.5%,112
102,1918,8,240,3.64,1016,9145,8364,82982.2,42693,27602,13546,1545,800,.964,24.1,97,152,979,777,44.2%,131
103,1917,8,244,3.65,1244,11196,10058,101070 ,51717,33644,16202,1871,965,.964,23.7,139,213,1271,1022,44.6%,
104,1916,8,264,3.68,1250,11249,9906,101601 ,52219,33811,16564,1844,966,.965,23.3,137,255,1427,1055,42.5%,
105,1915,8,284,3.96,1242,11178,9993,99999 ,51577,33286,16184,2107,860,.959,23.1,165,282,1444,1068,42.5%,
106,1914,8,274,3.65,1262,11339,10114,101360.2,52262,33698,16430,2134,848,.959,22.9,180,291,1660,1378,45.4%,
107,1913,8,292,3.93,1228,11044,9931,98453.2,51165,32761,16299,2105,866,.959,23.0,160,278,1686,1355,44.6%,
108,1912,8,318,4.44,1238,11132,10190,98399.2,51720,32996,16260,2464,816,.952,22.8,173,308,1803,1340,42.6%,
109,1911,8,275,4.61,1228,11049,10097,98444.2,51534,32762,16356,2416,770,.953,22.8,197,313,1712,1398,45.0%,
110,1910,8,256,3.64,1256,11301,10477,101531.2,53273,33815,17137,2321,795,.956,22.8,149,290,1689,1342,44.3%,
111,1909,8,257,3.44,1240,11159,10284,99258.1,51779,32990,16575,2214,786,.957,23.0,144,290,1540,1278,45.4%,
112,1908,8,221,3.45,1244,11193,10332,100298.2,52439,33331,16886,2222,675,.958,23.0,136,274,1352,1128,45.5%,
113,1907,8,208,3.66,1234,11100,10409,99042.1,51996,32981,16802,2213,729,.957,23.3,179,254,1406,1111,44.1%,
114,1906,8,201,3.67,1226,11032,10447,97778.2,50964,32572,16230,2162,674,.958,23.2,157,244,1538,1232,44.5%,
115,1905,8,202,3.68,1234,11106,10603,98808.1,50755,32845,15724,2186,640,.957,22.8,163,274,1340,1076,44.5%,
116,1904,8,167,3.54,1252,11268,10926,99758.2,51818,33239,16465,2114,688,.959,22.9,144,260,1208,964,44.4%,
117,1903,8,177,4.10,1108,9971,,88056 ,45788,29331,14305,2152,685,.953,23.1,164,195,1170,931,44.3%,
118,1902,8,188,4.89,1106,9936,,87594.1,46318,29159,14801,2358,809,.949,24.5,179,205,1315,1044,44.3%,
119,1901,8,185,5.35,1098,9864,,86094 ,46101,28666,14560,2875,802,.938,24.4,189,220,1449,1150,44.2%,
