,Year,G,ARI,ATL,CHC,CIN,COL,HOU,LAD,MIA,MIL,NYM,PHI,PIT,SDP,SFG,STL,WSN
105,1915,154,,83,73,71,,,80,,,,90,73,,69,72,
106,1914,154,,94,78,60,,,75,,,,74,69,,84,81,
107,1913,153,,69,88,64,,,65,,,,88,78,,101,51,
108,1912,153,,52,91,75,,,58,,,,73,93,,103,63,
109,1911,154,,44,92,70,,,64,,,,79,85,,99,75,
110,1910,154,,53,104,75,,,64,,,,78,86,,91,63,
111,1909,153,,45,104,77,,,55,,,,74,110,,92,54,
112,1908,154,,63,99,73,,,53,,,,83,98,,98,49,
113,1907,154,,58,107,66,,,65,,,,83,91,,82,52,
114,1906,153,,49,116,64,,,66,,,,71,93,,96,52,
115,1905,154,,51,92,79,,,48,,,,83,96,,105,58,
116,1904,154,,55,93,88,,,56,,,,52,87,,106,75,
117,1903,140,,58,82,74,,,70,,,,49,91,,84,43,
118,1902,140,,73,68,70,,,75,,,,56,103,,48,56,
119,1901,140,,69,53,52,,,79,,,,83,90,,52,76,
