,Year,G,ARI,ATL,CHC,CIN,COL,HOU,LAD,MIA,MIL,NYM,PHI,PIT,SDP,SFG,STL,WSN
0,2020,60,25,35,34,31,26,,43,31,29,26,28,19,37,29,30,26
1,2019,162,85,97,84,75,71,,106,57,89,86,81,69,70,77,91,93
2,2018,163,82,90,95,67,91,,92,63,96,77,80,82,66,73,88,82
3,2017,162,93,72,92,68,87,,104,77,86,70,66,75,71,64,83,97
4,2016,162,69,68,103,68,75,,91,79,73,87,71,78,68,87,86,95
5,2015,162,79,67,97,64,68,,92,71,68,90,63,98,74,84,100,83
6,2014,162,64,79,73,76,66,,94,77,82,79,73,88,77,88,90,96
7,2013,162,81,96,66,90,74,,92,62,74,74,73,94,76,76,97,86
8,2012,162,81,94,61,97,64,55,86,69,83,74,81,79,76,94,88,98
9,2011,162,94,89,71,79,73,56,82,72,96,77,102,72,71,86,90,80
10,2010,162,65,91,75,91,83,76,80,80,77,79,97,57,90,92,86,69
11,2009,162,70,86,83,78,92,74,95,87,80,70,93,62,75,88,91,59
12,2008,162,82,72,97,74,74,86,84,84,90,89,92,67,63,72,86,59
13,2007,163,90,84,85,72,90,73,82,71,83,88,89,68,89,71,78,73
14,2006,162,76,79,66,80,76,82,88,78,75,97,85,67,88,76,83,71
15,2005,162,77,90,79,73,67,89,71,83,81,83,88,67,82,75,100,81
16,2004,162,51,96,89,76,68,92,93,83,67,71,86,72,87,91,105,67
17,2003,162,84,101,88,69,74,87,85,91,68,66,86,75,64,100,85,83
18,2002,162,98,101,67,78,73,84,92,79,56,75,80,72,66,95,97,83
19,2001,162,92,88,88,66,73,93,86,76,68,82,86,62,79,90,93,68
20,2000,162,85,95,65,85,82,72,86,79,73,94,65,69,76,97,95,67
21,1999,163,100,103,67,96,72,97,77,64,74,97,77,78,74,86,75,68
22,1998,163,65,106,90,77,77,102,83,54,74,88,75,69,98,89,83,65
23,1997,162,,101,68,76,83,84,88,92,,88,68,79,76,90,73,78
24,1996,162,,96,76,81,83,82,90,80,,71,67,73,91,68,88,88
25,1995,144,,90,73,85,77,76,78,67,,69,69,58,70,67,62,66
26,1994,117,,68,49,66,53,66,58,51,,55,54,53,47,55,53,74
27,1993,162,,104,84,73,67,85,81,64,,59,97,75,61,103,87,94
28,1992,162,,98,78,90,,81,63,,,72,70,96,82,72,83,87
29,1991,162,,94,77,74,,65,93,,,77,78,98,84,75,84,71
30,1990,162,,65,77,91,,75,86,,,91,77,95,75,85,70,85
31,1989,162,,63,93,75,,86,77,,,87,67,74,89,92,86,81
32,1988,162,,54,77,87,,82,94,,,100,65,85,83,83,76,81
33,1987,162,,69,76,84,,76,73,,,92,80,80,65,90,95,91
34,1986,162,,72,70,86,,96,73,,,108,86,64,74,83,79,78
35,1985,162,,66,77,89,,83,95,,,98,75,57,83,62,101,84
36,1984,162,,80,96,70,,80,79,,,90,81,75,92,66,84,78
37,1983,162,,88,71,74,,85,91,,,68,90,84,81,79,79,82
38,1982,162,,89,73,61,,77,88,,,65,89,84,81,87,92,86
39,1981,111,,50,38,66,,61,63,,,41,59,46,41,56,59,60
40,1980,163,,81,64,89,,93,92,,,67,91,83,73,75,74,90
41,1979,162,,66,80,90,,89,79,,,63,84,98,68,71,86,95
42,1978,162,,69,79,92,,74,95,,,66,90,88,84,89,69,76
43,1977,162,,61,81,88,,81,98,,,64,101,96,69,75,83,75
44,1976,162,,70,75,102,,80,92,,,86,101,92,73,74,72,55
45,1975,162,,67,75,108,,64,88,,,82,86,92,71,80,82,75
46,1974,162,,88,66,98,,81,102,,,71,80,88,60,72,86,79
47,1973,162,,76,77,99,,82,95,,,82,71,80,60,88,81,79
48,1972,156,,70,85,95,,84,85,,,83,59,96,58,69,75,70
49,1971,162,,82,83,79,,79,89,,,83,67,97,61,90,90,71
50,1970,162,,76,84,102,,79,87,,,83,73,89,63,86,76,73
51,1969,162,,93,92,89,,81,85,,,100,63,88,52,90,87,52
52,1968,162,,81,84,83,,72,76,,,73,76,80,,88,97,
53,1967,162,,77,87,87,,69,73,,,61,82,81,,91,101,
54,1966,162,,85,59,76,,72,95,,,66,87,92,,93,83,
55,1965,162,,86,72,89,,65,97,,,50,85,90,,95,80,
56,1964,162,,88,76,92,,66,80,,,53,92,80,,90,93,
57,1963,162,,84,82,86,,66,99,,,51,87,74,,88,93,
58,1962,165,,86,59,98,,64,102,,,40,81,93,,103,84,
59,1961,154,,83,64,93,,,89,,,,47,75,,85,80,
60,1960,154,,88,60,67,,,82,,,,59,95,,79,86,
61,1959,156,,86,74,74,,,88,,,,64,78,,83,71,
62,1958,154,,92,72,76,,,71,,,,69,84,,80,72,
63,1957,154,,95,62,80,,,84,,,,77,62,,69,87,
64,1956,154,,92,60,91,,,93,,,,71,66,,67,76,
65,1955,154,,85,72,75,,,98,,,,77,60,,80,68,
66,1954,154,,89,64,74,,,92,,,,75,53,,97,72,
67,1953,154,,92,65,68,,,105,,,,83,50,,70,83,
68,1952,154,,64,77,69,,,96,,,,87,42,,92,88,
69,1951,157,,76,62,68,,,97,,,,73,64,,98,81,
70,1950,154,,83,64,66,,,89,,,,91,57,,86,78,
71,1949,154,,75,61,62,,,97,,,,81,71,,73,96,
72,1948,154,,91,64,64,,,84,,,,66,83,,78,85,
73,1947,154,,86,69,73,,,94,,,,62,62,,81,89,
74,1946,156,,81,82,67,,,96,,,,69,63,,61,98,
75,1945,154,,67,98,61,,,87,,,,46,82,,78,95,
76,1944,154,,65,75,89,,,63,,,,61,90,,67,105,
77,1943,154,,68,74,87,,,81,,,,64,80,,55,105,
78,1942,154,,59,68,76,,,104,,,,42,66,,85,106,
79,1941,154,,62,70,88,,,100,,,,43,81,,74,97,
80,1940,154,,65,75,100,,,88,,,,50,78,,72,84,
81,1939,154,,63,84,97,,,84,,,,45,68,,77,92,
82,1938,152,,77,89,82,,,69,,,,45,86,,83,71,
83,1937,154,,79,93,56,,,62,,,,61,86,,95,81,
84,1936,154,,71,87,74,,,67,,,,54,84,,92,87,
85,1935,154,,38,100,68,,,70,,,,64,86,,91,96,
86,1934,153,,78,86,52,,,71,,,,56,74,,93,95,
87,1933,154,,83,86,58,,,65,,,,60,87,,91,82,
88,1932,154,,77,90,60,,,81,,,,78,86,,72,72,
89,1931,154,,64,84,58,,,79,,,,66,75,,87,101,
90,1930,154,,70,90,59,,,86,,,,52,80,,87,92,
91,1929,154,,56,98,66,,,70,,,,71,88,,84,78,
92,1928,154,,50,91,78,,,77,,,,43,85,,93,95,
93,1927,154,,60,85,75,,,65,,,,51,94,,92,92,
94,1926,154,,66,82,87,,,71,,,,58,84,,74,89,
95,1925,154,,70,68,80,,,68,,,,68,95,,86,77,
96,1924,154,,53,81,83,,,92,,,,55,90,,93,65,
97,1923,154,,54,83,91,,,76,,,,50,87,,95,79,
98,1922,154,,53,80,86,,,76,,,,57,85,,93,85,
99,1921,154,,79,64,70,,,77,,,,51,90,,94,87,
100,1920,154,,62,75,82,,,93,,,,62,79,,86,75,
101,1919,140,,57,75,96,,,69,,,,47,71,,87,54,
102,1918,129,,53,84,68,,,57,,,,55,65,,71,51,
103,1917,154,,72,74,78,,,70,,,,87,51,,98,82,
104,1916,154,,89,67,60,,,94,,,,91,65,,86,60,
