,Year,Tms,#Fld,R/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9,PB,WP,SB,CS,CS%,PO
0,2020,15,667,4.71,898,9.00,6.57,77.06,34.88,25.69,8.59,0.60,0.83,.983,17.9,0.07,0.36,0.50,0.16,24.1%,0.06
1,2019,15,719,4.78,2430,9.00,6.46,80.49,36.67,26.83,9.24,0.59,0.83,.984,18.1,0.07,0.32,0.47,0.17,26.2%,0.06
2,2018,15,728,4.37,2432,9.00,6.56,80.78,36.88,26.93,9.37,0.59,0.85,.984,18.4,0.06,0.34,0.51,0.19,27.7%,0.08
3,2017,15,694,4.58,2430,9.00,6.74,80.10,36.95,26.70,9.68,0.57,0.91,.985,18.6,0.08,0.36,0.52,0.20,27.5%,0.08
4,2016,15,713,4.44,2428,9.00,6.74,80.42,37.29,26.81,9.88,0.61,0.88,.984,18.8,0.07,0.38,0.58,0.22,27.4%,0.08
5,2015,15,710,4.11,2430,9.00,6.79,80.42,37.61,26.81,10.22,0.59,0.92,.984,19.1,0.06,0.34,0.56,0.22,28.1%,0.07
6,2014,15,670,3.95,2430,9.00,6.92,80.80,37.77,26.93,10.24,0.60,0.88,.984,19.2,0.07,0.34,0.57,0.22,27.9%,0.08
7,2013,15,673,4.00,2430,9.00,6.86,80.92,37.93,26.97,10.38,0.58,0.89,.985,19.5,0.06,0.34,0.53,0.21,28.5%,0.07
8,2012,16,722,4.22,2592,9.00,6.78,80.11,37.45,26.70,10.11,0.64,0.83,.983,19.3,0.08,0.32,0.66,0.24,26.5%,0.09
9,2011,16,713,4.13,2590,9.00,6.80,80.2,37.81,26.92,10.26,0.63,0.85,.983,19.7,0.07,0.30,0.65,0.25,27.5%,0.09
10,2010,16,695,4.33,2592,9.00,6.82,80.17,37.40,26.72,10.05,0.62,0.89,.983,19.6,0.05,0.32,0.56,0.23,29.0%,0.08
11,2009,16,704,4.43,2590,9.00,6.90,80.27,37.46,26.76,10.11,0.59,0.91,.984,19.9,0.05,0.34,0.56,0.23,28.8%,0.08
12,2008,16,710,4.54,2588,9.00,6.77,80.46,37.58,26.82,10.15,0.61,0.90,.984,20.0,0.06,0.32,0.58,0.21,26.8%,0.06
