,Year,Tms,G,Time,Time/9I,Inn,Inn%,R/G,PA/G,Pitches/PA,Batters/G,Pitchers/G,PH/G,PR/G,Batters/S,Pitchers/S,Attendance,Attend/G,Lg Payroll*,Payroll/Tm*
0,2020,15,455,3:06,3:08,30,6.59,9.38,73.8,3.91,10.5,4.43,0.73,0.21,20.9,23.4,,,"$2,083,353,355","$138,890,223"
1,2019,15,1215,3:10,3:06,105,8.64,9.45,76.5,3.91,10.6,4.44,1.79,0.12,25.9,26.6,"37,902,283","31,195","$2,126,662,098","$141,777,473"
2,2018,15,1216,3:05,3:00,121,9.95,8.69,76.4,3.89,10.5,4.43,1.72,0.12,25.7,25.8,"37,250,627","30,633","$2,033,734,307","$135,582,287"
3,2017,15,1215,3:06,3:03,95,7.82,9.19,76.3,3.87,10.4,4.26,1.67,0.12,25.4,23.8,"38,307,214","31,528","$1,868,691,985","$124,579,465"
4,2016,15,1214,3:07,3:02,101,8.32,8.88,76.3,3.88,10.4,4.29,1.65,0.11,25.3,23.8,"38,113,555","31,395","$1,704,679,020","$113,645,268"
5,2015,15,1215,3:00,2:55,108,8.89,8.32,75.7,3.79,10.4,4.21,1.64,0.13,25.2,23.9,"38,862,357","31,985","$1,815,404,302","$121,026,953"
6,2014,15,1215,3:06,3:00,123,10.12,7.96,75.6,3.80,10.3,3.98,1.59,0.12,24.5,21.4,"39,248,477","32,303","$1,687,937,855","$112,529,190"
7,2013,15,1215,3:03,2:57,129,10.62,7.99,75.8,3.81,10.3,4.02,1.57,0.13,24.7,20.9,"39,436,049","32,457","$1,539,871,228","$102,658,081"
8,2012,16,1296,3:00,2:56,101,7.79,8.47,75.7,3.81,10.4,4.05,1.63,0.15,25.7,19.9,"41,475,495","32,002","$1,524,100,331","$95,256,270"
9,2011,16,1292,2:56,2:51,135,10.45,8.23,76.2,3.82,10.5,4.00,1.62,0.18,26.3,19.1,"40,752,289","31,542","$1,487,311,803","$92,956,987"
10,2010,16,1299,2:55,2:51,118,9.08,8.69,76.4,3.82,10.4,3.99,1.63,0.14,24.7,19.1,"41,009,779","31,570","$1,397,013,094","$87,313,318"
11,2009,16,1295,2:55,2:51,117,9.03,8.89,77.0,3.81,10.4,4.04,1.64,0.12,24.9,19.7,"41,157,853","31,782","$1,420,327,382","$88,770,461"
12,2008,16,1294,2:54,2:49,120,9.27,9.13,77.4,3.80,10.5,4.04,1.70,0.17,25.9,19.1,"44,083,775","34,067","$1,330,242,369","$83,140,148"
13,2007,16,1297,2:53,2:48,130,10.02,9.44,77.8,3.75,10.6,4.10,1.69,0.17,25.1,20.1,"44,095,560","33,998","$1,181,013,370","$73,813,335"
14,2006,16,1295,2:51,2:47,101,7.80,9.65,77.7,3.75,10.5,3.96,1.67,0.17,24.9,19.5,"41,578,607","32,107","$1,167,254,552","$72,953,409"
15,2005,16,1297,2:49,2:46,92,7.09,9.00,76.6,3.73,10.5,3.79,1.62,0.17,24.3,18.2,"41,644,345","32,108","$1,135,152,138","$70,947,008"
16,2004,16,1295,2:51,2:47,119,9.19,9.26,77.3,3.75,10.5,3.87,1.62,0.17,23.9,18.4,"40,224,897","31,061","$1,091,279,108","$68,204,944"
17,2003,16,1295,2:51,2:47,107,8.26,9.23,77.1,3.73,10.5,3.79,1.61,0.16,24.2,18.5,"36,723,341","28,357","$1,166,860,145","$72,928,759"
18,2002,16,1294,2:56,2:52,110,8.50,8.85,76.8,3.73,10.6,3.75,1.64,0.19,23.3,18.0,"37,025,963","28,613","$1,052,418,153","$65,776,134"
19,2001,16,1296,2:56,2:53,97,7.48,9.36,76.6,3.71,10.6,3.73,1.64,0.19,25.5,18.7,"39,727,374","30,653","$1,021,225,212","$63,826,575"
20,2000,16,1297,2:59,2:55,121,9.33,9.98,78.1,3.75,10.7,3.58,1.61,0.20,26.2,18.7,"39,683,109","30,596","$893,107,254","$55,819,203"
21,1999,16,1295,2:55,2:51,113,8.73,9.91,78.1,3.73,10.7,3.59,1.63,0.17,23.4,17.5,"38,322,848","29,592","$791,180,134","$49,448,758"
22,1998,16,1298,2:48,2:43,121,9.32,9.15,77.1,3.67,10.6,3.44,1.60,0.17,24.5,17.2,"38,426,784","29,604","$643,583,573","$40,223,973"
23,1997,14,1134,2:51,2:47,107,9.44,9.17,76.9,,10.7,3.55,1.64,0.19,24.8,18.4,"31,885,368","28,117","$541,548,588","$38,682,042"
24,1996,14,1134,2:51,2:46,108,9.52,9.37,77.2,,10.7,3.52,1.70,0.17,25.8,20.1,"30,379,288","26,789","$464,443,221","$33,174,515"
25,1995,14,1007,2:49,2:44,99,9.83,9.26,77.3,,10.6,3.59,1.71,0.17,23.8,22.0,"25,110,248","24,935","$441,004,875","$31,500,348"
26,1994,14,803,2:52,2:48,73,9.09,9.24,77.1,,10.5,3.39,1.62,0.17,20.0,17.2,"25,807,819","32,139","$436,092,446","$31,149,460"
27,1993,14,1135,2:48,2:44,105,9.25,8.98,76.6,,10.6,3.35,1.66,0.19,23.6,19.4,"36,924,573","32,532","$420,584,761","$30,041,768"
28,1992,12,972,2:50,2:45,108,11.11,7.76,75.8,,10.7,3.25,1.73,0.21,25.3,18.2,"24,111,135","24,805","$364,544,692","$30,378,724"
29,1991,12,970,2:50,2:45,103,10.62,8.20,75.7,3.66,10.8,3.16,1.73,0.24,25.1,18.7,"24,696,172","25,459","$278,154,665","$23,179,555"
30,1990,12,972,2:48,2:44,96,9.88,8.41,76.1,,10.7,3.07,1.72,0.21,25.3,20.3,"24,491,508","25,197","$213,861,595","$17,821,799"
31,1989,12,973,2:47,2:42,98,10.07,7.89,75.9,,10.7,2.95,1.71,0.22,25.3,18.9,"25,323,834","26,026","$176,345,023","$14,695,418"
32,1988,12,969,2:46,2:41,104,10.73,7.76,75.6,,10.5,2.85,1.62,0.21,24.4,17.8,"24,499,268","25,283","$149,718,112","$12,476,509"
33,1987,12,971,2:49,2:44,99,10.20,9.03,76.7,,10.7,3.08,1.75,0.18,25.8,18.7,"24,734,155","25,472","$145,669,753","$12,139,146"
34,1986,12,969,2:45,2:39,116,11.97,8.36,76.4,,10.8,2.95,1.77,0.26,24.6,17.6,"22,333,471","23,047","$150,533,074","$12,544,422"
35,1985,12,971,2:39,2:34,108,11.12,8.13,76.1,,10.6,2.83,1.70,0.24,23.4,16.4,"22,292,154","22,957","$128,278,576","$10,689,881"
36,1984,12,971,2:38,2:33,102,10.50,8.13,75.9,,10.7,2.80,1.69,0.24,24.6,15.9,"20,781,436","21,402",,
37,1983,12,974,2:38,2:33,92,9.45,8.21,75.9,,10.7,2.80,1.61,0.24,24.4,16.2,"21,549,285","22,124",,
38,1982,12,972,2:38,2:33,109,11.21,8.18,76.2,,10.6,2.81,1.62,0.24,24.0,15.4,"21,507,425","22,126",,
39,1981,12,644,2:37,2:32,78,12.11,7.82,76.1,,10.8,2.93,1.68,0.28,23.5,14.7,"12,478,390","19,376",,
