,Year,Tms,#Fld,R/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9,PB,WP,SB,CS,CS%,PO
0,2020,15,655,4.58,898,9.00,6.77,77.97,34.95,25.99,8.40,0.55,0.76,.984,18.0,0.08,0.39,0.48,0.16,25.6%,0.07
1,2019,15,758,4.88,2428,8.99,6.90,80.40,36.25,26.80,8.85,0.60,0.82,.983,18.2,0.07,0.41,0.47,0.18,27.3%,0.07
2,2018,15,729,4.53,2430,9.00,6.94,80.22,36.31,26.74,9.00,0.56,0.83,.985,18.5,0.09,0.42,0.51,0.20,28.1%,0.07
3,2017,15,728,4.71,2430,9.00,6.90,80.11,36.54,26.70,9.25,0.59,0.91,.984,18.7,0.08,0.39,0.52,0.19,26.5%,0.06
4,2016,15,692,4.52,2428,9.00,6.94,80.11,36.87,26.70,9.61,0.56,0.91,.985,19.0,0.08,0.37,0.47,0.19,29.4%,0.07
5,2015,15,706,4.39,2428,9.00,6.83,80.42,37.24,26.81,9.85,0.58,0.88,.984,19.4,0.07,0.39,0.47,0.22,31.7%,0.08
6,2014,15,689,4.18,2430,9.00,6.89,80.74,37.09,26.91,9.58,0.60,0.86,.984,19.3,0.07,0.36,0.57,0.21,26.6%,0.08
7,2013,15,672,4.33,2432,9.00,6.95,80.70,37.07,26.90,9.62,0.55,0.90,.985,19.3,0.08,0.37,0.58,0.21,26.1%,0.07
8,2012,14,621,4.45,2268,9.00,6.98,80.50,37.37,26.83,9.95,0.59,0.94,.984,19.6,0.07,0.32,0.67,0.23,25.4%,0.09
9,2011,14,609,4.46,2268,9.00,7.09,80.49,37.48,26.83,10.02,0.63,0.90,.983,20.1,0.07,0.34,0.70,0.27,28.0%,0.10
10,2010,14,600,4.45,2268,9.00,7.06,80.23,37.39,26.74,10.03,0.62,0.92,.983,20.2,0.06,0.37,0.66,0.24,26.2%,0.08
11,2009,14,613,4.82,2270,9.00,7.04,79.98,37.06,26.66,9.81,0.58,0.94,.984,20.1,0.07,0.32,0.67,0.24,26.4%,0.08
12,2008,14,615,4.78,2268,9.00,6.90,80.25,37.44,26.75,10.08,0.61,1.00,.984,20.4,0.07,0.33,0.58,0.22,27.2%,0.08
13,2007,14,610,4.90,2268,9.00,6.97,80.07,37.42,26.69,10.12,0.61,0.99,.984,20.4,0.07,0.33,0.60,0.22,26.6%,0.06
14,2006,14,610,4.97,2268,9.00,6.98,79.85,37.42,26.62,10.20,0.61,0.99,.984,20.6,0.07,0.33,0.54,0.23,29.8%,0.07
15,2005,14,593,4.76,2268,9.00,7.06,80.08,37.53,26.69,10.20,0.63,0.95,.983,20.8,0.06,0.31,0.53,0.23,29.9%,0.07
16,2004,14,619,5.01,2266,9.00,6.99,80.42,37.54,26.81,10.07,0.67,0.94,.982,20.6,0.08,0.32,0.52,0.24,31.8%,0.09
17,2003,14,605,4.86,2270,9.00,7.02,80.19,37.55,26.73,10.17,0.65,0.94,.983,20.9,0.07,0.30,0.56,0.24,30.0%,0.08
18,2002,14,608,4.81,2264,9.00,7.04,80.16,37.42,26.72,10.04,0.66,0.92,.982,20.7,0.08,0.34,0.55,0.26,31.9%,0.08
19,2001,14,583,4.86,2266,9.00,7.01,80.28,37.67,26.76,10.21,0.70,0.92,.981,20.6,0.08,0.33,0.73,0.30,29.3%,0.10
20,2000,14,602,5.30,2265,9.00,6.90,80.03,37.65,26.68,10.28,0.69,1.01,.982,20.7,0.07,0.31,0.59,0.26,30.4%,0.08
21,1999,14,597,5.18,2265,9.00,6.98,79.2,37.65,26.59,10.35,0.70,1.01,.981,20.8,0.08,0.33,0.64,0.32,32.9%,0.09
22,1998,14,584,5.01,2268,9.00,6.96,80.14,37.69,26.71,10.27,0.70,0.92,.981,20.6,0.09,0.34,0.73,0.33,31.3%,0.07
