,Year,Tms,#Fld,R/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9,PB,WP,SB,CS,CS%,PO
0,2020,15,667,4.71,898,8082,5897,69203.2,31320,23068,7713,539,749,.983,17.9,67,325,453,144,24.1%,58
1,2019,15,719,4.78,2430,21867,15698,195594.1,89101,65196,22462,1443,2023,.984,18.1,169,783,1133,402,26.2%,151
2,2018,15,728,4.37,2432,21888,15966,196454.2,89690,65485,22776,1429,2073,.984,18.4,151,833,1235,474,27.7%,194
3,2017,15,694,4.58,2430,21870,16389,194636.2,89790,64879,23524,1387,2200,.985,18.6,184,864,1254,475,27.5%,203
4,2016,15,713,4.44,2428,21852,16363,195257.2,90549,65086,23987,1476,2130,.984,18.8,176,919,1406,531,27.4%,187
5,2015,15,710,4.11,2430,21870,16507,195419.2,91397,65140,24834,1423,2233,.984,19.1,147,820,1358,532,28.1%,178
6,2014,15,670,3.95,2430,21870,16814,196335 ,91774,65445,24874,1455,2144,.984,19.2,176,833,1380,534,27.9%,183
7,2013,15,673,4.00,2430,21870,16659,196625.2,92181,65543,25233,1405,2168,.985,19.5,135,832,1277,508,28.5%,179
8,2012,16,722,4.22,2592,23328,17585,207632.2,97082,69211,26210,1661,2143,.983,19.3,197,818,1702,615,26.5%,228
9,2011,16,713,4.13,2590,23310,17604,209196 ,97936,69732,26583,1621,2202,.983,19.7,170,782,1688,641,27.5%,228
10,2010,16,695,4.33,2592,23328,17688,207794.2,96942,69265,26057,1620,2318,.983,19.6,141,838,1457,596,29.0%,196
11,2009,16,704,4.43,2590,23310,17859,207888.1,97009,69296,26180,1533,2359,.984,19.9,130,872,1458,591,28.8%,214
12,2008,16,710,4.54,2588,23292,17533,208217.2,97258,69406,26268,1584,2322,.984,20.0,151,825,1491,547,26.8%,160
13,2007,16,710,4.71,2594,23346,17362,209225.2,97555,69742,26195,1618,2437,.983,20.3,175,744,1562,510,24.6%,189
14,2006,16,692,4.76,2590,23310,17558,208233 ,97672,69411,26571,1690,2414,.983,20.3,151,767,1540,589,27.7%,184
15,2005,16,676,4.45,2594,23346,17673,207470.2,97622,69157,26841,1624,2464,.983,20.4,149,745,1355,553,29.0%,211
16,2004,16,666,4.64,2590,23310,17567,208314 ,98056,69438,26972,1646,2391,.983,20.3,163,758,1405,547,28.0%,158
17,2003,16,673,4.61,2590,23310,17510,207992.2,98375,69331,27348,1696,2446,.983,20.4,163,864,1304,587,31.0%,192
18,2002,16,647,4.45,2588,23292,17197,207945 ,97984,69315,26931,1738,2484,.982,20.2,192,718,1508,701,31.7%,193
19,2001,16,678,4.70,2592,23328,17325,207668.2,97269,69223,26278,1768,2340,.982,20.0,174,747,1450,723,33.3%,223
20,2000,16,695,5.00,2593,23337,17032,207929.2,97580,69310,26391,1879,2431,.981,20.3,170,826,1592,742,31.8%,226
21,1999,16,643,5.00,2591,23319,16771,208212.1,97731,69404,26412,1915,2394,.980,20.3,185,884,1961,804,29.1%,266
22,1998,16,647,4.60,2596,23364,17111,209160 ,99083,69720,27513,1850,2415,.981,20.2,188,835,1639,754,31.5%,173
23,1997,14,587,4.60,2268,20412,14904,182301.1,86642,60767,24198,1677,2067,.981,20.1,154,697,1771,823,31.7%,221
24,1996,14,581,4.68,2268,20412,15108,182601 ,86899,60867,24246,1786,2075,.979,20.2,165,782,1785,709,28.4%,187
25,1995,14,585,4.63,2014,18126,13581,162504 ,77583,54168,21876,1539,1846,.980,20.4,164,694,1602,671,29.5%,214
