,Year,Tms,#Fld,R/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9,PB,WP,SB,CS,CS%,PO
26,1994,14,497,4.62,1606,14454,10866,129210.1,61599,43070,17324,1205,1471,.980,20.6,147,548,1141,529,31.7%,174
27,1993,14,564,4.49,2270,20430,15275,182562.1,87172,60854,24442,1876,2028,.978,21.1,199,747,1714,788,31.5%,146
28,1992,12,481,3.88,1944,17496,12788,157506.1,74967,52502,21064,1401,1618,.981,21.2,138,565,1560,741,32.2%,118
29,1991,12,472,4.10,1940,17460,12569,156489.1,74562,52163,20895,1504,1527,.980,21.1,155,625,1651,809,32.9%,99
30,1990,12,487,4.20,1944,17496,12957,156431.2,74011,52144,20351,1516,1561,.980,21.2,175,580,1787,727,28.9%,218
31,1989,12,463,3.94,1946,17514,12966,157806 ,74862,52602,20650,1610,1554,.978,21.2,142,589,1529,715,31.9%,220
32,1988,12,452,3.88,1938,17442,13214,157326.1,75266,52442,21246,1578,1609,.979,21.3,149,551,1789,728,28.9%,194
33,1987,12,469,4.52,1942,17478,12838,156411 ,75013,52137,21309,1567,1751,.979,21.0,152,571,1851,757,29.0%,158
34,1986,12,451,4.18,1938,17442,12404,157239 ,75542,52413,21459,1670,1744,.978,21.0,157,566,1842,858,31.8%,135
35,1985,12,437,4.07,1942,17478,13117,157272.1,75868,52424,21823,1621,1796,.979,21.5,165,501,1636,716,30.4%,158
36,1984,12,444,4.06,1942,17478,12922,156822.1,75508,52274,21560,1674,1729,.978,21.4,166,513,1728,773,30.9%,150
37,1983,12,455,4.10,1948,17532,13027,157149 ,75673,52383,21623,1667,1758,.978,21.5,182,512,1786,870,32.8%,223
38,1982,12,433,4.09,1944,17496,13238,157889.2,76599,52630,22285,1684,1697,.978,21.7,155,509,1782,822,31.6%,235
39,1981,12,420,3.91,1288,11592,8767,104717.2,51003,34906,14959,1138,1177,.978,22.1,76,355,1108,543,32.9%,160
40,1980,12,425,4.03,1946,17514,13179,157767.1,76619,52589,22341,1689,1746,.978,21.9,122,443,1839,835,31.2%,209
41,1979,12,413,4.22,1942,17478,13436,156840.1,75464,52280,21515,1669,1783,.978,21.9,160,493,1486,766,34.0%,177
42,1978,12,423,3.99,1942,17478,13000,155999.2,75158,52000,21475,1683,1690,.978,21.9,161,501,1533,724,32.1%,232
43,1977,12,416,4.40,1944,17495,13117,157635 ,76104,52545,21835,1724,1741,.977,21.6,166,540,1555,843,35.2%,223
44,1976,12,418,3.98,1944,17496,13745,157115.2,75968,52372,21854,1742,1811,.977,22.0,179,556,1364,677,33.2%,170
45,1975,12,417,4.13,1942,17478,13599,157052.2,76017,52351,21807,1859,1837,.976,21.9,208,606,1180,558,32.1%,168
46,1974,12,446,4.15,1944,17496,13257,157443.1,76132,52481,21803,1848,1836,.976,21.9,169,593,1254,624,33.2%,167
47,1973,12,423,4.15,1942,17479,13656,157338 ,75711,52447,21519,1745,1835,.977,21.6,197,591,976,551,36.1%,164
48,1972,12,419,3.91,1860,16740,13453,151170.1,72399,50390,20390,1619,1706,.978,21.4,161,598,954,564,37.2%,153
49,1971,12,419,3.91,1944,17496,13749,157281.1,75609,52427,21569,1613,1888,.979,21.6,215,589,901,492,35.3%,151
50,1970,12,432,4.52,1942,17478,13560,156705.1,74971,52235,21038,1698,1845,.977,21.1,198,632,1048,516,33.0%,147
51,1969,12,422,4.05,1946,17514,13944,156485.2,75088,52162,21168,1758,1777,.977,21.0,217,648,818,546,40.0%,146
52,1968,10,330,3.43,1626,14634,11916,132126.1,63636,44042,18205,1389,1432,.978,21.2,148,498,702,457,39.4%,138
53,1967,10,363,3.84,1620,14580,11648,131244.1,63182,43748,18026,1408,1462,.978,21.2,175,478,693,471,40.5%,128
54,1966,10,357,4.09,1618,14562,11304,130961.2,63104,43653,17976,1475,1488,.977,21.2,175,526,737,494,40.1%,135
55,1965,10,347,4.03,1626,14634,11395,131787 ,63426,43932,18008,1486,1489,.977,21.1,192,550,745,427,36.4%,143
56,1964,10,352,4.01,1624,14616,11572,130709.2,63085,43566,17933,1586,1439,.975,21.3,184,489,637,417,39.6%,119
57,1963,10,351,3.81,1622,14598,11411,130983.1,62919,43661,17681,1577,1431,.975,21.1,173,486,683,491,41.8%,113
58,1962,10,345,4.48,1624,14615,11365,130410 ,62857,43470,17832,1555,1596,.975,21.4,216,545,788,410,34.2%,141
59,1961,8,273,4.52,1238,11145,8728,99240.1,47975,33080,13728,1167,1270,.976,21.6,155,356,469,290,38.2%,108
60,1960,8,295,4.24,1238,11142,8689,100082.2,47859,33361,13374,1124,1128,.977,21.5,98,310,500,337,40.3%,102
61,1959,8,289,4.40,1240,11161,8760,99425.2,47645,33142,13390,1113,1164,.977,21.7,88,285,440,269,37.9%,103
62,1958,8,304,4.40,1232,11088,8813,99231.1,47601,33078,13439,1084,1287,.977,21.9,88,280,387,243,38.6%,80
63,1957,8,284,4.38,1238,11142,9017,100959.1,48134,33652,13381,1101,1196,.977,22.1,100,237,400,263,39.7%,81
64,1956,8,271,4.25,1242,11178,9137,99569.2,47616,33190,13344,1082,1191,.977,22.4,91,234,370,248,40.1%,82
65,1955,8,283,4.53,1232,11088,9275,98858.2,47539,32954,13450,1135,1236,.976,22.6,120,232,355,300,45.8%,83
66,1954,8,264,4.56,1232,11070,9311,99195.1,47960,33066,13740,1154,1286,.976,22.8,80,223,336,259,43.5%,89
67,1953,8,257,4.75,1244,11196,9378,98745.1,47638,32913,13543,1182,1259,.975,22.6,101,217,342,227,39.9%,84
68,1952,8,276,4.17,1236,11124,9417,99249.1,47931,33083,13704,1144,1226,.976,22.7,95,195,395,316,44.4%,85
69,1951,8,270,4.46,1244,11196,9456,100386 ,48663,33457,14007,1199,1337,.975,23.2,88,246,453,321,41.5%,95
70,1950,8,263,4.66,1236,11124,9437,99087.1,48180,33019,13957,1204,1303,.975,22.9,84,219,376,231,38.1%,71
71,1949,8,264,4.54,1244,11195,9404,99879.1,48304,33285,13822,1197,1213,.975,23.3,108,199,369,279,43.1%,84
72,1948,8,280,4.43,1238,11142,9317,98601.1,47659,32837,13568,1254,1118,.974,23.1,97,200,450,299,39.9%,74
73,1947,8,280,4.57,1240,11160,9424,98705.2,47824,32894,13776,1154,1162,.976,23.3,98,205,363,287,44.2%,85
74,1946,8,320,3.96,1242,11177,9358,99767.2,48626,33263,14105,1258,1153,.974,23.4,81,179,478,367,43.4%,89
75,1945,8,284,4.46,1236,11124,9570,99353.2,48736,33101,14230,1405,1119,.971,23.8,72,180,521,346,39.9%,75
76,1944,8,289,4.25,1246,11214,9574,100397.2,49295,33446,14487,1362,1126,.972,23.8,77,177,382,282,42.5%,76
77,1943,8,267,3.94,1242,11176,9770,100581.1,49607,33497,14798,1312,1232,.974,23.7,73,173,389,302,43.7%,78
78,1942,8,261,3.90,1226,11034,9491,99159.1,48514,33044,14165,1305,1122,.973,23.6,76,184,424,355,45.6%,64
79,1941,8,279,4.23,1244,11196,9587,100014.1,49212,33346,14471,1395,1152,.972,23.4,71,211,410,353,46.3%,54
80,1940,8,267,4.39,1234,11106,9497,99843.1,49221,33274,14553,1394,1143,.972,23.5,71,186,474,383,44.7%,75
81,1939,8,273,4.44,1232,11088,9525,98541 ,48642,32838,14430,1374,1211,.972,23.5,94,200,370,309,45.5%,76
82,1938,8,251,4.42,1220,10980,9580,98219.2,48519,32696,14455,1368,1163,.972,23.6,89,187,354,288,44.9%,69
83,1937,8,248,4.51,1234,11088,9745,98592.1,48915,32834,14660,1421,1097,.971,23.3,85,196,459,398,46.4%,78
84,1936,8,242,4.71,1240,11160,9634,99992.2,49368,33309,14550,1509,1143,.969,23.6,65,232,402,349,46.5%,82
85,1935,8,245,4.71,1234,11106,9795,98703 ,48593,32895,14167,1531,1050,.968,23.7,86,211,405,317,43.9%,78
86,1934,8,236,4.68,1216,10944,9557,97256.2,48038,32408,14276,1354,1072,.972,23.5,85,194,362,286,44.1%,69
87,1933,8,229,3.97,1236,11122,9848,99042.1,49062,32993,14720,1349,1134,.973,24.1,70,206,409,345,45.8%,72
88,1932,8,241,4.60,1236,11124,9762,100095.1,49476,33362,14683,1431,1144,.971,23.9,81,182,446,357,44.5%,101
89,1931,8,242,4.48,1236,11122,9841,98664.1,48800,32869,14517,1414,1241,.971,23.8,73,181,462,389,45.7%,68
90,1930,8,236,5.68,1236,11123,9767,98547.1,49353,32849,15019,1485,1318,.970,23.8,91,196,480,375,43.9%,86
91,1929,8,258,5.36,1232,11088,9810,98435.2,49334,32783,15135,1416,1177,.971,24.1,79,164,691,502,42.1%,111
92,1928,8,245,4.70,1228,11052,9695,99164.2,49734,33037,15249,1448,1227,.971,24.2,69,148,569,458,44.6%,90
93,1927,8,252,4.58,1234,11106,9803,99069.1,49848,32997,15281,1570,1171,.969,24.1,88,164,650,416,39.0%,149
94,1926,8,258,4.54,1236,11122,9592,98712 ,50275,32888,15776,1611,1184,.968,24.2,107,152,606,468,43.6%,120
95,1925,8,258,5.06,1224,11016,9675,97710.1,49644,32562,15412,1670,1200,.966,24.2,86,172,672,524,43.8%,148
96,1924,8,253,4.54,1228,11052,9743,98943.1,50471,32969,15967,1535,1221,.970,24.2,88,161,756,663,46.7%,183
97,1923,8,253,4.85,1234,11106,9802,99686.2,50783,33167,15879,1737,1193,.966,24.2,101,183,825,660,44.4%,133
98,1922,8,242,5.00,1240,11160,9910,99317.2,50608,33083,15848,1677,1106,.967,24.3,86,200,756,637,45.7%,142
99,1921,8,242,4.59,1226,11034,9769,98844.1,50873,32906,16304,1663,1073,.967,24.2,91,181,803,774,49.1%,172
100,1920,8,234,3.97,1234,11106,9965,101027.2,52193,33660,16759,1774,1007,.966,24.1,108,198,969,829,46.1%,203
101,1919,8,232,3.65,1116,10044,9102,90582.1,46973,30143,15252,1578,789,.966,24.1,105,183,1164,926,44.3%,152
102,1918,8,241,3.62,1016,9144,8392,82554.1,43023,27487,14017,1519,797,.965,24.2,93,147,1030,802,43.8%,139
103,1917,8,240,3.53,1250,11250,10004,101463.1,52196,33724,16597,1875,971,.964,23.4,135,202,1149,889,43.6%,
104,1916,8,250,3.45,1244,11195,9814,101000.2,51733,33572,16222,1939,892,.963,23.1,159,245,1328,1028,43.6%,
105,1915,8,231,3.62,1248,11232,9963,100500.1,51156,33430,15862,1864,880,.964,23.2,122,209,1194,1006,45.7%,
106,1914,8,252,3.84,1250,11250,9784,100491.1,51838,33449,16231,2158,860,.958,23.2,158,255,1438,1148,44.4%,
107,1913,8,277,4.15,1240,11158,9728,100154.2,51112,33301,15872,1939,843,.962,23.3,109,238,1576,1238,44.0%,
108,1912,8,277,4.62,1226,11032,9875,98520.1,50287,32711,15575,2001,911,.960,23.2,123,252,1580,1254,44.2%,
109,1911,8,258,4.42,1246,11213,10090,99951.1,51146,33205,15815,2126,880,.958,23.1,125,226,1717,1350,44.0%,
110,1910,8,246,4.03,1242,11178,10139,99830.2,51317,33194,16008,2115,935,.959,23.4,145,250,1595,1272,44.4%,
111,1909,8,249,3.66,1242,11177,10325,100658.2,51552,33429,15851,2272,788,.956,23.4,109,275,1523,1260,45.3%,
112,1908,8,215,3.32,1244,11196,10407,100491.1,51600,33222,16355,2023,600,.961,23.6,130,197,1381,1162,45.7%,
113,1907,8,209,3.40,1232,11088,10487,97368.1,50278,32340,15895,2043,809,.959,23.5,147,215,1381,1148,45.4%,
114,1906,8,207,3.57,1230,11049,10496,97575.1,50447,32399,15970,2078,740,.959,23.2,177,218,1463,1206,45.2%,
115,1905,8,188,4.11,1240,11160,10679,99018 ,51660,32884,16424,2352,798,.954,23.3,202,267,1600,1311,45.0%,
116,1904,8,197,3.91,1246,11195,10781,98228.2,51543,32626,16329,2588,710,.950,23.5,163,248,1575,1342,46.0%,
117,1903,8,198,4.78,1120,10080,,88731 ,46678,29500,14647,2531,723,.946,23.6,162,252,1567,1290,45.2%,
118,1902,8,227,3.98,1128,10134,,89943.1,46996,29946,14657,2393,782,.949,23.5,161,207,1366,1101,44.6%,
119,1901,8,199,4.63,1122,10097,,89793 ,46675,29891,14332,2452,728,.947,23.2,227,247,1402,1124,44.5%,
120,1900,8,188,5.21,1138,,,89226 ,47794,29716,15321,2757,834,.942,24.6,333,220,1685,1351,44.5%,
121,1899,12,310,5.24,1846,,,142994.2,76215,47574,24183,4458,1395,.942,24.8,322,361,2667,2117,44.3%,
122,1898,12,298,4.96,1842,,,143592.1,75649,47798,23464,4387,1354,.942,24.6,349,381,2069,1658,44.5%,
123,1897,12,263,5.88,1622,,,126036 ,66313,41945,20339,4029,1102,.939,24.6,332,401,2705,1577,36.8%,
124,1896,12,271,6.04,1584,,,123858 ,65458,41218,20159,4081,1238,.938,24.7,355,411,3059,1810,37.2%,
125,1895,12,284,6.58,1598,,,124263 ,66080,41358,20103,4619,1202,.930,24.6,394,396,2896,1695,36.9%,
126,1894,12,264,7.38,1598,,,124481.2,66051,41432,19766,4853,1298,.927,24.8,419,488,3147,1843,36.9%,
127,1893,12,260,6.57,1570,,,124778.2,66799,41549,20669,4581,1268,.931,24.8,536,521,2750,1614,37.0%,
128,1892,12,265,5.10,1842,,,144960.1,77555,48255,23721,5579,1339,.928,23.7,747,603,3198,1877,37.0%,
129,1891,8,173,5.54,1104,,,87846.1,46747,29245,14119,3383,763,.928,23.6,441,447,2009,1172,36.8%,
130,1890,8,180,5.58,1078,,,85430.2,44957,28288,13416,3253,792,.928,23.5,521,507,2260,1321,36.9%,
131,1889,8,159,5.84,1062,,,83754 ,44990,27985,13540,3465,773,.923,23.6,536,420,0,0,,
132,1888,8,172,4.54,1088,,,86004 ,45609,28496,13524,3589,673,.921,23.2,725,514,0,0,,
133,1887,8,160,6.09,1016,,,79868.2,43108,26456,12978,3674,696,.915,24.1,811,544,0,0,,
134,1886,8,157,5.24,990,,,76707 ,41174,25489,12228,3457,583,.916,22.4,974,689,0,0,,
135,1885,8,172,4.95,890,,,70227 ,38249,23368,11345,3536,573,.908,23.2,771,539,0,0,,
136,1884,8,166,5.50,914,,,72414 ,39306,24097,11257,3952,545,.899,22.2,956,609,0,0,,
137,1883,8,130,5.78,790,,,62606.2,34578,20840,9956,3782,521,.891,23.3,908,405,0,0,,
138,1882,8,121,5.41,676,,,54384.1,29531,18034,8466,3031,451,.897,23.8,681,310,0,0,,
139,1881,8,120,5.10,672,,,53894.2,29368,17958,8629,2781,490,.905,24.3,665,343,0,0,,
140,1880,8,127,4.69,680,,,54281.2,29789,18114,8726,2949,411,.901,24.0,753,294,0,0,,
141,1879,8,119,5.31,642,,,52173 ,29028,17404,8498,3126,384,.892,24.1,776,363,0,0,,
142,1878,6,77,5.17,368,,,29916 ,16658,9951,4929,1778,233,.893,24.1,443,236,0,0,,
143,1877,6,92,5.67,360,,,29169 ,16042,9731,4454,1857,210,.884,25.0,359,202,0,0,,
144,1876,8,121,5.90,520,,,42653.2,23345,14231,5991,3123,274,.866,25.9,453,187,0,0,,
