,Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E
0,2020,15,375,28.2,4.63,4.42,898,0.99,0.01,0.01,0.05,0.26,8.66,8.09,4.63,4.26,1.29,3.37,0.08,8.66,0.44,0.03,0.39,37.21,,1.323,.291,8.4,1.3,3.5,9.0,2.57,0.55
1,2019,15,456,28.4,4.95,4.60,2428,0.99,0.01,0.01,0.05,0.24,8.93,8.78,4.95,4.57,1.44,3.26,0.11,8.75,0.40,0.03,0.41,38.49,,1.348,.299,8.8,1.4,3.3,8.8,2.68,0.60
2,2018,15,420,28.6,4.56,4.27,2430,0.99,0.01,0.00,0.06,0.26,8.91,8.54,4.56,4.22,1.21,3.15,0.13,8.41,0.41,0.03,0.42,38.04,,1.312,.296,8.6,1.2,3.2,8.5,2.66,0.56
3,2017,15,417,28.6,4.67,4.37,2430,0.99,0.01,0.01,0.05,0.24,8.90,8.68,4.67,4.32,1.29,3.18,0.16,8.21,0.35,0.03,0.39,38.04,,1.332,.297,8.8,1.3,3.2,8.3,2.58,0.59
4,2016,15,387,28.6,4.47,4.20,2428,0.98,0.02,0.01,0.05,0.27,8.90,8.77,4.47,4.16,1.21,3.00,0.14,7.93,0.32,0.03,0.37,37.87,,1.322,.299,8.9,1.2,3.0,8.0,2.64,0.56
5,2015,15,383,28.3,4.29,4.01,2428,0.97,0.03,0.01,0.07,0.26,8.94,8.66,4.29,3.98,1.05,2.87,0.16,7.59,0.34,0.03,0.39,37.77,,1.290,.296,8.7,1.1,2.9,7.6,2.65,0.58
6,2014,15,370,28.5,4.14,3.81,2430,0.97,0.03,0.01,0.07,0.25,8.97,8.63,4.14,3.80,0.89,2.89,0.19,7.65,0.34,0.03,0.36,37.92,,1.284,.298,8.7,0.9,2.9,7.7,2.65,0.60
7,2013,15,349,28.7,4.29,3.99,2432,0.97,0.03,0.01,0.06,0.26,8.97,8.76,4.29,3.97,1.03,3.05,0.19,7.62,0.30,0.03,0.37,38.11,,1.318,.298,8.8,1.0,3.1,7.7,2.50,0.55
8,2012,14,325,28.2,4.40,4.08,2268,0.97,0.03,0.01,0.06,0.26,8.94,8.69,4.40,4.05,1.08,3.00,0.19,7.37,0.32,0.04,0.32,37.91,,1.308,.293,8.7,1.1,3.0,7.4,2.45,0.59
9,2011,14,325,28.2,4.43,4.08,2268,0.96,0.04,0.02,0.07,0.24,8.94,8.78,4.43,4.05,0.98,3.06,0.21,6.90,0.33,0.03,0.34,38.11,,1.325,.293,8.8,1.0,3.1,6.9,2.25,0.63
10,2010,14,296,28.0,4.42,4.14,2268,0.96,0.04,0.01,0.06,0.25,8.91,8.79,4.42,4.10,0.98,3.21,0.20,6.77,0.32,0.04,0.37,38.14,,1.346,.294,8.9,1.0,3.2,6.8,2.11,0.62
11,2009,14,327,28.1,4.75,4.45,2270,0.97,0.03,0.01,0.05,0.25,8.89,9.13,4.75,4.40,1.10,3.34,0.18,6.78,0.32,0.03,0.32,38.52,,1.403,.300,9.2,1.1,3.4,6.9,2.03,0.58
12,2008,14,316,28.3,4.68,4.35,2268,0.97,0.03,0.01,0.06,0.25,8.92,9.11,4.68,4.31,0.99,3.29,0.23,6.58,0.35,0.03,0.33,38.52,,1.391,.300,9.2,1.0,3.3,6.6,2.00,0.61
13,2007,14,311,28.4,4.82,4.50,2268,0.97,0.03,0.01,0.05,0.24,8.90,9.28,4.82,4.45,0.99,3.28,0.24,6.57,0.36,0.03,0.33,38.65,,1.412,.304,9.4,1.0,3.3,6.6,2.00,0.60
14,2006,14,315,28.4,4.87,4.56,2268,0.97,0.03,0.01,0.05,0.26,8.87,9.40,4.87,4.49,1.11,3.14,0.23,6.35,0.34,0.03,0.33,38.53,,1.414,.303,9.5,1.1,3.2,6.4,2.02,0.61
15,2005,14,292,29.2,4.68,4.35,2268,0.96,0.04,0.01,0.05,0.26,8.90,9.13,4.68,4.30,1.06,2.98,0.20,6.09,0.37,0.03,0.31,38.27,,1.362,.293,9.2,1.1,3.0,6.2,2.04,0.63
16,2004,14,311,29.0,4.99,4.63,2266,0.97,0.03,0.01,0.05,0.24,8.94,9.33,4.99,4.60,1.14,3.32,0.23,6.40,0.40,0.04,0.32,38.96,,1.416,.298,9.4,1.2,3.3,6.4,1.93,0.67
17,2003,14,300,28.6,4.87,4.52,2270,0.95,0.05,0.01,0.05,0.24,8.91,9.21,4.87,4.48,1.10,3.13,0.23,6.05,0.39,0.03,0.30,38.56,,1.385,.293,9.3,1.1,3.2,6.1,1.93,0.65
18,2002,14,295,28.7,4.80,4.46,2264,0.95,0.05,0.02,0.05,0.25,8.91,9.10,4.80,4.41,1.09,3.22,0.22,6.19,0.38,0.04,0.34,38.51,,1.383,.292,9.2,1.1,3.3,6.3,1.92,0.66
19,2001,14,284,28.5,4.86,4.47,2266,0.95,0.05,0.01,0.04,0.26,8.92,9.20,4.86,4.43,1.10,3.21,0.23,6.39,0.41,0.03,0.33,38.63,,1.391,.297,9.3,1.1,3.2,6.4,1.99,0.70
20,2000,14,303,28.9,5.28,4.91,2265,0.95,0.05,0.02,0.04,0.24,8.89,9.55,5.28,4.85,1.19,3.70,0.21,6.20,0.30,0.03,0.31,39.27,,1.490,.302,9.7,1.2,3.7,6.3,1.67,0.69
21,1999,14,301,29.2,5.23,4.86,2265,0.95,0.05,0.01,0.04,0.25,8.86,9.51,5.23,4.78,1.16,3.66,0.19,6.14,0.35,0.03,0.33,39.09,,1.486,.303,9.7,1.2,3.7,6.2,1.68,0.70
22,1998,14,278,29.3,5.01,4.65,2268,0.94,0.06,0.02,0.04,0.26,8.90,9.35,5.01,4.60,1.09,3.40,0.19,6.32,0.34,0.03,0.34,38.85,,1.432,.301,9.5,1.1,3.4,6.4,1.86,0.70
23,1997,14,284,28.8,4.94,4.56,2264,0.95,0.05,0.02,0.04,0.25,8.92,9.40,4.94,4.52,1.09,3.47,0.24,6.38,0.30,0.03,0.35,38.93,,1.443,.303,9.5,1.1,3.5,6.4,1.84,0.69
24,1996,14,293,28.3,5.39,4.99,2266,0.93,0.07,0.02,0.03,0.24,8.95,9.67,5.39,4.96,1.21,3.79,0.27,6.20,0.32,0.03,0.34,39.60,,1.505,.304,9.7,1.2,3.8,6.2,1.64,0.69
