,Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E
0,year_ID,teams,pitchers_used,age_pit,runs_per_game,earned_run_avg,G,GF,CG,SHO,SHO_team,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,whip,batting_avg_bip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls,E_def
1,A Star indicates an all-star that season.<br>A Ring indicates the player appeared in WS for winning team.,,<strong>Number of Pitchers used in Games</strong>,<strong>Pitchers&#x2019; average age</strong><br>Weighted by 3*GS + G + SV,Runs Scored Per Game,"<strong>9 * ER / IP</strong><br>For recent years, leaders need 1 IP<br>per team game played.<br>Bold indicates lowest ERA using current stats<br><span class=glimmer>Gold</span> means awarded ERA title at end of year.",Games Played or Pitched,Games Finished,Complete Game,Shutouts<br>No runs allowed and a complete game.,Shutouts by a team<br>No runs allowed in a game by one or more pitchers.,Saves,Innings Pitched,Hits/Hits Allowed,Runs Scored/Allowed,Earned Runs Allowed,Home Runs Hit/Allowed,Bases on Balls/Walks,<strong>Intentional Bases on Balls</strong><br>First tracked in 1955.,Strikeouts,Times Hit by a Pitch.,Balks,Wild Pitches,Batters Faced,<strong>ERA+</strong><br>100*[lgERA/ERA]<br>Adjusted to the player&#x2019;s ballpark(s).,"<strong>(BB + H)/IP</strong><br>For recent years, leaders need 1 IP<br>per team game played",<strong>Batting Avg. on Balls in Plays</strong>(Hits - Home Runs)/(At Bats - SO - HR + Sac Flies)<br>This also measures how effectively the<br>defense turned balls into outs.,"<strong>9 x H / IP</strong><br>For recent years, leaders need 1 IP<br>per team game played","<strong>9 x HR / IP</strong><br>For recent years, leaders need 1 IP<br>per team game played","<strong>9 x BB / IP</strong><br>For recent years, leaders need 1 IP<br>per team game played","<strong>9 x SO / IP</strong><br>For recent years, leaders need 1 IP<br>per team game played","<strong>SO/W or SO/BB</strong><br>For recent years, pitching leaders need 1 IP<br>per team game played.<br>No batting leaders computed.",Errors Committed
