,Year,Tms,G,Time,Time/9I,Inn,Inn%,R/G,PA/G,Pitches/PA,Batters/G,Pitchers/G,PH/G,PR/G,Batters/S,Pitchers/S,Attendance,Attend/G,Lg Payroll*,Payroll/Tm*
0,2020,15,443,3:06,3:06,38,8.58,9.20,74.2,4.03,10.4,4.44,0.57,0.26,20.5,23.3,,,,
1,2019,15,1214,3:09,3:05,103,8.48,9.87,77.0,3.94,10.1,4.39,0.57,0.17,23.9,27.1,"30,604,613","25,209","$1,873,164,974","$124,877,664"
2,2018,15,1215,3:04,3:00,95,7.82,9.11,75.9,3.90,10.2,4.29,0.59,0.20,23.7,25.6,"32,420,645","26,683","$1,930,362,596","$128,690,839"
3,2017,15,1215,3:10,3:07,87,7.16,9.39,76.1,3.91,10.3,4.18,0.60,0.19,23.0,25.0,"34,371,583","28,289","$2,115,200,649","$141,013,376"
4,2016,15,1214,3:02,2:59,84,6.92,9.03,75.7,3.88,10.3,4.01,0.59,0.20,23.1,23.7,"35,045,489","28,867","$2,056,332,860","$137,088,857"
5,2015,15,1214,3:00,2:56,104,8.57,8.68,75.5,3.86,10.4,4.01,0.69,0.23,23.7,23.5,"34,856,983","28,712","$1,865,482,904","$124,365,526"
6,2014,15,1215,3:08,3:04,109,8.97,8.31,75.8,3.86,10.4,3.97,0.69,0.22,25.1,22.4,"34,491,145","28,387","$1,710,931,301","$114,062,086"
7,2013,15,1216,3:04,3:00,114,9.38,8.67,76.2,3.87,10.3,3.88,0.67,0.20,24.3,21.4,"34,590,988","28,446","$1,610,856,633","$107,390,442"
8,2012,14,1134,2:59,2:55,91,8.02,8.86,75.9,3.85,10.2,3.92,0.57,0.21,23.6,18.6,"33,383,773","29,438","$1,425,992,175","$101,856,583"
9,2011,14,1137,2:56,2:52,102,8.97,8.95,76.3,3.83,10.1,3.70,0.47,0.21,22.4,19.4,"32,673,378","28,736","$1,384,944,739","$98,924,624"
10,2010,14,1131,2:53,2:49,102,9.02,8.86,76.3,3.84,10.2,3.73,0.58,0.22,23.3,18.1,"32,051,984","28,339","$1,360,467,103","$97,176,221"
11,2009,14,1135,2:55,2:52,78,6.87,9.61,77.0,3.85,10.2,3.81,0.53,0.22,22.4,19.2,"32,272,727","28,434","$1,371,317,862","$97,951,275"
12,2008,14,1134,2:56,2:52,88,7.76,9.50,77.1,3.81,10.3,3.78,0.58,0.21,22.9,18.6,"34,540,540","30,459","$1,363,847,694","$97,417,692"
13,2007,14,1134,2:57,2:54,90,7.94,9.77,77.3,3.81,10.3,3.81,0.60,0.22,22.6,18.2,"35,389,158","31,207","$1,318,185,617","$94,156,115"
14,2006,14,1134,2:51,2:48,84,7.41,9.79,77.1,3.78,10.3,3.72,0.57,0.22,22.5,18.3,"34,465,295","30,392","$1,170,620,065","$83,615,718"
15,2005,14,1134,2:49,2:46,90,7.94,9.40,76.6,3.74,10.2,3.62,0.63,0.19,22.7,17.6,"33,270,923","29,339","$1,053,861,260","$75,275,804"
