Statistic,Single-Season,Career,Active,Progressive,Yearly League,Year-by-Year Top-Tens,Category
Saves,/leaders/SV_season.shtml,/leaders/SV_career.shtml,/leaders/SV_active.shtml,/leaders/SV_progress.shtml,/leaders/SV_leagues.shtml,/leaders/SV_top_ten.shtml,Pitching Leaderboards
Innings Pitched,/leaders/IP_season.shtml,/leaders/IP_career.shtml,/leaders/IP_active.shtml,/leaders/IP_progress.shtml,/leaders/IP_leagues.shtml,/leaders/IP_top_ten.shtml,Pitching Leaderboards
Strikeouts,/leaders/SO_p_season.shtml,/leaders/SO_p_career.shtml,/leaders/SO_p_active.shtml,/leaders/SO_p_progress.shtml,/leaders/SO_p_leagues.shtml,/leaders/SO_p_top_ten.shtml,Pitching Leaderboards
Games Started,/leaders/GS_season.shtml,/leaders/GS_career.shtml,/leaders/GS_active.shtml,/leaders/GS_progress.shtml,/leaders/GS_leagues.shtml,/leaders/GS_top_ten.shtml,Pitching Leaderboards
Complete Games,/leaders/CG_season.shtml,/leaders/CG_career.shtml,/leaders/CG_active.shtml,/leaders/CG_progress.shtml,/leaders/CG_leagues.shtml,/leaders/CG_top_ten.shtml,Pitching Leaderboards
Shutouts,/leaders/SHO_season.shtml,/leaders/SHO_career.shtml,/leaders/SHO_active.shtml,/leaders/SHO_progress.shtml,/leaders/SHO_leagues.shtml,/leaders/SHO_top_ten.shtml,Pitching Leaderboards
Home Runs,/leaders/HR_p_season.shtml,/leaders/HR_p_career.shtml,/leaders/HR_p_active.shtml,/leaders/HR_p_progress.shtml,/leaders/HR_p_leagues.shtml,/leaders/HR_p_top_ten.shtml,Pitching Leaderboards
Bases on Balls,/leaders/BB_p_season.shtml,/leaders/BB_p_career.shtml,/leaders/BB_p_active.shtml,/leaders/BB_p_progress.shtml,/leaders/BB_p_leagues.shtml,/leaders/BB_p_top_ten.shtml,Pitching Leaderboards
Hits,/leaders/H_p_season.shtml,/leaders/H_p_career.shtml,/leaders/H_p_active.shtml,/leaders/H_p_progress.shtml,/leaders/H_p_leagues.shtml,/leaders/H_p_top_ten.shtml,Pitching Leaderboards
Strikeouts / Base On Balls,/leaders/strikeouts_per_base_on_balls_season.shtml,/leaders/strikeouts_per_base_on_balls_career.shtml,/leaders/strikeouts_per_base_on_balls_active.shtml,/leaders/strikeouts_per_base_on_balls_progress.shtml,/leaders/strikeouts_per_base_on_balls_leagues.shtml,/leaders/strikeouts_per_base_on_balls_top_ten.shtml,Pitching Leaderboards
Home Runs per 9 IP,/leaders/home_runs_per_nine_season.shtml,/leaders/home_runs_per_nine_career.shtml,/leaders/home_runs_per_nine_active.shtml,/leaders/home_runs_per_nine_progress.shtml,/leaders/home_runs_per_nine_leagues.shtml,/leaders/home_runs_per_nine_top_ten.shtml,Pitching Leaderboards
Losses,/leaders/L_season.shtml,/leaders/L_career.shtml,/leaders/L_active.shtml,/leaders/L_progress.shtml,/leaders/L_leagues.shtml,/leaders/L_top_ten.shtml,Pitching Leaderboards
Earned Runs,/leaders/ER_season.shtml,/leaders/ER_career.shtml,/leaders/ER_active.shtml,/leaders/ER_progress.shtml,/leaders/ER_leagues.shtml,/leaders/ER_top_ten.shtml,Pitching Leaderboards
Wild Pitches,/leaders/WP_season.shtml,/leaders/WP_career.shtml,/leaders/WP_active.shtml,/leaders/WP_progress.shtml,/leaders/WP_leagues.shtml,/leaders/WP_top_ten.shtml,Pitching Leaderboards
Hit By Pitch,/leaders/HBP_p_season.shtml,/leaders/HBP_p_career.shtml,/leaders/HBP_p_active.shtml,/leaders/HBP_p_progress.shtml,/leaders/HBP_p_leagues.shtml,/leaders/HBP_p_top_ten.shtml,Pitching Leaderboards
Batters Faced,/leaders/batters_faced_season.shtml,/leaders/batters_faced_career.shtml,/leaders/batters_faced_active.shtml,/leaders/batters_faced_progress.shtml,/leaders/batters_faced_leagues.shtml,/leaders/batters_faced_top_ten.shtml,Pitching Leaderboards
Games Finished,/leaders/GF_season.shtml,/leaders/GF_career.shtml,/leaders/GF_active.shtml,/leaders/GF_progress.shtml,/leaders/GF_leagues.shtml,/leaders/GF_top_ten.shtml,Pitching Leaderboards
Adjusted ERA+,/leaders/earned_run_avg_plus_season.shtml,/leaders/earned_run_avg_plus_career.shtml,/leaders/earned_run_avg_plus_active.shtml,/leaders/earned_run_avg_plus_progress.shtml,/leaders/earned_run_avg_plus_leagues.shtml,/leaders/earned_run_avg_plus_top_ten.shtml,Pitching Leaderboards
Fielding Independent Pitching,/leaders/fip_season.shtml,/leaders/fip_career.shtml,/leaders/fip_active.shtml,/leaders/fip_progress.shtml,/leaders/fip_leagues.shtml,/leaders/fip_top_ten.shtml,Pitching Leaderboards
Adj. Pitching Runs,/leaders/apRuns_season.shtml,/leaders/apRuns_career.shtml,/leaders/apRuns_active.shtml,/leaders/apRuns_progress.shtml,/leaders/apRuns_leagues.shtml,/leaders/apRuns_top_ten.shtml,Pitching Leaderboards
Adj. Pitching Wins,/leaders/apWins_season.shtml,/leaders/apWins_career.shtml,/leaders/apWins_active.shtml,/leaders/apWins_progress.shtml,/leaders/apWins_leagues.shtml,/leaders/apWins_top_ten.shtml,Pitching Leaderboards
Base-Out Runs Saved (RE24),/leaders/re24_def_season.shtml,/leaders/re24_def_career.shtml,/leaders/re24_def_active.shtml,/leaders/re24_def_progress.shtml,/leaders/re24_def_leagues.shtml,/leaders/re24_def_top_ten.shtml,Pitching Leaderboards
Win Probability Added (WPA),/leaders/wpa_def_season.shtml,/leaders/wpa_def_career.shtml,/leaders/wpa_def_active.shtml,/leaders/wpa_def_progress.shtml,/leaders/wpa_def_leagues.shtml,/leaders/wpa_def_top_ten.shtml,Pitching Leaderboards
Sit. Wins Saved (WPA/LI),/leaders/wpa_li_def_season.shtml,/leaders/wpa_li_def_career.shtml,/leaders/wpa_li_def_active.shtml,/leaders/wpa_li_def_progress.shtml,/leaders/wpa_li_def_leagues.shtml,/leaders/wpa_li_def_top_ten.shtml,Pitching Leaderboards
Championship WPA (cWPA),/leaders/cwpa_def_season.shtml,/leaders/cwpa_def_career.shtml,/leaders/cwpa_def_active.shtml,/leaders/cwpa_def_progress.shtml,/leaders/cwpa_def_leagues.shtml,/leaders/cwpa_def_top_ten.shtml,Pitching Leaderboards
Base-Out Wins Saved (REW),/leaders/rew_def_season.shtml,/leaders/rew_def_career.shtml,/leaders/rew_def_active.shtml,/leaders/rew_def_progress.shtml,/leaders/rew_def_leagues.shtml,/leaders/rew_def_top_ten.shtml,Pitching Leaderboards
Putouts,/leaders/PO_tf_season.shtml,/leaders/PO_tf_career.shtml,/leaders/PO_tf_active.shtml,/leaders/PO_tf_progress.shtml,/leaders/PO_tf_leagues.shtml,/leaders/PO_tf_top_ten.shtml,Fielding Leaderboards
Assists,/leaders/A_tf_season.shtml,/leaders/A_tf_career.shtml,/leaders/A_tf_active.shtml,/leaders/A_tf_progress.shtml,/leaders/A_tf_leagues.shtml,/leaders/A_tf_top_ten.shtml,Fielding Leaderboards
Errors Committed,/leaders/E_tf_season.shtml,/leaders/E_tf_career.shtml,/leaders/E_tf_active.shtml,/leaders/E_tf_progress.shtml,/leaders/E_tf_leagues.shtml,/leaders/E_tf_top_ten.shtml,Fielding Leaderboards
Total Zone Runs,/leaders/tz_runs_total_tf_season.shtml,/leaders/tz_runs_total_tf_career.shtml,/leaders/tz_runs_total_tf_active.shtml,/leaders/tz_runs_total_tf_progress.shtml,/leaders/tz_runs_total_tf_leagues.shtml,/leaders/tz_runs_total_tf_top_ten.shtml,Fielding Leaderboards
Def. Games as C,/leaders/Gm_c_season.shtml,/leaders/Gm_c_career.shtml,/leaders/Gm_c_active.shtml,/leaders/Gm_c_progress.shtml,/leaders/Gm_c_leagues.shtml,/leaders/Gm_c_top_ten.shtml,Fielding Leaderboards
Putouts as C,/leaders/PO_c_season.shtml,/leaders/PO_c_career.shtml,/leaders/PO_c_active.shtml,/leaders/PO_c_progress.shtml,/leaders/PO_c_leagues.shtml,/leaders/PO_c_top_ten.shtml,Fielding Leaderboards
Assists as C,/leaders/A_c_season.shtml,/leaders/A_c_career.shtml,/leaders/A_c_active.shtml,/leaders/A_c_progress.shtml,/leaders/A_c_leagues.shtml,/leaders/A_c_top_ten.shtml,Fielding Leaderboards
Errors Committed as C,/leaders/E_c_season.shtml,/leaders/E_c_career.shtml,/leaders/E_c_active.shtml,/leaders/E_c_progress.shtml,/leaders/E_c_leagues.shtml,/leaders/E_c_top_ten.shtml,Fielding Leaderboards
Double Plays Turned as C,/leaders/DP_c_season.shtml,/leaders/DP_c_career.shtml,/leaders/DP_c_active.shtml,/leaders/DP_c_progress.shtml,/leaders/DP_c_leagues.shtml,/leaders/DP_c_top_ten.shtml,Fielding Leaderboards
Passed Balls,/leaders/PB_season.shtml,/leaders/PB_career.shtml,/leaders/PB_active.shtml,/leaders/PB_progress.shtml,/leaders/PB_leagues.shtml,/leaders/PB_top_ten.shtml,Fielding Leaderboards
Stolen Bases Allowed as C,/leaders/SB_c_season.shtml,/leaders/SB_c_career.shtml,/leaders/SB_c_active.shtml,/leaders/SB_c_progress.shtml,/leaders/SB_c_leagues.shtml,/leaders/SB_c_top_ten.shtml,Fielding Leaderboards
Caught Stealing as C,/leaders/CS_c_season.shtml,/leaders/CS_c_career.shtml,/leaders/CS_c_active.shtml,/leaders/CS_c_progress.shtml,/leaders/CS_c_leagues.shtml,/leaders/CS_c_top_ten.shtml,Fielding Leaderboards
Caught Stealing %,/leaders/caught_stealing_perc_season.shtml,/leaders/caught_stealing_perc_career.shtml,/leaders/caught_stealing_perc_active.shtml,/leaders/caught_stealing_perc_progress.shtml,/leaders/caught_stealing_perc_leagues.shtml,/leaders/caught_stealing_perc_top_ten.shtml,Fielding Leaderboards
Def. Games as 1B,/leaders/Gm_1b_season.shtml,/leaders/Gm_1b_career.shtml,/leaders/Gm_1b_active.shtml,/leaders/Gm_1b_progress.shtml,/leaders/Gm_1b_leagues.shtml,/leaders/Gm_1b_top_ten.shtml,Fielding Leaderboards
Putouts as 1B,/leaders/PO_1b_season.shtml,/leaders/PO_1b_career.shtml,/leaders/PO_1b_active.shtml,/leaders/PO_1b_progress.shtml,/leaders/PO_1b_leagues.shtml,/leaders/PO_1b_top_ten.shtml,Fielding Leaderboards
Assists as 1B,/leaders/A_1b_season.shtml,/leaders/A_1b_career.shtml,/leaders/A_1b_active.shtml,/leaders/A_1b_progress.shtml,/leaders/A_1b_leagues.shtml,/leaders/A_1b_top_ten.shtml,Fielding Leaderboards
Errors Committed as 1B,/leaders/E_1b_season.shtml,/leaders/E_1b_career.shtml,/leaders/E_1b_active.shtml,/leaders/E_1b_progress.shtml,/leaders/E_1b_leagues.shtml,/leaders/E_1b_top_ten.shtml,Fielding Leaderboards
Double Plays Turned as 1B,/leaders/DP_1b_season.shtml,/leaders/DP_1b_career.shtml,/leaders/DP_1b_active.shtml,/leaders/DP_1b_progress.shtml,/leaders/DP_1b_leagues.shtml,/leaders/DP_1b_top_ten.shtml,Fielding Leaderboards
Def. Games as 2B,/leaders/Gm_2b_season.shtml,/leaders/Gm_2b_career.shtml,/leaders/Gm_2b_active.shtml,/leaders/Gm_2b_progress.shtml,/leaders/Gm_2b_leagues.shtml,/leaders/Gm_2b_top_ten.shtml,Fielding Leaderboards
Putouts as 2B,/leaders/PO_2b_season.shtml,/leaders/PO_2b_career.shtml,/leaders/PO_2b_active.shtml,/leaders/PO_2b_progress.shtml,/leaders/PO_2b_leagues.shtml,/leaders/PO_2b_top_ten.shtml,Fielding Leaderboards
Assists as 2B,/leaders/A_2b_season.shtml,/leaders/A_2b_career.shtml,/leaders/A_2b_active.shtml,/leaders/A_2b_progress.shtml,/leaders/A_2b_leagues.shtml,/leaders/A_2b_top_ten.shtml,Fielding Leaderboards
Errors Committed as 2B,/leaders/E_2b_season.shtml,/leaders/E_2b_career.shtml,/leaders/E_2b_active.shtml,/leaders/E_2b_progress.shtml,/leaders/E_2b_leagues.shtml,/leaders/E_2b_top_ten.shtml,Fielding Leaderboards
Double Plays Turned as 2B,/leaders/DP_2b_season.shtml,/leaders/DP_2b_career.shtml,/leaders/DP_2b_active.shtml,/leaders/DP_2b_progress.shtml,/leaders/DP_2b_leagues.shtml,/leaders/DP_2b_top_ten.shtml,Fielding Leaderboards
Def. Games as 3B,/leaders/Gm_3b_season.shtml,/leaders/Gm_3b_career.shtml,/leaders/Gm_3b_active.shtml,/leaders/Gm_3b_progress.shtml,/leaders/Gm_3b_leagues.shtml,/leaders/Gm_3b_top_ten.shtml,Fielding Leaderboards
Putouts as 3B,/leaders/PO_3b_season.shtml,/leaders/PO_3b_career.shtml,/leaders/PO_3b_active.shtml,/leaders/PO_3b_progress.shtml,/leaders/PO_3b_leagues.shtml,/leaders/PO_3b_top_ten.shtml,Fielding Leaderboards
Assists as 3B,/leaders/A_3b_season.shtml,/leaders/A_3b_career.shtml,/leaders/A_3b_active.shtml,/leaders/A_3b_progress.shtml,/leaders/A_3b_leagues.shtml,/leaders/A_3b_top_ten.shtml,Fielding Leaderboards
Errors Committed as 3B,/leaders/E_3b_season.shtml,/leaders/E_3b_career.shtml,/leaders/E_3b_active.shtml,/leaders/E_3b_progress.shtml,/leaders/E_3b_leagues.shtml,/leaders/E_3b_top_ten.shtml,Fielding Leaderboards
Double Plays Turned as 3B,/leaders/DP_3b_season.shtml,/leaders/DP_3b_career.shtml,/leaders/DP_3b_active.shtml,/leaders/DP_3b_progress.shtml,/leaders/DP_3b_leagues.shtml,/leaders/DP_3b_top_ten.shtml,Fielding Leaderboards
Def. Games as SS,/leaders/Gm_ss_season.shtml,/leaders/Gm_ss_career.shtml,/leaders/Gm_ss_active.shtml,/leaders/Gm_ss_progress.shtml,/leaders/Gm_ss_leagues.shtml,/leaders/Gm_ss_top_ten.shtml,Fielding Leaderboards
Putouts as SS,/leaders/PO_ss_season.shtml,/leaders/PO_ss_career.shtml,/leaders/PO_ss_active.shtml,/leaders/PO_ss_progress.shtml,/leaders/PO_ss_leagues.shtml,/leaders/PO_ss_top_ten.shtml,Fielding Leaderboards
Assists as SS,/leaders/A_ss_season.shtml,/leaders/A_ss_career.shtml,/leaders/A_ss_active.shtml,/leaders/A_ss_progress.shtml,/leaders/A_ss_leagues.shtml,/leaders/A_ss_top_ten.shtml,Fielding Leaderboards
Errors Committed as SS,/leaders/E_ss_season.shtml,/leaders/E_ss_career.shtml,/leaders/E_ss_active.shtml,/leaders/E_ss_progress.shtml,/leaders/E_ss_leagues.shtml,/leaders/E_ss_top_ten.shtml,Fielding Leaderboards
Double Plays Turned as SS,/leaders/DP_ss_season.shtml,/leaders/DP_ss_career.shtml,/leaders/DP_ss_active.shtml,/leaders/DP_ss_progress.shtml,/leaders/DP_ss_leagues.shtml,/leaders/DP_ss_top_ten.shtml,Fielding Leaderboards
Def. Games as LF (s.1901),/leaders/Gm_lf_season.shtml,/leaders/Gm_lf_career.shtml,/leaders/Gm_lf_active.shtml,/leaders/Gm_lf_progress.shtml,/leaders/Gm_lf_leagues.shtml,/leaders/Gm_lf_top_ten.shtml,Fielding Leaderboards
Putouts as LF (s.1901),/leaders/PO_lf_season.shtml,/leaders/PO_lf_career.shtml,/leaders/PO_lf_active.shtml,/leaders/PO_lf_progress.shtml,/leaders/PO_lf_leagues.shtml,/leaders/PO_lf_top_ten.shtml,Fielding Leaderboards
Assists as LF (s.1901),/leaders/A_lf_season.shtml,/leaders/A_lf_career.shtml,/leaders/A_lf_active.shtml,/leaders/A_lf_progress.shtml,/leaders/A_lf_leagues.shtml,/leaders/A_lf_top_ten.shtml,Fielding Leaderboards
Errors Committed as LF (s.1901),/leaders/E_lf_season.shtml,/leaders/E_lf_career.shtml,/leaders/E_lf_active.shtml,/leaders/E_lf_progress.shtml,/leaders/E_lf_leagues.shtml,/leaders/E_lf_top_ten.shtml,Fielding Leaderboards
Double Plays Turned as LF (s.1901),/leaders/DP_lf_season.shtml,/leaders/DP_lf_career.shtml,/leaders/DP_lf_active.shtml,/leaders/DP_lf_progress.shtml,/leaders/DP_lf_leagues.shtml,/leaders/DP_lf_top_ten.shtml,Fielding Leaderboards
