,Rank,Player (age that year),Fielding % as 3B,Year,Throws
161,160.,Mike Lowell (29),.9732,2003,R
162,163.,Casey Blake (35),.9731,2009,R
163,163.,Woody English (27),.9731,1933,R
164,163.,Corey Koskie (30),.9731,2003,R
165,163.,Manny Machado (20),.9731,2013,R
166,167.,Charlie Deal (28),.9730,1920,R
167,167.,Charlie Deal (29),.9730,1921,R
168,169.,Pedro Feliz (32),.9729,2007,R
169,169.,Gary Gaetti (28),.9729,1987,R
170,169.,Willie Jones (30),.9729,1956,R
171,172.,Bob Aspromonte (26),.9728,1964,R
172,172.,David Bell (29),.9728,2002,R
173,172.,Jeimer Candelario (24),.9728,2018,R
174,172.,Scott Rolen (26),.9728,2001,R
175,172.,Justin Turner (34),.9728,2019,R
176,177.,Graig Nettles (26),.9727,1971,R
177,177.,David Wright (30),.9727,2013,R
178,179.,Charlie Deal (27),.9726,1919,R
179,179.,Gary Gaetti (30),.9726,1989,R
180,181.,Marty McManus (29),.9725,1929,R
181,181.,Ken Reitz (27),.9725,1978,R
182,183.,Matt Dominguez (24),.9724,2014,R
183,183.,Ken Keltner (30),.9724,1947,R
184,183.,Bill Mueller (34),.9724,2005,R
185,183.,Chris Stynes (30),.9724,2003,R
186,187.,Home Run Baker+ (32),.9723,1918,R
187,187.,Eric Chavez (23),.9723,2001,R
188,189.,Todd Frazier (30),.9722,2016,R
189,189.,Leo Gomez (30),.9722,1996,R
190,191.,Mark Christman (30),.9721,1944,R
191,191.,Aramis Ramirez (29),.9721,2007,R
192,193.,Ken Oberkfell (26),.9720,1982,R
193,193.,Martin Prado (32),.9720,2016,R
194,195.,Pinky May (30),.9719,1941,R
195,195.,Graig Nettles (36),.9719,1981,R
196,195.,Don Wert (27),.9719,1966,R
197,195.,Matt Williams (32),.9719,1998,R
198,199.,George Kell+ (30),.9718,1953,R
199,199.,Ken Reitz (28),.9718,1979,R
200,199.,Brooks Robinson+ (24),.9718,1961,R
201,202.,Willie Kamm (27),.9717,1927,R
202,202.,Trevor Plouffe (29),.9717,2015,R
203,202.,Brooks Robinson+ (27),.9717,1964,R
204,205.,Ron Cey (32),.9716,1980,R
205,205.,Joe Randa (32),.9716,2002,R
206,207.,Evan Longoria (27),.9715,2013,R
207,207.,Justin Turner (31),.9715,2016,R
208,209.,Sal Bando (27),.9714,1971,R
209,209.,Toby Harrah (34),.9714,1983,R
210,211.,Wade Boggs+ (30),.9713,1988,R
211,211.,Joe Crede (27),.9713,2005,R
212,211.,Melvin Mora (35),.9713,2007,R
213,211.,Rance Mulliniks (29),.9713,1985,R
214,211.,Ron Santo+ (28),.9713,1968,R
215,216.,Chris Brown (23),.9712,1985,R
216,216.,Toby Harrah (33),.9712,1982,R
217,216.,Kevin Orie (24),.9712,1997,R
218,216.,Terry Pendleton (28),.9712,1989,R
219,216.,Pablo Sandoval (27),.9712,2014,R
220,221.,Toby Harrah (31),.9711,1980,R
221,221.,Don Money (26),.9711,1973,R
222,221.,Alex Rodriguez (29),.9711,2005,R
223,221.,Aurelio Rodriguez (25),.9711,1973,R
224,225.,Eric Chavez (25),.9710,2003,R
225,225.,Chipper Jones+ (35),.9710,2007,R
226,225.,Willie Kamm (24),.9710,1924,R
227,225.,Doug Rader (30),.9710,1975,R
228,225.,Mike Schmidt+ (37),.9710,1987,R
229,225.,Joe Stripp (35),.9710,1938,R
230,231.,Ed Charles (32),.9709,1965,R
231,231.,Melvin Mora (37),.9709,2009,R
232,231.,Scott Rolen (25),.9709,2000,R
233,234.,Mike Cubbage (27),.9707,1978,R
234,234.,Heinie Groh (29),.9707,1919,R
235,234.,Fred Hatfield (27),.9707,1952,R
236,237.,Jeff Branson (28),.9706,1995,R
237,237.,Kelly Gruber (26),.9706,1988,R
238,237.,Don Hoak (29),.9706,1957,R
239,237.,Steve Mesner (27),.9706,1945,R
240,237.,Rance Mulliniks (27),.9706,1983,R
241,242.,Chipper Jones+ (26),.9705,1998,R
242,242.,Ken Keltner (24),.9705,1941,R
243,244.,Vinny Castilla (30),.9704,1998,R
244,244.,Hank Majeski (33),.9704,1950,R
245,246.,Clete Boyer (30),.9703,1967,R
246,246.,Alex Bregman (23),.9703,2017,R
247,246.,Todd Frazier (27),.9703,2013,R
248,246.,Carney Lansford (33),.9703,1990,R
249,246.,Marv Owen (31),.9703,1937,R
250,246.,Rico Petrocelli (29),.9703,1972,R
251,252.,Brooks Robinson+ (31),.9702,1968,R
252,253.,Yunel Escobar (32),.9701,2015,R
253,253.,Alex Rodriguez (32),.9701,2008,R
254,253.,Scott Rolen (23),.9701,1998,R
255,253.,Ryne Sandberg+ (22),.9701,1982,R
256,253.,Paul Schaal (22),.9701,1965,R
257,253.,Matt Williams (31),.9701,1997,R
258,259.,Ossie Bluege (31),.9700,1932,R
259,259.,Ken McMullen (30),.9700,1972,R
260,259.,Johnny Pesky (30),.9700,1949,R
261,262.,Alberto Callaspo (27),.9699,2010,R
262,262.,Brooks Robinson+ (36),.9699,1973,R
263,264.,Wade Boggs+ (35),.9698,1993,R
264,264.,Maikel Franco (26),.9698,2019,R
265,264.,Todd Frazier (28),.9698,2014,R
266,264.,Ray Jablonski (29),.9698,1956,R
267,268.,Buddy Bell (26),.9697,1978,R
268,268.,Jack Hannahan (28),.9697,2008,R
269,270.,Vinny Castilla (37),.9696,2005,R
270,270.,Gary Gaetti (37),.9696,1996,R
271,270.,Bob Horner (24),.9696,1982,R
272,270.,Evan Longoria (23),.9696,2009,R
273,270.,Matt Williams (27),.9696,1993,R
274,275.,Buddy Bell (27),.9695,1979,R
275,275.,Richie Hebner (24),.9695,1972,R
276,275.,Ossie Vitt (29),.9695,1919,R
277,278.,Travis Fryman (26),.9694,1995,R
278,279.,Ray Knight (27),.9693,1980,R
279,279.,Al Rosen (26),.9693,1950,R
280,279.,Justin Turner (32),.9693,2017,R
281,282.,Scott Brosius (29),.9692,1996,R
282,282.,Kyle Seager (29),.9692,2017,R
283,284.,Aurelio Rodriguez (34),.9691,1982,R
284,284.,Pete Rose (35),.9691,1976,R
285,286.,Bobby Byrne (30),.9690,1915,R
286,286.,Don Hoak (34),.9690,1962,R
287,286.,Aramis Ramirez (26),.9690,2004,R
288,286.,Anthony Rendon (29),.9690,2019,R
289,286.,Scott Rolen (28),.9690,2003,R
290,286.,Ian Stewart (24),.9690,2009,R
291,292.,Mike Lowell (28),.9689,2002,R
292,292.,Aurelio Rodriguez (24),.9689,1972,R
293,292.,Luis Valbuena (28),.9689,2014,R
294,292.,Michael Young (32),.9689,2009,R
295,296.,Edgardo Alfonzo (28),.9688,2002,R
296,296.,Ken Caminiti (31),.9688,1994,R
297,296.,Josh Donaldson (33),.9688,2019,R
298,296.,Willie Jones (26),.9688,1952,R
299,296.,Ken Keltner (26),.9688,1943,R
300,296.,Ken Keltner (31),.9688,1948,R
301,296.,Scott Leius (28),.9688,1994,R
302,296.,Scott Rolen (32),.9688,2007,R
303,296.,Kevin Seitzer (30),.9688,1992,R
304,296.,Pinky Whitney (28),.9688,1933,R
305,306.,Heinie Groh (25),.9687,1915,R
306,306.,Heinie Groh (28),.9687,1918,R
307,306.,Corey Koskie (29),.9687,2002,R
308,306.,Eric Soderholm (26),.9687,1975,R
309,310.,Steve Buechele (27),.9686,1989,R
310,310.,Grady Hatton (31),.9686,1954,R
311,312.,Heinie Groh (30),.9685,1920,R
312,312.,Willie Jones (28),.9685,1954,R
313,312.,Mike Moustakas (26),.9685,2015,R
314,312.,Rio Ruiz (25),.9685,2019,R
315,316.,Adrian Beltre (27),.9684,2006,R
316,316.,Steve Buechele (24),.9684,1986,R
317,316.,Stan Hack (27),.9684,1937,R
318,316.,Kevin Kouzmanoff (28),.9684,2010,R
319,316.,Joe Stripp (33),.9684,1936,R
320,321.,Clete Boyer (28),.9683,1965,R
321,321.,Gil McDougald (24),.9683,1952,R
322,323.,Wade Boggs+ (33),.9682,1991,R
323,323.,Clete Boyer (27),.9682,1964,R
324,323.,Chase Headley (29),.9682,2013,R
325,323.,Bill Melton (25),.9682,1971,R
326,323.,Rance Mulliniks (28),.9682,1984,R
327,323.,Eddie Yost (27),.9682,1954,R
328,329.,Brooks Robinson+ (34),.9681,1971,R
329,330.,Ken Boyer (34),.9680,1965,R
330,330.,Chone Figgins (31),.9680,2009,R
331,330.,Evan Longoria (31),.9680,2017,R
332,330.,Kyle Seager (30),.9680,2018,R
333,334.,Scott Brosius (33),.9679,2000,R
334,334.,Mike Lowell (26),.9679,2000,R
335,334.,Pinky Whitney (29),.9679,1934,R
336,337.,Yolmer Sanchez (26),.9678,2018,R
337,338.,Eric Chavez (26),.9677,2004,R
338,338.,Eddie Mathews+ (31),.9677,1963,R
339,338.,Lew Riggs (26),.9677,1936,R
340,341.,Sal Bando (34),.9676,1978,R
341,341.,Ken Keltner (27),.9676,1944,R
342,341.,Carney Lansford (25),.9676,1982,R
343,341.,Andy LaRoche (25),.9676,2009,R
344,345.,Buddy Bell (31),.9675,1983,R
345,345.,George Brett+ (32),.9675,1985,R
346,345.,Ron Cey (36),.9675,1984,R
347,345.,Chuck Dressen (32),.9675,1927,R
348,345.,Pie Traynor+ (25),.9675,1924,R
349,345.,Tim Wallach (33),.9675,1991,R
350,351.,Nolan Arenado (27),.9674,2018,R
351,351.,Clete Boyer (24),.9674,1961,R
352,351.,Willie Jones (33),.9674,1959,R
353,351.,Mike Lowell (34),.9674,2008,R
354,351.,Herbert Perry (30),.9674,2000,R
355,351.,Joe Randa (34),.9674,2004,R
356,357.,Frankie Frisch+ (22),.9673,1920,R
357,357.,Alex Rodriguez (33),.9673,2009,R
358,359.,Bob Aspromonte (24),.9672,1962,R
359,359.,Jedd Gyorko (28),.9672,2017,R
360,359.,Andy High (31),.9672,1929,R
361,359.,Evan Longoria (28),.9672,2014,R
362,359.,Buddy Myer (24),.9672,1928,R
363,359.,Tim Wallach (27),.9672,1985,R
364,359.,Pinky Whitney (24),.9672,1929,R
365,366.,Adrian Beltre (26),.9671,2005,R
366,366.,Willie Jones (32),.9671,1958,R
367,366.,Manny Machado (24),.9671,2017,R
368,366.,Lenny Randle (29),.9671,1978,R
369,370.,Daniel Descalso (24),.9670,2011,R
370,370.,Mike Moustakas (23),.9670,2012,R
371,370.,Brooks Robinson+ (28),.9670,1965,R
372,370.,Kevin Youkilis (32),.9670,2011,R
373,374.,Edgardo Alfonzo (23),.9669,1997,R
374,374.,Adrian Beltre (35),.9669,2014,R
375,374.,Frank Malzone (32),.9669,1962,R
376,374.,Joe Randa (35),.9669,2005,R
377,374.,Brooks Robinson+ (37),.9669,1974,R
378,374.,Scott Rolen (27),.9669,2002,R
379,374.,Chris Sabo (31),.9669,1993,R
380,374.,Harry Steinfeldt (31),.9669,1907,R
381,382.,Andy Carey (22),.9668,1954,R
382,382.,David Freese (32),.9668,2015,R
383,384.,Sal Bando (31),.9667,1975,R
384,384.,Jeff Cirillo (29),.9667,1999,R
385,384.,Morgan Ensberg (27),.9667,2003,R
386,387.,Willie Kamm (32),.9666,1932,R
387,387.,Graig Nettles (25),.9666,1970,R
388,387.,Ernie Padgett (25),.9666,1924,R
389,387.,Joe Stripp (30),.9666,1933,R
390,391.,Nolan Arenado (24),.9665,2015,R
391,391.,Billy Cox (31),.9665,1951,R
392,391.,Howard Freigau (23),.9665,1926,R
393,391.,Gary Gaetti (24),.9665,1983,R
394,391.,Troy Glaus (30),.9665,2007,R
395,391.,Chase Headley (26),.9665,2010,R
396,397.,Evan Longoria (24),.9664,2010,R
397,397.,Robin Ventura (30),.9664,1998,R
398,399.,Sal Bando (33),.9663,1977,R
399,399.,Sean Burroughs (22),.9663,2003,R
400,399.,Art Howe (34),.9663,1981,R
401,399.,Mike Moustakas (29),.9663,2018,R
402,399.,Don Wert (30),.9663,1969,R
403,404.,David Freese (31),.9662,2014,R
404,404.,Vance Law (26),.9662,1983,R
405,404.,Denis Menke (32),.9662,1973,R
406,404.,Chris Sabo (28),.9662,1990,R
407,404.,Eddie Yost (21),.9662,1948,R
408,409.,Miguel Cabrera (29),.9661,2012,R
409,409.,Tony Taylor (32),.9661,1968,R
410,411.,Nicholas Castellanos (23),.9660,2015,R
411,411.,Chris Sabo (29),.9660,1991,R
412,411.,Don Wert (29),.9660,1968,R
413,414.,Edgardo Alfonzo (29),.9659,2003,R
414,414.,Ken Caminiti (29),.9659,1992,R
415,414.,Ken McMullen (29),.9659,1971,R
416,417.,Ron Cey (30),.9658,1978,R
417,417.,Eric Chavez (27),.9658,2005,R
418,417.,Ron Coomer (30),.9658,1997,R
419,417.,Heinie Groh (27),.9658,1917,R
420,417.,Billy Johnson (24),.9658,1943,R
421,417.,Whitey Kurowski (28),.9658,1946,R
422,417.,Bill McKechnie+ (31),.9658,1918,R
423,424.,Sparky Adams (35),.9657,1930,R
424,424.,Pedro Feliz (34),.9657,2009,R
425,424.,Eddie Mathews+ (22),.9657,1954,R
426,424.,Joe Randa (31),.9657,2001,R
427,424.,Brooks Robinson+ (33),.9657,1970,R
428,429.,Willie Jones (31),.9656,1957,R
429,429.,Corey Koskie (27),.9656,2000,R
430,429.,Marty McManus (30),.9656,1930,R
431,429.,Graig Nettles (34),.9656,1979,R
432,429.,Chris Sabo (26),.9656,1988,R
433,434.,Chuck Dressen (31),.9655,1926,R
434,434.,Willie Jones (25),.9655,1951,R
435,434.,Freddie Lindstrom+ (23),.9655,1929,R
436,434.,Paul Molitor+ (26),.9655,1983,R
437,434.,Doug Rader (25),.9655,1970,R
438,439.,Ossie Bluege (32),.9654,1933,R
439,439.,Doug DeCinces (35),.9654,1986,R
440,439.,Heinie Groh (32),.9654,1922,R
441,439.,Ken Keltner (29),.9654,1946,R
442,439.,Jim Presley (24),.9654,1986,R
443,439.,Doug Rader (29),.9654,1974,R
444,439.,Kyle Seager (27),.9654,2015,R
445,446.,Edgardo Alfonzo (30),.9653,2004,R
446,446.,Max Alvis (29),.9653,1967,R
447,446.,Ron Cey (28),.9653,1976,R
448,446.,Joe Crede (26),.9653,2004,R
449,446.,Ken McMullen (25),.9653,1967,R
450,446.,Mike Mowrey (32),.9653,1916,R
451,446.,Aramis Ramirez (28),.9653,2006,R
452,446.,Alex Rodriguez (28),.9653,2004,R
453,446.,Robin Ventura (25),.9653,1993,R
454,455.,Wade Boggs+ (29),.9652,1987,R
455,455.,Pinky Whitney (25),.9652,1930,R
456,457.,Stan Hack (32),.9651,1942,R
457,457.,Mike Pagliarulo (31),.9651,1991,R
458,459.,Wade Boggs+ (27),.9650,1985,R
459,459.,Clete Boyer (32),.9650,1969,R
460,459.,Whitey Kurowski (26),.9650,1944,R
461,459.,Carney Lansford (35),.9650,1992,R
462,459.,Scott Rolen (31),.9650,2006,R
463,459.,John Valentin (31),.9650,1998,R
464,465.,Alex Rodriguez (31),.9649,2007,R
465,465.,Aurelio Rodriguez (22),.9649,1970,R
466,465.,Ryan Zimmerman (21),.9649,2006,R
467,468.,Jimmy Brown (31),.9648,1941,R
468,469.,Adrian Beltre (32),.9647,2011,R
469,469.,Matt Duffy (24),.9647,2015,R
470,469.,Gary Gaetti (32),.9647,1991,R
471,469.,Graig Nettles (31),.9647,1976,R
472,473.,Jim Davenport (27),.9646,1961,R
473,473.,Terry Pendleton (24),.9646,1985,R
474,473.,Don Wert (25),.9646,1964,R
475,473.,Eddie Yost (26),.9646,1953,R
476,477.,Joe Foy (26),.9645,1969,R
477,477.,Whitey Kurowski (27),.9645,1945,R
478,477.,Jose Ramirez (25),.9645,2018,R
479,477.,Aaron Ward (23),.9645,1920,R
480,481.,Sal Bando (24),.9644,1968,R
481,481.,Frank Malzone (33),.9644,1963,R
482,481.,Graig Nettles (30),.9644,1975,R
483,481.,Ian Stewart (25),.9644,2010,R
484,481.,Ossie Vitt (25),.9644,1915,R
485,486.,Steve Buechele (25),.9643,1987,R
486,486.,Red Rolfe (26),.9643,1935,R
487,488.,Jeff King (28),.9642,1993,R
488,488.,Al Rosen (29),.9642,1953,R
489,488.,Ossie Vitt (26),.9642,1916,R
490,491.,Ron Cey (29),.9641,1977,R
491,491.,Ed Charles (29),.9641,1962,R
492,491.,Don Hoak (30),.9641,1958,R
493,491.,Eddie Mathews+ (25),.9641,1957,R
494,491.,Eddie Yost (31),.9641,1958,R
495,496.,Yoan Moncada (25),.9640,2020,R
496,496.,Kyle Seager (25),.9640,2013,R
497,498.,Corey Koskie (28),.9639,2001,R
498,498.,Joe Sewell+ (34),.9639,1933,R
499,498.,Bill Stein (30),.9639,1977,R
