,Rank,Player (age that year),Fielding % as 3B,Year,Throws
0,1.,Gio Urshela (28),.9917,2020,R
1,2.,Tony Fernandez (32),.9910,1994,R
2,3.,Kevin Kouzmanoff (27),.9904,2009,R
3,4.,Placido Polanco (37),.9903,2013,R
4,5.,Don Money (27),.9894,1974,R
5,6.,Hank Majeski (30),.9883,1947,R
6,7.,Eric Chavez (28),.9872,2006,R
7,8.,Aurelio Rodriguez (30),.9871,1978,R
8,9.,Mike Lowell (32),.9870,2006,R
9,10.,Manny Machado (27),.9868,2020,R
10,11.,Vinny Castilla (36),.9865,2004,R
11,12.,Placido Polanco (34),.9858,2010,R
12,13.,Scott Rolen (34),.9848,2009,R
13,14.,Evan Longoria (34),.9843,2020,R
14,15.,Willie Kamm (33),.9842,1933,R
15,16.,Steve Buechele (29),.9833,1991,R
16,16.,Eduardo Escobar (29),.9833,2018,R
17,18.,Gary Gaetti (39),.9832,1998,R
18,18.,Juan Uribe (34),.9832,2013,R
19,20.,Heinie Groh (34),.9831,1924,R
20,20.,George Kell+ (23),.9831,1946,R
21,20.,Mike Lowell (31),.9831,2005,R
22,23.,Carney Lansford (22),.9827,1979,R
23,24.,Gary Gaetti (35),.9824,1994,R
24,24.,George Kell+ (27),.9824,1950,R
25,26.,Mike Lowell (30),.9823,2004,R
26,27.,Vinny Castilla (34),.9822,2002,R
27,27.,Jeff Cirillo (31),.9822,2001,R
28,29.,Troy Glaus (31),.9818,2008,R
29,30.,Nolan Arenado (29),.9816,2020,R
30,30.,Pinky Whitney (32),.9816,1937,R
31,32.,Wade Boggs+ (37),.9813,1995,R
32,33.,Anthony Rendon (28),.9810,2018,R
33,33.,Kyle Seager (26),.9810,2014,R
34,35.,Matt Chapman (26),.9807,2019,R
35,36.,Buddy Bell (28),.9806,1980,R
36,37.,Brooks Robinson+ (30),.9805,1967,R
37,38.,Nolan Arenado (28),.9803,2019,R
38,38.,Mike Schmidt+ (36),.9803,1986,R
39,40.,Carney Lansford (30),.9802,1987,R
40,41.,Robin Ventura (31),.9801,1999,R
41,42.,Jimmy Dykes (35),.9800,1932,R
42,42.,Ken Reitz (26),.9800,1977,R
43,44.,Joe Randa (33),.9798,2003,R
44,45.,Buddy Bell (35),.9795,1987,R
45,46.,Alex Bregman (26),.9794,2020,R
46,46.,Carney Lansford (31),.9794,1988,R
47,48.,Ken Reitz (29),.9793,1980,R
48,49.,Brooks Robinson+ (38),.9791,1975,R
49,50.,Anthony Rendon (27),.9790,2017,R
50,51.,Ken Oberkfell (31),.9789,1987,R
51,52.,Nolan Arenado (26),.9787,2017,R
52,52.,Travis Fryman (27),.9787,1996,R
53,52.,Manny Machado (23),.9787,2016,R
54,55.,Cal Ripken Jr.+ (37),.9786,1998,R
55,55.,Brooks Robinson+ (25),.9786,1962,R
56,57.,Willie Kamm (26),.9785,1926,R
57,57.,Casey McGehee (31),.9785,2014,R
58,57.,Don Money (25),.9785,1972,R
59,57.,Jose Ramirez (23),.9785,2016,R
60,61.,Joe Crede (28),.9784,2006,R
61,61.,Placido Polanco (26),.9784,2002,R
62,63.,Gary Gaetti (38),.9783,1997,R
63,64.,Jim Davenport (25),.9781,1959,R
64,64.,Willie Kamm (29),.9781,1929,R
65,64.,Willie Kamm (34),.9781,1934,R
66,67.,Travis Fryman (31),.9780,2000,R
67,67.,Aurelio Rodriguez (28),.9780,1976,R
68,69.,Adrian Beltre (25),.9779,2004,R
69,69.,Chris Johnson (29),.9779,2014,R
70,71.,Don Gutteridge (25),.9778,1937,R
71,72.,Travis Fryman (28),.9777,1997,R
72,72.,George Kell+ (33),.9777,1956,R
73,74.,Eduardo Escobar (30),.9776,2019,R
74,74.,Eric Hinske (26),.9776,2004,R
75,74.,Martin Prado (29),.9776,2013,R
76,74.,Don Wert (28),.9776,1967,R
77,78.,Willie Kamm (28),.9775,1928,R
78,78.,Eric Soderholm (28),.9775,1977,R
79,80.,Ron Cey (31),.9773,1979,R
80,81.,Brandon Inge (33),.9772,2010,R
81,81.,Ken Reitz (30),.9772,1981,R
82,83.,Scott Rolen (35),.9771,2010,R
83,84.,Matt Williams (33),.9769,1999,R
84,85.,Placido Polanco (35),.9768,2011,R
85,86.,Gary Gaetti (29),.9767,1988,R
86,86.,Aramis Ramirez (34),.9767,2012,R
87,86.,Brooks Robinson+ (35),.9767,1972,R
88,89.,Floyd Baker (32),.9766,1949,R
89,89.,Bubba Phillips (34),.9766,1962,R
90,89.,Scott Rolen (29),.9766,2004,R
91,92.,Chase Headley (28),.9765,2012,R
92,92.,Brooks Robinson+ (23),.9765,1960,R
93,94.,George Kell+ (32),.9764,1955,R
94,94.,Martin Prado (31),.9764,2015,R
95,94.,Anthony Rendon (26),.9764,2016,R
96,97.,Eugenio Suarez (25),.9763,2017,R
97,97.,Don Wert (26),.9763,1965,R
98,99.,Rico Petrocelli (28),.9762,1971,R
99,99.,Brooks Robinson+ (32),.9762,1969,R
100,101.,Evan Longoria (29),.9761,2015,R
101,101.,Mike Lowell (27),.9761,2001,R
102,101.,Ken McMullen (27),.9761,1969,R
103,104.,Joe Randa (28),.9760,1998,R
104,104.,Brooks Robinson+ (29),.9760,1966,R
105,104.,Alex Rodriguez (34),.9760,2010,R
106,107.,Edgardo Alfonzo (24),.9759,1998,R
107,107.,Buddy Bell (30),.9759,1982,R
108,107.,Adrian Beltre (37),.9759,2016,R
109,110.,Grady Hatton (32),.9758,1955,R
110,110.,Chipper Jones+ (39),.9758,2011,R
111,110.,Ken Oberkfell (30),.9758,1986,R
112,110.,Anthony Rendon (30),.9758,2020,R
113,110.,Brooks Robinson+ (26),.9758,1963,R
114,115.,Dave Chalk (24),.9757,1975,R
115,116.,Jeff Cirillo (28),.9756,1998,R
116,116.,Billy Johnson (32),.9756,1951,R
117,116.,Eddie Mayo (33),.9756,1943,R
118,119.,Larry Gardner (34),.9755,1920,R
119,120.,Brook Jacoby (28),.9754,1988,R
120,120.,Evan Longoria (30),.9754,2016,R
121,122.,Buddy Bell (34),.9753,1986,R
122,122.,Akinori Iwamura (28),.9753,2007,R
123,122.,Graig Nettles (33),.9753,1978,R
124,125.,Grady Hatton (26),.9752,1949,R
125,125.,Rance Mulliniks (30),.9752,1986,R
126,127.,Doug DeCinces (27),.9751,1978,R
127,127.,Hank Majeski (31),.9751,1948,R
128,129.,Stan Hack (35),.9750,1945,R
129,129.,Willie Jones (27),.9750,1953,R
130,131.,Steve Buechele (31),.9749,1993,R
131,131.,Heinie Groh (33),.9749,1923,R
132,131.,Chase Headley (30),.9749,2014,R
133,134.,John Castino (26),.9748,1981,R
134,134.,George Kell+ (26),.9748,1949,R
135,136.,Leo Gomez (28),.9747,1994,R
136,136.,Kyle Seager (32),.9747,2020,R
137,138.,Joe Sewell+ (30),.9746,1929,R
138,138.,Travis Shaw (27),.9746,2017,R
139,140.,Steve Buechele (32),.9745,1994,R
140,141.,Adrian Beltre (33),.9744,2012,R
141,141.,Bill Mueller (29),.9744,2000,R
142,141.,Joe Sewell+ (33),.9744,1932,R
143,144.,Joe Dugan (26),.9743,1923,R
144,144.,Jack Howell (27),.9743,1989,R
145,144.,Johnny Pesky (31),.9743,1950,R
146,147.,Graig Nettles (32),.9742,1977,R
147,148.,Wade Boggs+ (38),.9741,1996,R
148,149.,David Wright (29),.9740,2012,R
149,150.,Ken Keltner (22),.9738,1939,R
150,150.,Ken Reitz (23),.9738,1974,R
151,150.,Robin Ventura (28),.9738,1996,R
152,153.,Pedro Feliz (33),.9737,2008,R
153,153.,Ken Reitz (22),.9737,1973,R
154,155.,Kevin Kouzmanoff (26),.9736,2008,R
155,155.,Hans Lobert (31),.9736,1913,R
156,157.,Nolan Arenado (25),.9735,2016,R
157,157.,Chase Headley (32),.9735,2016,R
158,159.,Jeff Cirillo (32),.9734,2002,R
159,160.,Nolan Arenado (22),.9732,2013,R
160,160.,Hank Blalock (24),.9732,2005,R
