,Rank,Player (age that year),Assists as C,Year,Throws
100,101.,Bill Holbert (29),142,1884,R
101,101.,Doc Marshall (31),142,1907,R
102,101.,Pop Snyder (24),142,1879,R
103,104.,Duke Farrell (27),141,1894,R
104,104.,Otto Miller (23),141,1912,R
105,106.,Roger Bresnahan+ (29),140,1908,R
106,106.,Duke Farrell (26),140,1893,R
107,106.,Johnny Kling (35),140,1911,R
108,106.,Connie Mack+ (27),140,1890,R
109,106.,Tom Needham (25),140,1904,R
110,111.,Admiral Schlei (28),139,1906,R
111,111.,Jack Warner (25),139,1898,R
112,113.,Jimmy Archer (30),138,1913,R
113,113.,Paul Cook (26),138,1889,R
114,113.,Bill Holbert (28),138,1883,R
115,113.,Bill Killefer (29),138,1917,R
116,113.,Larry McLean (29),138,1911,R
117,113.,Ray Schalk+ (27),138,1920,R
118,119.,Bill Bergen (24),137,1902,R
119,119.,Bill Bergen (30),137,1908,R
120,119.,Eddie Fusselback (27),137,1884,
121,119.,Ed McFarland (26),137,1900,R
122,119.,Cy Perkins (25),137,1921,R
123,119.,Doc Powers (30),137,1901,R
124,119.,Wilbert Robinson+ (23),137,1887,R
125,126.,Frank Bowerman (31),136,1900,R
126,126.,George Gibson (27),136,1908,R
127,126.,Mike González (25),136,1916,R
128,126.,Malachi Kittridge (31),136,1901,R
129,126.,Johnny Kling (29),136,1905,R
130,126.,Ed McFarland (24),136,1898,R
131,126.,Jack Warner (33),136,1906,R
132,133.,Johnny Kling (28),135,1904,R
133,133.,Jack O'Neill (30),135,1903,R
134,133.,Pop Snyder (29),135,1884,R
135,136.,Doc Bushong (29),134,1886,R
136,136.,Bill Carrigan (26),134,1910,R
137,136.,George Gibson (34),134,1915,R
138,136.,Bill Killefer (24),134,1912,R
139,136.,Tom Needham (26),134,1905,R
140,136.,Steve O'Neill (22),134,1914,R
141,136.,Cy Perkins (23),134,1919,R
142,136.,Billy Sullivan (31),134,1906,R
143,144.,Johnny Bassler (28),133,1923,R
144,144.,Frank Snyder (23),133,1917,R
145,146.,Tommy Clarke (26),132,1914,R
146,146.,Ted Easterly (30),132,1915,R
147,146.,Duke Farrell (23),132,1890,R
148,146.,Peaches Graham (33),132,1910,R
149,146.,Boss Schmidt (26),132,1907,R
150,146.,Mike Simon (31),132,1914,R
151,146.,Ivey Wingo (22),132,1913,R
152,153.,Eddie Ainsmith (28),131,1918,R
153,153.,Tommy Clarke (25),131,1913,R
154,153.,Red Dooin (31),131,1910,R
155,153.,Wally Schang (29),131,1919,R
156,153.,Chief Zimmer (28),131,1889,R
157,158.,Frank Bowerman (30),130,1899,R
158,158.,Deacon McGuire (27),130,1891,R
159,158.,Les Nunamaker (25),130,1914,R
160,158.,Cy Perkins (26),130,1922,R
161,158.,Ray Schalk+ (26),130,1919,R
162,158.,Frank Snyder (20),130,1914,R
163,158.,Pop Snyder (33),130,1888,R
164,158.,Billy Sullivan (29),130,1904,R
165,166.,Deacon McGuire (35),129,1899,R
166,166.,Ray Schalk+ (28),129,1921,R
167,168.,Steve O'Neill (28),128,1920,R
168,169.,Bill Bergen (27),127,1905,R
169,169.,Bill Carrigan (29),127,1913,R
170,169.,Buck Ewing+ (24),127,1884,R
171,169.,John Henry (23),127,1913,R
172,169.,Jack O'Connor (23),127,1889,R
173,169.,Admiral Schlei (31),127,1909,R
174,169.,Jack Warner (24),127,1897,R
175,176.,Jack Boyle (26),126,1892,R
176,176.,George Gibson (33),126,1914,R
177,176.,Emil Gross (22),126,1880,R
178,176.,Bill Killefer (27),126,1915,R
179,176.,Johnny Kling (30),126,1906,R
180,181.,Roger Bresnahan+ (27),125,1906,R
181,181.,George Gibson (26),125,1907,R
182,181.,Mike Heydon (30),125,1905,R
183,181.,Ed McFarland (25),125,1899,R
184,181.,Steve O'Neill (27),125,1919,R
185,181.,Heinie Peitz (29),125,1900,R
186,187.,Jimmy Archer (28),124,1911,R
187,187.,Jimmy Archer (32),124,1915,R
188,187.,Doc Bushong (24),124,1881,R
189,187.,Mike González (27),124,1918,R
190,187.,John Henry (26),124,1916,R
191,187.,Bill Holbert (27),124,1882,R
192,187.,Bill Killefer (22),124,1910,R
193,187.,Bill Killefer (31),124,1919,R
194,187.,Larry McLean (30),124,1912,R
195,187.,Ivey Wingo (24),124,1915,R
196,197.,Jack Boyle (22),123,1888,R
197,197.,Dick Buckley (33),123,1892,R
198,197.,Red Dooin (28),123,1907,R
199,197.,Wickey McAvoy (23),123,1918,R
200,197.,Admiral Schlei (26),123,1904,R
201,197.,Hank Severeid (31),123,1922,R
202,197.,Zack Taylor (27),123,1926,R
203,197.,Jack Warner (26),123,1899,R
204,197.,Jack Warner (30),123,1903,R
205,206.,Doc Bushong (28),122,1885,R
206,206.,Boileryard Clarke (32),122,1901,R
207,206.,John Henry (25),122,1915,R
208,206.,Chief Zimmer (31),122,1892,R
209,210.,Bill Bergen (33),121,1911,R
210,210.,John Clapp (28),121,1880,R
211,212.,Harry Bemis (28),120,1902,R
212,212.,Lou Criger (36),120,1908,R
213,212.,Pat Deasley (26),120,1884,R
214,212.,Deacon McGuire (40),120,1904,R
215,212.,Walter Schmidt (34),120,1921,R
216,217.,Nig Clarke (24),119,1907,R
217,217.,Duke Farrell (22),119,1889,R
218,217.,William Fischer (25),119,1916,R
219,217.,Connie Mack+ (24),119,1887,R
220,217.,Larry McLean (27),119,1909,R
221,217.,Steve O'Neill (21),119,1913,R
222,217.,Luke Sewell (26),119,1927,R
223,217.,Billy Sullivan (34),119,1909,R
224,225.,Malachi Kittridge (33),118,1903,R
225,225.,Johnny Kling (34),118,1910,R
226,225.,Morgan Murphy (24),118,1891,R
227,225.,Bob O'Farrell (26),118,1923,R
228,225.,Zack Taylor (24),118,1923,R
229,230.,Bill Bergen (23),117,1901,R
230,230.,Lew Brown (26),117,1884,R
231,230.,Lou Criger (30),117,1902,R
232,230.,Red Dooin (23),117,1902,R
233,230.,Silver Flint (24),117,1880,R
234,230.,George Gibson (30),117,1911,R
235,230.,Malachi Kittridge (29),117,1899,R
236,230.,Ed McFarland (22),117,1896,R
237,230.,Bob O'Farrell (29),117,1926,R
238,230.,Mickey O'Neil (23),117,1921,R
239,230.,Charlie Reipschlager (29),117,1885,R
240,230.,Hank Severeid (30),117,1921,R
241,230.,Luke Sewell (27),117,1928,R
242,230.,Billy Sullivan (32),117,1907,R
243,244.,Duke Farrell (32),116,1899,R
244,244.,Red Kleinow (30),116,1908,R
245,244.,Steve O'Neill (30),116,1922,R
246,244.,Bill Wilson (29),116,1897,R
247,248.,King Kelly+ (33),115,1891,R
248,248.,Bill Krieg (25),115,1884,R
249,248.,Jack Lapp (30),115,1915,R
250,248.,John Munyan (29),115,1890,
251,248.,Ossee Schrecongost (30),115,1905,R
252,248.,Frank Snyder (22),115,1916,R
253,248.,Sy Sutcliffe (28),115,1890,L
254,248.,Jack Warner (31),115,1904,R
255,248.,Ivey Wingo (29),115,1920,R
256,257.,Jack Boyle (21),114,1887,R
257,257.,Roger Bresnahan+ (26),114,1905,R
258,257.,Fred Carisch (31),114,1913,R
259,257.,Tex Erwin (24),114,1910,R
260,257.,Gabby Hartnett+ (24),114,1925,R
261,257.,Jim Keenan (32),114,1888,R
262,257.,Grover Land (30),114,1915,R
263,257.,Deacon McGuire (30),114,1894,R
264,257.,Pat Moran (28),114,1904,R
265,257.,Tom Needham (27),114,1906,R
266,257.,Wilbert Robinson+ (26),114,1890,R
267,257.,Ray Schalk+ (25),114,1918,R
268,257.,Billy Sullivan (36),114,1911,R
269,270.,George Baker (26),113,1884,
270,270.,Johnny Bassler (26),113,1921,R
271,270.,Johnny Bassler (27),113,1922,R
272,270.,Chris Fulmer (27),113,1886,R
273,270.,Butch Henline (27),113,1922,R
274,270.,John Henry (22),113,1912,R
275,270.,Malachi Kittridge (20),113,1890,R
276,270.,Malachi Kittridge (35),113,1905,R
277,270.,Pat Moran (29),113,1905,R
278,270.,Les Nunamaker (28),113,1917,R
279,270.,Frank Snyder (25),113,1919,R
280,281.,Fatty Briody (25),112,1884,R
281,281.,Lou Criger (32),112,1904,R
282,281.,John Grim (25),112,1893,R
283,281.,Paddy O'Connor (35),112,1915,R
284,281.,Muddy Ruel (28),112,1924,R
285,281.,Joe Sugden (34),112,1905,R
286,281.,Ira Thomas (28),112,1909,R
287,288.,Nig Clarke (28),111,1911,R
288,288.,Verne Clemons (28),111,1920,R
289,288.,Red Dooin (27),111,1906,R
290,288.,Peaches Graham (32),111,1909,R
291,288.,Truck Hannah (29),111,1918,R
292,288.,Billy Maloney (23),111,1901,R
293,288.,Chief Meyers (31),111,1912,R
294,288.,Bill Rariden (25),111,1913,R
295,288.,Admiral Schlei (29),111,1907,R
296,288.,Hank Severeid (29),111,1920,R
297,288.,Oscar Stanage (32),111,1915,R
298,288.,Ivey Wingo (27),111,1918,R
299,288.,Chief Zimmer (27),111,1888,R
300,301.,Bill Carrigan (25),110,1909,R
301,301.,Ted Easterly (24),110,1909,R
302,301.,Silver Flint (28),110,1884,R
303,301.,Patsy Gharrity (29),110,1921,R
304,301.,Bill Killefer (30),110,1918,R
305,301.,Jack Lapp (28),110,1913,R
306,301.,Larry McLean (25),110,1907,R
307,301.,Doc Powers (31),110,1902,R
308,301.,Bill Rariden (23),110,1911,R
309,301.,Walter Schmidt (32),110,1919,R
310,301.,Ossee Schrecongost (31),110,1906,R
311,301.,Oscar Stanage (33),110,1916,R
312,301.,Jim Stephens (28),110,1912,R
313,314.,Marty Bergen (26),109,1898,R
314,314.,Lou Criger (29),109,1901,R
315,314.,Lou Criger (35),109,1907,R
316,314.,Silver Flint (23),109,1879,R
317,314.,Johnny Kling (31),109,1907,R
318,314.,Charlie Reipschlager (28),109,1884,R
319,314.,Wilbert Robinson+ (22),109,1886,R
320,314.,Walter Schmidt (33),109,1920,R
321,314.,Tubby Spencer (24),109,1908,R
322,314.,Pop Tate (26),109,1887,R
323,314.,Ed Whiting (22),109,1882,L
324,325.,Jack Boyle (23),108,1889,R
325,325.,Gary Carter+ (26),108,1980,R
326,325.,Nig Clarke (25),108,1908,R
327,325.,Jack Clements (26),108,1891,L
328,325.,Jim Donahue (29),108,1891,R
329,325.,Barney Gilligan (27),108,1883,R
330,325.,Johnny Kling (36),108,1912,R
331,325.,Chief Meyers (30),108,1911,R
332,325.,Les Nunamaker (29),108,1918,R
333,325.,Mickey O'Neil (26),108,1924,R
334,325.,Steve O'Neill (20),108,1912,R
335,325.,Ossee Schrecongost (27),108,1902,R
336,325.,Joe Sugden (28),108,1899,R
337,338.,Eddie Ainsmith (29),107,1919,R
338,338.,Kid Baldwin (23),107,1888,R
339,338.,Gary Carter+ (29),107,1983,R
