,Rank,Player (age that year),Putouts as 2B,Year,Throws
0,1.,Bid McPhee+ (26),529,1886,R
1,2.,Bobby Grich (25),484,1974,R
2,3.,Bucky Harris+ (25),483,1922,R
3,4.,Nellie Fox+ (28),478,1956,R
4,5.,Lou Bierbauer (23),472,1889,R
5,6.,Billy Herman+ (23),466,1933,R
6,7.,Bill Wambsganss (30),463,1924,R
7,8.,Cub Stricker (28),461,1887,R
8,9.,Buddy Myer (31),460,1935,R
9,10.,Bill Sweeney (26),459,1912,R
10,11.,Billy Herman+ (26),457,1936,R
11,12.,George Cutshaw (27),455,1914,R
12,13.,Nellie Fox+ (29),453,1957,R
13,14.,Fred Pfeffer (29),452,1889,R
14,15.,Nellie Fox+ (25),451,1953,R
15,15.,Bid McPhee+ (32),451,1892,R
16,17.,Nap Lajoie+ (33),450,1908,R
17,17.,Emil Verban (31),450,1947,R
18,19.,Eddie Collins+ (33),449,1920,R
19,20.,Nellie Fox+ (30),444,1958,R
20,21.,Bobby Doerr+ (32),443,1950,R
21,22.,Nap Lajoie+ (23),442,1898,R
22,22.,Bid McPhee+ (27),442,1887,R
23,22.,Burgess Whitehead (26),442,1936,R
24,25.,Fred Pfeffer (30),441,1890,R
25,25.,Joe Quinn (27),441,1890,R
26,25.,Rennie Stennett (23),441,1974,R
27,28.,Marty McManus (25),440,1925,R
28,28.,Jerry Priddy (30),440,1950,R
29,30.,Del Pratt (28),438,1916,R
30,31.,Duke Kenworthy (27),437,1914,R
31,31.,Jerry Priddy (31),437,1951,R
32,33.,Jimmy Dykes (24),434,1921,R
33,33.,Cub Stricker (30),434,1889,R
34,35.,Snuffy Stirnweiss (25),433,1944,R
35,36.,Gene Baker (30),432,1955,R
36,36.,Snuffy Stirnweiss (26),432,1945,R
37,38.,Bobby Grich (24),431,1973,R
38,39.,Rennie Stennett (25),430,1976,R
39,40.,Bid McPhee+ (29),429,1889,R
40,40.,Fred Pfeffer (31),429,1891,R
41,40.,Eddie Stanky (29),429,1945,R
42,43.,Ski Melillo (31),428,1931,R
43,43.,Johnny Temple (26),428,1954,R
44,45.,Bill Mazeroski+ (25),425,1962,R
45,46.,Hobe Ferris (32),424,1907,R
46,46.,Fresco Thompson (25),424,1927,R
47,48.,Bobby Grich (26),423,1975,R
48,48.,Bill McClellan (30),423,1886,L
49,50.,Irv Hall (26),422,1945,R
50,50.,Billy Moran (28),422,1962,R
51,50.,Jim Morrison (27),422,1980,R
52,53.,Roy Hughes (25),421,1936,R
53,53.,Fred Pfeffer (28),421,1888,R
54,55.,Bobby Doerr+ (28),420,1946,R
55,56.,Bucky Harris+ (26),418,1923,R
56,57.,Bucky Harris+ (24),417,1921,R
57,57.,Bill Mazeroski+ (30),417,1967,R
58,57.,Joe Morgan+ (29),417,1973,R
59,57.,Del Pratt (27),417,1915,R
60,61.,Billy Herman+ (25),416,1935,R
61,62.,Bobby Doerr+ (25),415,1943,R
62,62.,Bid McPhee+ (24),415,1884,R
63,64.,Bill Wambsganss (26),414,1920,R
64,65.,Nellie Fox+ (23),413,1951,R
65,65.,Nellie Fox+ (33),413,1961,R
66,65.,Bill Mazeroski+ (23),413,1960,R
67,65.,Bobby Richardson (25),413,1961,R
68,69.,Nellie Fox+ (32),412,1960,R
69,69.,Ski Melillo (34),412,1934,R
70,71.,Bill Mazeroski+ (29),411,1966,R
71,72.,Freddie Maguire (29),410,1928,R
72,72.,Bill Mazeroski+ (24),410,1961,R
73,72.,Felix Millan (29),410,1973,R
74,75.,Joe Gerhardt (35),409,1890,R
75,75.,Cass Michaels (24),409,1950,R
76,75.,Fresco Thompson (26),409,1928,R
77,78.,Odell Hale (25),408,1934,R
78,78.,Dave Shean (26),408,1910,R
79,78.,Johnny Temple (27),408,1955,R
80,81.,Dave Cash (28),407,1976,R
81,81.,Jim Gilliam (28),407,1957,R
82,81.,Joe Gordon+ (28),407,1943,R
83,81.,Jerry Priddy (28),407,1948,R
84,81.,Jerry Priddy (29),407,1949,R
85,81.,Eddie Stanky (34),407,1950,R
86,87.,Eddie Collins+ (35),406,1922,R
87,87.,Nellie Fox+ (24),406,1952,R
88,87.,Pedro Garcia (23),406,1973,R
89,90.,Cub Stricker (32),405,1891,R
90,90.,Ralph Young (31),405,1920,R
91,92.,Charlie Gehringer+ (26),404,1929,R
92,92.,Kid Gleason (32),404,1899,R
93,92.,Billy Herman+ (28),404,1938,R
94,92.,Bid McPhee+ (30),404,1890,R
95,92.,Fernando Vina (29),404,1998,R
96,97.,Johnny Hodapp (24),403,1930,R
97,97.,Jerry Lumpe (28),403,1961,R
98,97.,Germany Schaefer (29),403,1905,R
99,100.,Eddie Collins+ (23),402,1910,R
100,100.,George Cutshaw (26),402,1913,R
101,100.,Bucky Harris+ (28),402,1925,R
102,100.,Rabbit Maranville+ (40),402,1932,R
103,100.,Eddie Stanky (31),402,1947,R
104,105.,Bobby Doerr+ (22),401,1940,R
105,105.,Billy Herman+ (22),401,1932,R
106,105.,Mickey Witek (27),401,1943,R
107,108.,Carlos Baerga (23),400,1992,R
108,108.,Dave Cash (27),400,1975,R
109,108.,Nellie Fox+ (26),400,1954,R
110,108.,Bobby Richardson (28),400,1964,R
111,112.,Jack Crooks (25),399,1891,R
112,112.,Nellie Fox+ (27),399,1955,R
113,112.,Lonny Frey (32),399,1943,R
114,112.,Charlie Gehringer+ (27),399,1930,R
115,112.,Red Schoendienst+ (26),399,1949,R
116,112.,Red Schoendienst+ (29),399,1952,R
117,118.,Hughie Critz (29),398,1930,R
118,118.,Rogers Hornsby+ (26),398,1922,R
119,118.,Marty McManus (22),398,1922,R
120,118.,Emil Verban (29),398,1945,R
121,122.,George Cutshaw (28),397,1915,R
122,122.,Charlie Gehringer+ (33),397,1936,R
123,122.,Bobby Lowe (32),397,1898,R
124,122.,Chuck Schilling (23),397,1961,R
125,122.,Bobby Young (28),397,1953,R
126,127.,Dave Cash (26),396,1974,R
127,127.,Eddie Collins+ (37),396,1924,R
128,127.,Frankie Frisch+ (29),396,1927,R
129,127.,Charlie Gehringer+ (29),396,1932,R
130,127.,Bid McPhee+ (33),396,1893,R
131,132.,Jerry Adair (27),395,1964,R
132,132.,Jerry Adair (28),395,1965,R
133,132.,Bobby Doerr+ (31),395,1949,R
134,132.,Tommy Helms (30),395,1971,R
135,132.,Nap Lajoie+ (26),395,1901,R
136,132.,Fred Pfeffer (24),395,1884,R
137,132.,Jackie Robinson+ (30),395,1949,R
138,132.,Johnny Temple (30),395,1958,R
139,132.,Fresco Thompson (27),395,1929,R
140,132.,Frank White (29),395,1980,R
141,142.,Frank Bolling (25),394,1957,R
142,142.,Red Schoendienst+ (31),394,1954,R
143,142.,Burgess Whitehead (27),394,1937,R
144,145.,Billy Gardner (29),393,1957,R
145,145.,Charlie Gehringer+ (35),393,1938,R
146,145.,Bucky Harris+ (27),393,1924,R
147,145.,Ski Melillo (32),393,1932,R
148,145.,Fred Pfeffer (27),393,1887,R
149,145.,Connie Ryan (27),393,1947,R
150,145.,Red Schoendienst+ (27),393,1950,R
151,152.,Hughie Critz (31),392,1932,R
152,152.,Bid McPhee+ (34),392,1894,R
153,152.,Cass Michaels (23),392,1949,R
154,155.,Frankie Frisch+ (26),391,1924,R
155,155.,Johnny Temple (29),391,1957,R
156,155.,Alan Wiggins (26),391,1984,R
