,Rank,Player (age that year),Errors Committed as P,Year,Throws
123,119.,Denny Driscoll (27),14,1883,L
124,119.,Frank Foreman (26),14,1889,R
125,119.,Dave Foutz (28),14,1885,R
126,119.,Henry Gruber (26),14,1890,R
127,119.,Egyptian Healy (23),14,1890,R
128,119.,Hardie Henderson (22),14,1885,R
129,119.,Bill Hutchison (30),14,1890,R
130,119.,Frank Killen (22),14,1893,L
131,119.,Doc Landis (27),14,1882,
132,119.,Vive Lindaman (28),14,1906,R
133,119.,Jim McCormick (26),14,1883,R
134,119.,Mike McDermott (20),14,1895,R
135,119.,Bobby Mitchell (23),14,1879,L
136,119.,Toad Ramsey (24),14,1889,L
137,119.,Lee Richmond (25),14,1882,L
138,119.,Amos Rusie+ (20),14,1891,R
139,119.,Amos Rusie+ (23),14,1894,R
140,119.,Allan Sothoron (27),14,1920,R
141,119.,Lee Viau (24),14,1891,R
142,119.,Mickey Welch+ (25),14,1885,R
143,144.,Jersey Bakley (27),13,1891,R
144,144.,Mark Baldwin (25),13,1889,R
145,144.,Mark Baldwin (27),13,1891,R
146,144.,Charlie Buffinton (22),13,1883,R
147,144.,Charlie Buffinton (24),13,1885,R
148,144.,Kid Carsey (19),13,1892,R
149,144.,John Clarkson+ (29),13,1891,R
150,144.,Larry Corcoran (23),13,1883,R
151,144.,Bert Cunningham (32),13,1898,R
152,144.,Dory Dean (23),13,1876,R
153,144.,Pud Galvin+ (23),13,1880,R
154,144.,Ad Gumbert (22),13,1890,R
155,144.,Noodles Hahn (20),13,1899,L
156,144.,Pink Hawley (22),13,1895,R
157,144.,Bill Hill (21),13,1896,L
158,144.,Bill Hutchison (29),13,1889,R
159,144.,Bill Hutchison (31),13,1891,R
160,144.,Bill Hutchison (32),13,1892,R
161,144.,Tim Keefe+ (28),13,1885,R
162,144.,Tim Keefe+ (35),13,1892,R
163,144.,Frank Killen (26),13,1897,L
164,144.,Phil Knell (29),13,1894,L
165,144.,Kid Madden (19),13,1887,L
166,144.,Jim McCormick (24),13,1881,R
167,144.,Jim McCormick (25),13,1882,R
168,144.,Joe McGinnity+ (33),13,1904,R
169,144.,Joe McGinnity+ (35),13,1906,R
170,144.,Tony Mullane (29),13,1888,R
171,144.,George Mullin (23),13,1904,R
172,144.,Jack Nabors (28),13,1916,R
173,144.,Kid Nichols+ (20),13,1890,R
174,144.,Orval Overall (24),13,1905,R
175,144.,Wiley Piatt (27),13,1902,L
176,144.,Ed Scott (29),13,1900,R
177,144.,Mike Smith (19),13,1887,L
178,144.,Allan Sothoron (26),13,1919,R
179,144.,Jack Stivetts (22),13,1890,R
180,144.,Charlie Sweeney (22),13,1885,R
181,144.,Hippo Vaughn (26),13,1914,L
182,144.,Jim Whitney (24),13,1882,R
183,144.,Stump Weidman (26),13,1887,R
184,185.,Norm Baker (22),12,1885,
185,185.,George Bradley (23),12,1876,R
186,185.,Jimmy Callahan (25),12,1899,R
187,185.,Bill Carrick (25),12,1899,R
188,185.,Kid Carsey (18),12,1891,R
189,185.,Kid Carsey (22),12,1895,R
190,185.,Bob Caruthers (26),12,1890,R
191,185.,Jack Chesbro+ (30),12,1904,R
192,185.,Pete Conway (19),12,1886,R
193,185.,Jack Cronin (27),12,1901,R
194,185.,Ed Daily (22),12,1885,R
195,185.,Pete Dowling (21),12,1898,L
196,185.,Red Ehret (20),12,1889,R
197,185.,Red Ehret (21),12,1890,R
198,185.,Red Ehret (23),12,1892,R
199,185.,Red Ehret (25),12,1894,R
200,185.,Red Ehret (26),12,1895,R
201,185.,Bob Emslie (24),12,1883,R
202,185.,Cherokee Fisher (31),12,1876,R
203,185.,Patsy Flaherty (27),12,1903,L
204,185.,Chick Fraser (23),12,1897,R
205,185.,Kid Gleason (26),12,1893,R
206,185.,Bob Groom (24),12,1909,R
207,185.,George Haddock (24),12,1891,R
208,185.,Pink Hawley (21),12,1894,R
209,185.,Egyptian Healy (20),12,1887,R
210,185.,Bill Hill (22),12,1897,L
211,185.,Jim Hughey (30),12,1899,R
212,185.,Bert Husting (24),12,1902,R
213,185.,Chief Johnson (29),12,1915,R
214,185.,Silver King (20),12,1888,R
215,185.,Gus Krock (22),12,1888,R
216,185.,Tom Lovett (21),12,1885,R
217,185.,Bobby Mathews (31),12,1883,R
218,185.,Joe McGinnity+ (29),12,1900,R
219,185.,Stoney McGlynn (35),12,1907,R
220,185.,Sadie McMahon (24),12,1892,R
221,185.,Win Mercer (21),12,1895,R
222,185.,Casey Patten (33),12,1907,L
223,185.,Barney Pelty (25),12,1906,R
224,185.,Togie Pittinger (32),12,1904,R
225,185.,Henry Porter (29),12,1887,R
226,185.,Old Hoss Radbourn+ (31),12,1886,R
227,185.,Mike Smith (20),12,1888,L
228,185.,Jack Stivetts (24),12,1892,R
229,185.,Willie Sudhoff (23),12,1898,R
230,185.,Jack Taylor (21),12,1894,R
231,185.,Adonis Terry (22),12,1887,R
232,185.,John Thornton (22),12,1891,R
233,185.,Rube Waddell+ (30),12,1907,L
234,185.,Mickey Welch+ (27),12,1887,R
235,185.,Gus Weyhing (23),12,1890,R
236,185.,Cy Young+ (29),12,1896,R
237,238.,Bert Abbey (22),11,1892,R
238,238.,Bob Barr (26),11,1883,R
239,238.,Tommy Bond (24),11,1880,R
240,238.,Bill Carrick (26),11,1900,R
241,238.,Bob Caruthers (21),11,1885,R
242,238.,Larry Corcoran (21),11,1881,R
243,238.,Harry Coveleski (29),11,1915,L
244,238.,Pete Dowling (22),11,1899,L
245,238.,Ed Dundon (23),11,1883,R
246,238.,Jesse Duryea (29),11,1889,R
247,238.,Frank Dwyer (23),11,1891,R
248,238.,Red Ehret (24),11,1893,R
249,238.,Pud Galvin+ (30),11,1887,R
250,238.,Pud Galvin+ (32),11,1889,R
251,238.,Ned Garvin (29),11,1903,R
252,238.,Ned Garvin (30),11,1904,R
253,238.,Bill Geiss (23),11,1882,
254,238.,Kid Gleason (24),11,1891,R
255,238.,George Haddock (25),11,1892,R
256,238.,Jay Hughes (24),11,1898,R
257,238.,Jim Hughey (29),11,1898,R
258,238.,Tom Hughes (29),11,1908,R
259,238.,Tim Keefe+ (25),11,1882,R
260,238.,Johnny Lush (20),11,1906,L
261,238.,Jack Lynch (29),11,1886,R
262,238.,John Malarkey (31),11,1903,R
263,238.,Al Maul (24),11,1890,R
264,238.,Al Mays (21),11,1886,R
265,238.,Joe McGinnity+ (31),11,1902,R
266,238.,Jumbo McGinnis (28),11,1882,
267,238.,Jumbo McGinnis (32),11,1886,
268,238.,Sadie McMahon (23),11,1891,R
269,238.,Jouett Meekin (30),11,1897,R
270,238.,Mike Morrison (20),11,1887,R
271,238.,The Only Nolan (22),11,1878,R
272,238.,Bill Phillips (30),11,1899,R
273,238.,Herman Pillette (27),11,1923,R
274,238.,Old Hoss Radbourn+ (27),11,1882,R
275,238.,Amos Rusie+ (24),11,1895,R
276,238.,Amos Rusie+ (27),11,1898,R
277,238.,Harry Salisbury (27),11,1882,
278,238.,Ben Sanders (24),11,1889,R
279,238.,Ed Seward (20),11,1887,R
280,238.,Allan Sothoron (24),11,1917,R
281,238.,Park Swartzel (23),11,1889,R
282,238.,Jack Taylor (23),11,1896,R
283,238.,Adonis Terry (30),11,1895,R
284,238.,Bill Vinton (20),11,1885,R
285,238.,Rube Waddell+ (32),11,1909,L
286,238.,John Ward+ (19),11,1879,R
287,238.,Jack Warhop (25),11,1910,R
288,238.,Will White (27),11,1882,R
289,238.,Jim Whitney (29),11,1887,R
290,238.,Jim Whitney (30),11,1888,R
291,238.,Stump Weidman (21),11,1882,R
292,238.,Stump Weidman (24),11,1885,R
293,238.,Vic Willis+ (22),11,1898,R
294,238.,Joe Yeager (22),11,1898,R
295,238.,Cy Young+ (33),11,1900,R
296,297.,Doc Ayers (23),10,1914,R
297,297.,Joe Benz (26),10,1912,R
298,297.,Joe Benz (28),10,1914,R
299,297.,Joe Boehling (22),10,1913,L
300,297.,Henry Boyle (24),10,1885,R
301,297.,Ice Box Chamberlain (23),10,1891,R
302,297.,Ed Crane (27),10,1889,R
303,297.,Bert Cunningham (29),10,1895,R
304,297.,Jim Devlin (28),10,1877,R
305,297.,Bill Dinneen (23),10,1899,R
306,297.,Ed Doheny (24),10,1898,L
307,297.,Ed Doheny (26),10,1900,L
308,297.,Ed Doheny (29),10,1903,L
309,297.,Gus Dorner (29),10,1906,R
310,297.,Red Faber+ (31),10,1920,R
311,297.,Dave Foutz (30),10,1887,R
312,297.,Chick Fraser (30),10,1904,R
313,297.,Danny Friend (23),10,1896,L
314,297.,Pud Galvin+ (31),10,1888,R
315,297.,Pretzels Getzien (25),10,1889,R
316,297.,Kid Gleason (25),10,1892,R
