,Rank,Player (age that year),On-Base%,Year,Bats
119,119.,Billy Hamilton+ (31),.4612,1897,L
120,121.,Jesse Burkett+ (27),.4611,1896,L
121,122.,Wade Boggs+ (29),.4610,1987,L
122,123.,Barry Bonds (31),.4607,1996,L
123,123.,Jimmie Foxx+ (27),.4607,1935,R
124,125.,Denny Lyons (24),.4606,1890,R
125,126.,Eddie Collins+ (28),.4605,1915,L
126,126.,Paul O'Neill (31),.4605,1994,L
127,128.,Bryce Harper (22),.4602,2015,L
128,129.,Shoeless Joe Jackson (25),.4600,1913,L
129,130.,Eddie Stanky (34),.4597,1950,R
130,131.,Mike Trout (26),.4596,2018,R
131,132.,Jesse Burkett+ (24),.4594,1893,L
132,132.,Rogers Hornsby+ (33),.4594,1929,R
133,134.,John McGraw+ (22),.4592,1895,L
134,134.,Frank Thomas+ (28),.4592,1996,R
135,136.,Mickey Cochrane+ (30),.4591,1933,L
136,137.,Joey Votto (31),.4590,2015,L
137,138.,Pete Browning (29),.4588,1890,R
138,138.,Jack Clark (31),.4588,1987,R
139,140.,Rogers Hornsby+ (26),.4586,1922,R
140,141.,Barry Bonds (28),.4585,1993,L
141,141.,Rogers Hornsby+ (27),.4585,1923,R
142,141.,Mel Ott+ (21),.4585,1930,L
143,144.,Tuck Turner (27),.4584,1894,B
144,144.,Ted Williams+ (39),.4584,1958,L
145,146.,Rogers Hornsby+ (25),.4583,1921,R
146,147.,Larry Walker+ (32),.4581,1999,L
147,148.,Charlie Gehringer+ (34),.4580,1937,L
148,148.,Todd Helton (29),.4580,2003,L
149,150.,Shoeless Joe Jackson (24),.4577,1912,L
150,151.,Cap Anson+ (42),.4574,1894,R
151,152.,Harry Heilmann+ (30),.4571,1925,R
152,153.,Manny Ramirez (28),.4568,2000,R
153,154.,Roy Thomas (25),.4566,1899,L
154,155.,Babe Ruth+ (24),.4564,1919,L
155,156.,Joe Kelley+ (23),.4562,1895,R
156,156.,Bill Lange (24),.4562,1895,R
157,158.,Frank Thomas+ (29),.4561,1997,R
158,159.,Barry Bonds (27),.4559,1992,L
159,159.,Ty Cobb+ (25),.4559,1912,L
160,159.,Joe Sewell+ (24),.4559,1923,L
161,162.,Edgar Martinez+ (34),.4558,1997,R
162,162.,Al Wingo (27),.4558,1925,L
163,164.,Eddie Collins+ (36),.4553,1923,L
164,165.,Ty Cobb+ (23),.4549,1910,L
165,166.,Babe Herman (27),.4547,1930,L
166,167.,George Brett+ (27),.4544,1980,L
167,167.,Hughie Jennings+ (29),.4544,1898,R
168,167.,Frank Thomas+ (27),.4544,1995,R
169,167.,Hack Wilson+ (30),.4544,1930,R
170,171.,Mike Smith (28),.4541,1896,L
171,172.,Jeff Bagwell+ (31),.4540,1999,R
172,172.,Joey Votto (33),.4540,2017,L
173,174.,John McGraw+ (20),.4539,1893,L
174,174.,Buddy Myer (34),.4539,1938,L
175,176.,Dale Alexander (29),.4537,1932,R
176,176.,George Grantham (29),.4537,1929,L
177,178.,Rico Carty (30),.4536,1970,R
178,178.,Tony Gwynn+ (34),.4536,1994,L
179,180.,Roy Thomas (29),.4532,1903,L
180,181.,Joe Cunningham (27),.4531,1959,L
181,182.,Lou Boudreau+ (30),.4530,1948,R
182,182.,Lefty O'Doul (33),.4530,1930,L
183,182.,Arky Vaughan+ (24),.4530,1936,L
184,185.,Frank Thomas+ (23),.4529,1991,R
185,186.,Wade Boggs+ (28),.4528,1986,L
186,186.,Billy Hamilton+ (25),.4528,1891,L
187,188.,Ed Delahanty+ (34),.4527,1902,R
188,189.,Willie McCovey+ (31),.4526,1969,L
189,190.,Ty Cobb+ (34),.4523,1921,L
190,191.,Ralph Kiner+ (28),.4522,1951,R
191,192.,Mickey Cochrane+ (32),.4521,1935,L
