,Rank,Player (age that year),Bases on Balls,Year,Throws
127,126.,John Keefe (22),148,1890,L
128,126.,Nolan Ryan+ (31),148,1978,R
129,126.,Vic Willis+ (22),148,1898,R
130,131.,Jersey Bakley (26),147,1890,R
131,131.,John Ewing (26),147,1889,R
132,131.,Vern Kennedy (29),147,1936,R
133,131.,Orval Overall (24),147,1905,R
134,131.,Phenomenal Smith (23),147,1888,L
135,136.,Bob Lemon+ (29),146,1950,R
136,136.,Bobo Newsom (28),146,1936,R
137,136.,Bill Stoneman (27),146,1971,R
138,136.,Mickey Welch+ (24),146,1884,R
139,140.,Frank Dwyer (23),145,1891,R
140,140.,Sadie McMahon (24),145,1892,R
141,140.,Gus Weyhing (26),145,1893,R
142,143.,Dave Foutz (29),144,1886,R
143,143.,Randy Johnson+ (28),144,1992,L
144,143.,Silver King (23),144,1891,R
145,143.,Al Maul (27),144,1893,R
146,143.,Togie Pittinger (32),144,1904,R
147,143.,Bill Stemmyer (21),144,1886,R
148,149.,Ken Chase (26),143,1940,L
149,149.,George Keefe (22),143,1889,L
150,149.,Togie Pittinger (31),143,1903,R
151,149.,Bobby Witt (22),143,1986,R
152,153.,Mark Baldwin (29),142,1893,R
153,153.,Bob Feller+ (20),142,1939,R
154,153.,Frank Foreman (28),142,1891,R
155,153.,Paul Foytack (25),142,1956,R
156,153.,Matt Kilroy (23),142,1889,L
157,158.,Ed Beatin (22),141,1889,L
158,158.,Bert Cunningham (23),141,1889,R
159,158.,Bump Hadley (28),141,1933,R
160,158.,Bill Hart (30),141,1896,R
161,158.,Tom Lovett (26),141,1890,R
162,158.,Phil Marchildon (33),141,1947,R
163,158.,J.R. Richard (28),141,1978,R
164,165.,Larry Cheney (28),140,1914,R
165,165.,John Clarkson+ (28),140,1890,R
166,165.,George Cobb (26),140,1892,L
167,165.,Bill Hutchison (34),140,1894,R
168,165.,Frank Killen (22),140,1893,L
169,165.,Phil Marchildon (28),140,1942,R
170,165.,Al Mays (21),140,1886,R
171,165.,Jouett Meekin (26),140,1893,R
172,165.,Ed Seward (20),140,1887,R
173,165.,Bobby Witt (23),140,1987,R
174,165.,Cy Young+ (24),140,1891,R
175,176.,George Earnshaw (30),139,1930,R
176,176.,Chick Fraser (23),139,1897,R
177,176.,Danny Friend (23),139,1896,L
178,176.,Johnny Lindell (36),139,1953,R
179,180.,Theodore Breitenstein (27),138,1896,L
180,180.,Billy Crowell (21),138,1887,R
181,180.,Bert Cunningham (25),138,1891,R
182,180.,George Keefe (23),138,1890,L
183,180.,Gene Krapp (24),138,1911,R
184,180.,George Mullin (24),138,1905,R
185,180.,Vic Raschi (30),138,1949,R
186,180.,Allie Reynolds (33),138,1950,R
187,180.,J.R. Richard (25),138,1975,R
188,180.,Lee Viau (24),138,1891,R
189,190.,Sugar Cain (26),137,1933,R
190,190.,Frank Foreman (26),137,1889,R
191,190.,Hal Gregg (22),137,1944,R
192,190.,George Haddock (24),137,1891,R
193,190.,Bob Lemon+ (28),137,1949,R
194,190.,Doc McJames (22),137,1897,R
195,190.,Hal Newhouser+ (20),137,1941,L
196,190.,Billy Pierce (23),137,1950,L
197,190.,Jim Shaw (20),137,1914,R
198,199.,Steve Carlton+ (29),136,1974,L
199,199.,Ed Crane (27),136,1889,R
200,199.,Hank Gastright (26),136,1891,R
201,199.,Al Mamaux (22),136,1916,R
202,199.,Al Mays (22),136,1887,R
203,199.,Tom Seaton (25),136,1913,R
204,199.,Lee Viau (22),136,1889,R
205,206.,Hank Gastright (25),135,1890,R
206,206.,Bill Hart (29),135,1895,R
207,206.,Doc McJames (21),135,1896,R
208,206.,Monte Pearson (27),135,1936,R
209,206.,Steve Renko (26),135,1971,R
210,206.,Herm Wehmeier (23),135,1950,R
211,206.,Bill Wight (26),135,1948,L
212,213.,John Kirby (21),134,1886,R
213,213.,Mel Parnell (27),134,1949,L
214,215.,Bob Harmon (22),133,1910,R
215,215.,George Pechiney (24),133,1886,R
216,215.,Old Hoss Radbourn+ (32),133,1887,R
217,215.,Adonis Terry (25),133,1890,R
218,215.,Mike Torrez (28),133,1975,R
219,220.,John Clarkson+ (30),132,1892,R
220,220.,Chuck Estrada (23),132,1961,R
221,220.,Chick Fraser (27),132,1901,R
222,220.,Kirby Higbe (26),132,1941,R
223,220.,Sam McDowell (22),132,1965,L
224,220.,Nolan Ryan+ (28),132,1975,R
225,220.,Early Wynn+ (32),132,1952,R
226,227.,Lefty Grove+ (25),131,1925,L
227,227.,Phil Marchildon (34),131,1948,R
228,227.,Sam McDowell (27),131,1970,L
229,227.,George Mullin (23),131,1904,R
230,227.,Adonis Terry (30),131,1895,R
231,227.,Mickey Welch+ (25),131,1885,R
232,233.,Steve Barber (23),130,1961,L
233,233.,Bullet Joe Bush (23),130,1916,R
234,233.,King Cole (24),130,1910,R
235,233.,Wes Ferrell (23),130,1931,R
236,233.,Brickyard Kennedy (28),130,1896,R
237,233.,Monte Pearson (25),130,1934,R
238,233.,Allie Reynolds (28),130,1945,R
239,233.,Bill Singer (29),130,1973,R
240,241.,Pete Alexander+ (24),129,1911,R
