,Rank,Player (age that year),Fielding % as RF (s.1901),Year,Throws
229,229.,Michael Cuddyer (34),.9899,2013,R
230,229.,Jermaine Dye (33),.9899,2007,R
231,229.,Brian Jordan (33),.9899,2000,R
232,229.,Ken Singleton (28),.9899,1975,R
233,234.,Kirk Gibson (29),.9898,1986,L
234,234.,Harvey Kuenn (28),.9898,1959,R
235,236.,J.D. Drew (28),.9897,2004,R
236,236.,Jason Heyward (25),.9897,2015,L
237,236.,Bake McBride (31),.9897,1980,R
238,236.,Frank Robinson+ (29),.9897,1965,R
239,240.,Johnny Callison (27),.9896,1966,R
240,240.,Jimmie Hall (29),.9896,1967,R
241,240.,Mel Ott+ (26),.9896,1935,R
242,243.,Jay Buhner (29),.9895,1994,R
243,243.,Johnny Callison (30),.9895,1969,R
244,243.,Jackie Jensen (34),.9895,1961,R
245,243.,Felix Jose (26),.9895,1991,R
246,243.,Al Kaline+ (29),.9895,1964,R
247,243.,Don Mueller (29),.9895,1956,R
248,249.,Mark Kotsay (24),.9894,2000,L
249,249.,Dave Winfield+ (36),.9894,1988,R
250,251.,Jay Buhner (30),.9893,1995,R
251,251.,Bill Nicholson (30),.9893,1945,R
252,251.,Stephen Piscotty (27),.9893,2018,R
253,254.,Andre Dawson+ (33),.9892,1988,R
254,254.,Tony Gwynn+ (36),.9892,1996,L
255,254.,Torii Hunter (35),.9892,2011,R
256,254.,Darryl Strawberry (28),.9892,1990,L
257,258.,Kosuke Fukudome (34),.9891,2011,R
258,258.,Bryce Harper (24),.9891,2017,R
259,258.,Don Mueller (30),.9891,1957,R
260,258.,Gerardo Parra (26),.9891,2013,L
261,258.,Jim Piersall (23),.9891,1953,R
262,258.,Pete Rose (27),.9891,1968,R
263,258.,Shane Victorino (32),.9891,2013,R
264,265.,Tom Brunansky (30),.9890,1991,R
265,265.,Bake McBride (30),.9890,1979,R
266,265.,Ichiro Suzuki (36),.9890,2010,R
267,268.,Bobby Abreu (25),.9889,1999,R
268,268.,Dusty Baker (26),.9889,1975,R
269,268.,Tony Gwynn+ (26),.9889,1986,L
270,268.,Tim Salmon (32),.9889,2001,R
271,272.,Kole Calhoun (27),.9888,2015,L
272,272.,Stan Musial+ (33),.9888,1954,L
273,272.,Dave Winfield+ (26),.9888,1978,R
274,275.,Bobby Abreu (26),.9887,2000,R
275,275.,Jesse Barfield (25),.9887,1985,R
276,275.,Enos Slaughter+ (36),.9887,1952,R
277,275.,Glenn Wilson (27),.9887,1986,R
278,279.,Hank Bauer (31),.9886,1954,R
279,279.,Jay Buhner (31),.9886,1996,R
280,279.,Jim Eisenreich (35),.9886,1994,L
281,279.,Mike Hershberger (22),.9886,1962,R
282,279.,Raul Mondesi (26),.9886,1997,R
283,279.,Bill Nicholson (32),.9886,1947,R
284,285.,Brennan Boesch (27),.9885,2012,L
285,285.,Carlos Gonzalez (30),.9885,2016,L
286,285.,Tony Gwynn+ (25),.9885,1985,L
287,285.,Roger Maris (25),.9885,1960,R
288,285.,Floyd Robinson (29),.9885,1965,R
289,285.,Vic Wertz (26),.9885,1951,R
290,285.,Dave Winfield+ (35),.9885,1987,R
291,292.,Johnny Callison (25),.9884,1964,R
292,292.,Sam Crawford+ (25),.9884,1905,L
293,292.,Ben Grieve (26),.9884,2002,R
294,292.,Ken Harrelson (27),.9884,1969,R
295,292.,Bobby Murcer (32),.9884,1978,R
296,292.,Floyd Robinson (28),.9884,1964,R
297,298.,Orlando Merced (29),.9883,1996,R
298,298.,Jayson Werth (30),.9883,2009,R
299,300.,Jeff Francoeur (26),.9882,2010,R
300,300.,Avisail Garcia (24),.9882,2015,R
301,302.,Michael Conforto (26),.9881,2019,R
302,302.,Andre Dawson+ (36),.9881,1991,R
303,302.,Vladimir Guerrero+ (30),.9881,2005,R
304,302.,Tommy Holmes (30),.9881,1947,L
305,302.,Stan Musial+ (22),.9881,1943,L
306,307.,Derek Bell (31),.9880,2000,R
307,307.,Al Cowens (26),.9880,1978,R
308,307.,Al Cowens (28),.9880,1980,R
309,307.,Nate Schierholtz (29),.9880,2013,R
310,307.,Giancarlo Stanton (27),.9880,2017,R
311,307.,George Vukovich (29),.9880,1985,R
312,313.,Gino Cimoli (33),.9879,1963,R
313,313.,Tim Salmon (26),.9879,1995,R
314,313.,Gary Sheffield (36),.9879,2005,R
315,316.,Adam Eaton (31),.9878,2020,L
316,316.,Chuck Workman (28),.9878,1943,R
317,318.,Hank Aaron+ (32),.9877,1966,R
318,318.,Kole Calhoun (29),.9877,2017,L
319,318.,Carl Furillo (35),.9877,1957,R
320,318.,Ichiro Suzuki (35),.9877,2009,R
321,322.,Bobby Abreu (33),.9876,2007,R
322,322.,Dwight Evans (27),.9876,1979,R
323,322.,Carl Furillo (30),.9876,1952,R
324,322.,Shane Victorino (26),.9876,2007,R
325,322.,Larry Walker+ (28),.9876,1995,R
326,327.,Jay Bruce (24),.9875,2011,L
327,327.,Andre Ethier (30),.9875,2012,L
328,327.,Carl Furillo (31),.9875,1953,R
329,327.,Ival Goodman (29),.9875,1938,R
330,327.,Al Kaline+ (26),.9875,1961,R
