,Rank,Player (age that year),Intentional Bases on Balls,Year,Bats
174,161.,Reggie Jackson+ (28),20,1974,L
175,161.,Chipper Jones+ (29),20,2001,B
176,161.,Harmon Killebrew+ (33),20,1969,R
177,161.,Eddie Mathews+ (23),20,1955,L
178,161.,Willie Mays+ (25),20,1956,R
179,161.,Willie McCovey+ (30),20,1968,L
180,161.,Dale Murphy (28),20,1984,R
181,161.,Adolfo Phillips (26),20,1968,R
182,161.,Frank Robinson+ (27),20,1963,R
183,161.,Frank Robinson+ (28),20,1964,R
184,161.,Bill Russell (24),20,1973,R
185,161.,Kyle Schwarber (25),20,2018,L
186,161.,Willie Stargell+ (31),20,1971,L
187,161.,Joe Torre+ (30),20,1971,R
188,161.,Mo Vaughn (26),20,1994,L
189,161.,Joey Votto (33),20,2017,L
190,161.,Larry Walker+ (26),20,1993,L
191,161.,Billy Williams+ (34),20,1972,L
192,161.,Ted Williams+ (23),20,1942,L
193,161.,Dave Winfield+ (26),20,1978,R
194,195.,Hank Aaron+ (33),19,1967,R
195,195.,Hank Aaron+ (35),19,1969,R
196,195.,Ernie Banks+ (34),19,1965,R
197,195.,Dale Berra (26),19,1983,R
198,195.,Wade Boggs+ (29),19,1987,L
199,195.,Wade Boggs+ (31),19,1989,L
200,195.,Wade Boggs+ (32),19,1990,L
201,195.,Wade Boggs+ (34),19,1992,L
202,195.,Bobby Bonilla (25),19,1988,B
203,195.,Miguel Cabrera (30),19,2013,R
204,195.,Rod Carew+ (32),19,1978,L
205,195.,Norm Cash (27),19,1961,L
206,195.,Warren Cromartie (25),19,1979,L
207,195.,Carlos Delgado (36),19,2008,L
208,195.,Bruce Edwards (23),19,1947,R
209,195.,Prince Fielder (24),19,2008,L
210,195.,Cliff Floyd (28),19,2001,L
211,195.,Cliff Floyd (29),19,2002,L
212,195.,Maikel Franco (26),19,2019,R
213,195.,Paul Goldschmidt (25),19,2013,R
214,195.,Ken Griffey Jr.+ (24),19,1994,L
215,195.,Todd Helton (30),19,2004,L
216,195.,Keith Hernandez (28),19,1982,L
217,195.,Ed Herrmann (25),19,1972,L
218,195.,Frank Howard (32),19,1969,R
219,195.,Ralph Kiner+ (27),19,1950,R
220,195.,Jose Lind (26),19,1990,R
221,195.,Edgar Martinez+ (32),19,1995,R
222,195.,Jerry May (23),19,1967,R
223,195.,Tim McCarver (25),19,1967,L
224,195.,Willie Montanez (30),19,1978,L
225,195.,Stan Musial+ (34),19,1955,L
226,195.,Stan Musial+ (36),19,1957,L
227,195.,Bill Nicholson (30),19,1945,L
228,195.,Ben Oglivie (31),19,1980,L
229,195.,John Olerud (32),19,2001,L
230,195.,Joe Oliver (26),19,1992,R
231,195.,Tony Pena (32),19,1989,R
232,195.,Mike Piazza+ (32),19,2001,R
233,195.,Cal Ripken Jr.+ (32),19,1993,R
234,195.,Gary Sheffield (27),19,1996,R
235,195.,Ted Simmons+ (26),19,1976,B
236,195.,Ken Singleton (36),19,1983,B
237,195.,Duke Snider+ (28),19,1955,L
238,195.,Sammy Sosa (31),19,2000,R
239,195.,Jim Spencer (28),19,1976,L
