,Rank,Player (age that year),Fielding % as SS,Year,Throws
275,275.,Leo Cardenas (27),.9797,1966,R
276,277.,Chris Gomez (27),.9796,1998,R
277,277.,Roy McMillan (28),.9796,1958,R
278,277.,Andrelton Simmons (27),.9796,2017,R
279,277.,Omar Vizquel (26),.9796,1993,R
280,281.,Larry Bowa (24),.9795,1970,R
281,281.,Derek Jeter+ (31),.9795,2005,R
282,281.,Spike Owen (28),.9795,1989,R
283,284.,Nick Ahmed (29),.9794,2019,R
284,284.,Luis Aparicio+ (26),.9794,1960,R
285,284.,Brandon Crawford (28),.9794,2015,R
286,284.,Alcides Escobar (26),.9794,2013,R
287,284.,Tony Fernandez (25),.9794,1987,R
288,284.,Jimmy Rollins (24),.9794,2003,R
289,290.,Derek Jeter+ (34),.9793,2008,R
290,290.,Barry Larkin+ (34),.9793,1998,R
291,290.,Roberto Pena (33),.9793,1970,R
292,290.,Kevin Stocker (28),.9793,1998,R
293,290.,Walt Weiss (26),.9793,1990,R
294,295.,Gene Alley (25),.9792,1966,R
295,295.,Deivi Cruz (24),.9792,1997,R
296,295.,Bucky Dent (31),.9792,1983,R
297,295.,Francisco Lindor (25),.9792,2019,R
298,295.,Trevor Story (25),.9792,2018,R
299,295.,Alan Trammell+ (20),.9792,1978,R
300,295.,John Valentin (27),.9792,1994,R
301,302.,Ed Brinkman (25),.9791,1967,R
302,302.,Barry Larkin+ (38),.9791,2002,R
303,304.,Rich Aurilia (26),.9790,1998,R
304,304.,Didi Gregorius (25),.9790,2015,R
305,306.,Luis Aparicio+ (30),.9789,1964,R
306,306.,Mike Bordick (30),.9789,1996,R
307,306.,Rick Burleson (30),.9789,1981,R
308,306.,Alan Trammell+ (25),.9789,1983,R
309,310.,Dave Concepcion (35),.9788,1983,R
310,310.,Alcides Escobar (29),.9788,2016,R
311,310.,Yunel Escobar (26),.9788,2009,R
312,310.,Cesar Izturis (22),.9788,2002,R
313,310.,Dal Maxvill (32),.9788,1971,R
314,310.,Eddie Miller (26),.9788,1943,R
315,310.,Corey Seager (23),.9788,2017,R
316,317.,Larry Bowa (27),.9787,1973,R
317,317.,Manny Machado (25),.9787,2018,R
318,317.,Jhonny Peralta (26),.9787,2008,R
319,317.,Jimmy Rollins (22),.9787,2001,R
320,321.,Xander Bogaerts (23),.9786,2016,R
321,321.,Hal Lanier (25),.9786,1968,R
322,321.,Alan Trammell+ (32),.9786,1990,R
323,321.,Walt Weiss (24),.9786,1988,R
324,325.,Adeiny Hechavarria (25),.9785,2014,R
325,325.,Ozzie Smith+ (31),.9785,1986,R
326,327.,Ronny Cedeno (28),.9784,2011,R
327,327.,Alexei Ramírez (32),.9784,2014,R
328,329.,Mark Belanger (27),.9783,1971,R
329,329.,Mark Belanger (31),.9783,1975,R
330,329.,Lou Boudreau+ (26),.9783,1944,R
331,329.,Leo Cardenas (31),.9783,1970,R
332,329.,Adam Everett (28),.9783,2005,R
333,329.,Neifi Perez (27),.9783,2000,R
334,335.,Elvis Andrus (30),.9782,2019,R
335,335.,Mark Christman (33),.9782,1947,R
336,335.,Carlos Correa (21),.9782,2016,R
337,335.,Edgar Renteria (29),.9782,2006,R
338,335.,Angel Salazar (24),.9782,1986,R
339,335.,Andrelton Simmons (24),.9782,2014,R
340,335.,Alan Trammell+ (24),.9782,1982,R
341,342.,Orlando Cabrera (33),.9781,2008,R
342,342.,Dave Concepcion (32),.9781,1980,R
343,342.,Alcides Escobar (30),.9781,2017,R
344,342.,Tim Foli (28),.9781,1979,R
345,342.,J.J. Hardy (31),.9781,2014,R
346,342.,Jimmy Rollins (33),.9781,2012,R
347,348.,Wayne Causey (26),.9780,1963,R
348,348.,Derek Jeter+ (25),.9780,1999,R
349,348.,Barry Larkin+ (35),.9780,1999,R
350,351.,Orlando Cabrera (29),.9778,2004,R
351,351.,Eddie Kasko (33),.9778,1964,R
352,351.,Rico Petrocelli (25),.9778,1968,R
353,351.,Maury Wills (38),.9778,1971,R
354,355.,Luis Aparicio+ (32),.9777,1966,R
355,355.,Clint Barmes (32),.9777,2011,R
356,355.,Jay Bell (29),.9777,1995,R
357,355.,Jimmy Cooney (32),.9777,1927,R
358,355.,Chris Gomez (26),.9777,1997,R
359,355.,Jean Segura (23),.9777,2013,R
360,361.,Bud Harrelson (27),.9776,1971,R
361,362.,Elvis Andrus (28),.9775,2017,R
362,362.,Zack Cozart (27),.9775,2013,R
363,362.,J.J. Hardy (24),.9775,2007,R
364,362.,José Iglesias (25),.9775,2015,R
365,362.,Billy Jurges (34),.9775,1942,R
366,362.,Jhonny Peralta (24),.9775,2006,R
367,368.,Rafael Belliard (26),.9774,1988,R
368,368.,Bert Campaneris (30),.9774,1972,R
369,368.,Gary Disarcina (29),.9774,1997,R
370,368.,Tim Foli (26),.9774,1977,R
371,368.,Adeiny Hechavarria (27),.9774,2016,R
372,368.,Roger Metzger (23),.9774,1971,R
373,368.,Ray Oyler (30),.9774,1968,R
374,368.,Jose Uribe (27),.9774,1986,R
375,368.,Jack Wilson (24),.9774,2002,R
376,377.,Bucky Dent (27),.9773,1979,R
377,377.,Frank Duffy (28),.9773,1975,R
378,377.,David Eckstein (27),.9773,2002,R
379,377.,Buddy Kerr (24),.9773,1947,R
380,381.,Nick Ahmed (25),.9772,2015,R
381,381.,Ernie Banks+ (29),.9772,1960,R
382,381.,Frank Duffy (25),.9772,1972,R
383,381.,Pee Wee Reese+ (30),.9772,1949,R
384,381.,Alex Rodriguez (20),.9772,1996,R
385,386.,Dave Concepcion (27),.9771,1975,R
386,386.,Greg Gagne (32),.9771,1994,R
387,386.,Ozzie Guillen (26),.9771,1990,R
388,386.,Edgar Renteria (30),.9771,2007,R
389,386.,Jack Wilson (26),.9771,2004,R
390,391.,Dave Concepcion (34),.9770,1982,R
391,391.,Cesar Izturis (23),.9770,2003,R
392,391.,Barry Larkin+ (26),.9770,1990,R
393,391.,Jordy Mercer (31),.9770,2018,R
394,391.,Neifi Perez (28),.9770,2001,R
395,391.,Cal Ripken Jr.+ (32),.9770,1993,R
396,391.,Alex Rodriguez (23),.9770,1999,R
397,398.,Luis Aparicio+ (34),.9769,1968,R
398,398.,Orlando Cabrera (35),.9769,2010,R
399,398.,Royce Clayton (30),.9769,2000,R
400,398.,Miguel Rojas (30),.9769,2019,R
401,398.,Walt Weiss (29),.9769,1993,R
402,403.,Royce Clayton (33),.9768,2003,R
403,403.,Alvaro Espinoza (28),.9768,1990,R
404,403.,Ozzie Guillen (24),.9768,1988,R
405,403.,J.J. Hardy (25),.9768,2008,R
406,403.,Alexei Ramírez (29),.9768,2011,R
407,403.,Juan Uribe (27),.9768,2006,R
408,409.,Jason Bartlett (30),.9767,2010,R
409,409.,Derek Jeter+ (28),.9767,2002,R
410,409.,Roy McMillan (27),.9767,1957,R
411,409.,Juan Uribe (26),.9767,2005,R
412,413.,Roger Metzger (27),.9766,1975,R
413,413.,Spike Owen (23),.9766,1984,R
414,413.,Alexei Ramírez (33),.9766,2015,R
415,413.,Alan Trammell+ (27),.9766,1985,R
416,417.,Bucky Dent (24),.9765,1976,R
417,417.,Kevin Elster (23),.9765,1988,R
418,417.,Tony Fernandez (33),.9765,1995,R
419,417.,George Strickland (29),.9765,1955,R
420,421.,Tony Batista (25),.9764,1999,R
421,421.,Alex Gonzalez (26),.9764,2003,R
422,423.,Chico Carrasquel (27),.9763,1953,R
423,423.,Ricky Gutierrez (28),.9763,1998,R
424,423.,Everett Scott (26),.9763,1919,R
425,423.,Ryan Theriot (29),.9763,2009,R
426,423.,Omar Vizquel (32),.9763,1999,R
427,428.,Elvis Andrus (24),.9762,2013,R
428,429.,Luis Aparicio+ (36),.9761,1970,R
429,429.,Alcides Escobar (27),.9761,2014,R
430,429.,Francisco Lindor (24),.9761,2018,R
431,432.,Kevin Elster (24),.9760,1989,R
432,432.,Alex Gonzalez (27),.9760,2004,R
433,432.,Alex Rodriguez (25),.9760,2001,R
434,432.,Ozzie Smith+ (34),.9760,1989,R
435,436.,Elvis Andrus (23),.9759,2012,R
436,436.,Luis Aparicio+ (35),.9759,1969,R
437,436.,Stephen Drew (25),.9759,2008,R
438,436.,Luis Gomez (26),.9759,1978,R
439,436.,Ozzie Guillen (31),.9759,1995,R
440,436.,Roger Metzger (26),.9759,1974,R
441,436.,Everett Scott (25),.9759,1918,R
442,436.,Ozzie Smith+ (24),.9759,1979,R
443,436.,Bill Spiers (24),.9759,1990,R
444,436.,Juan Uribe (28),.9759,2007,R
445,436.,Jose Vizcaino (29),.9759,1997,R
446,447.,Alex Gonzalez (25),.9758,1998,R
447,447.,Don Kessinger (26),.9758,1969,R
448,447.,Phil Rizzuto+ (34),.9758,1952,R
449,447.,Dansby Swanson (25),.9758,2019,R
450,447.,Bobby Wine (31),.9758,1970,R
451,452.,Elvis Andrus (21),.9757,2010,R
452,452.,Rocky Bridges (30),.9757,1958,R
453,452.,Asdrubal Cabrera (25),.9757,2011,R
454,452.,Greg Gagne (28),.9757,1990,R
455,452.,Steve Jeltz (29),.9757,1988,R
456,452.,Marty Marion (32),.9757,1949,R
457,452.,Johnny Pesky (28),.9757,1947,R
458,452.,Ozzie Smith+ (26),.9757,1981,R
459,460.,Ed Brinkman (27),.9756,1969,R
460,460.,Kurt Stillwell (23),.9756,1988,R
461,462.,Orlando Arcia (24),.9755,2019,R
462,462.,Tim Foli (25),.9755,1976,R
463,462.,Adeiny Hechavarria (24),.9755,2013,R
464,462.,Barry Larkin+ (27),.9755,1991,R
465,462.,Gil McDougald (29),.9755,1957,R
466,462.,Spike Owen (24),.9755,1985,R
467,462.,Kevin Stocker (26),.9755,1996,R
468,469.,Larry Bowa (34),.9754,1980,R
469,469.,Orlando Cabrera (28),.9754,2003,R
470,469.,Gary Disarcina (25),.9754,1993,R
471,469.,Felix Fermin (26),.9754,1990,R
472,469.,Derek Jeter+ (32),.9754,2006,R
473,469.,Roy McMillan (31),.9754,1961,R
474,469.,Alex Rodriguez (22),.9754,1998,R
475,476.,Larry Bowa (30),.9753,1976,R
476,476.,Zack Cozart (26),.9753,2012,R
477,476.,Zack Cozart (31),.9753,2017,R
478,476.,Deivi Cruz (30),.9753,2003,R
479,476.,Chico Fernandez (26),.9753,1958,R
480,476.,Roy McMillan (26),.9753,1956,R
481,476.,Chris Speier (28),.9753,1978,R
482,476.,Jack Wilson (25),.9753,2003,R
483,484.,Rich Aurilia (29),.9752,2001,R
484,484.,Erick Aybar (28),.9752,2012,R
485,484.,Xander Bogaerts (26),.9752,2019,R
486,484.,Mike Bordick (34),.9752,2000,R
487,484.,Orlando Cabrera (31),.9752,2006,R
488,484.,Bobby Crosby (24),.9752,2004,R
489,484.,Billy Jurges (29),.9752,1937,R
490,484.,Spike Owen (26),.9752,1987,R
491,484.,Neifi Perez (25),.9752,1998,R
492,484.,Edgar Renteria (26),.9752,2003,R
493,494.,Mark Belanger (36),.9751,1980,R
494,494.,Brandon Crawford (31),.9751,2018,R
495,494.,J.J. Hardy (22),.9751,2005,R
496,494.,Eddie Miller (28),.9751,1945,R
497,494.,Rey Ordóñez (27),.9751,1998,R
498,494.,Jean Segura (24),.9751,2014,R
499,494.,Ozzie Smith+ (28),.9751,1983,R
