,Rank,Player (age that year),Adjusted ERA+,Year,Throws
0,1.,Tim Keefe+ (23),293,1880,R
1,2.,Pedro Martinez+ (28),291,2000,R
2,3.,Shane Bieber (25),281,2020,R
3,4.,Dutch Leonard (22),279,1914,L
4,5.,Trevor Bauer (29),276,2020,R
5,6.,Greg Maddux+ (28),271,1994,R
6,7.,Greg Maddux+ (29),260,1995,R
7,8.,Walter Johnson+ (25),259,1913,R
8,9.,Bob Gibson+ (32),258,1968,R
9,10.,Mordecai Brown+ (29),253,1906,R
10,11.,Walter Johnson+ (24),243,1912,R
11,11.,Pedro Martinez+ (27),243,1999,R
12,13.,Christy Mathewson+ (24),233,1905,R
13,14.,Dwight Gooden (20),229,1985,R
14,15.,Roger Clemens (42),226,2005,R
15,16.,Pete Alexander+ (28),225,1915,R
16,17.,Dallas Keuchel (32),224,2020,L
17,17.,Christy Mathewson+ (28),224,1909,R
18,19.,Roger Clemens (34),222,1997,R
19,19.,Zack Greinke (31),222,2015,R
20,21.,Yu Darvish (33),221,2020,R
21,22.,Pedro Martinez+ (25),219,1997,R
22,22.,Cy Young+ (34),219,1901,R
23,24.,Jacob deGrom (30),218,2018,R
24,24.,Denny Driscoll (26),218,1882,L
25,26.,Lefty Grove+ (31),217,1931,L
26,26.,Blake Snell (25),217,2018,L
27,28.,Jake Arrieta (29),215,2015,R
28,28.,Kevin Brown (31),215,1996,R
29,28.,Walter Johnson+ (31),215,1919,R
30,31.,Walter Johnson+ (30),214,1918,R
31,31.,Jack Pfiester (29),214,1907,L
32,33.,Roger Clemens (27),211,1990,R
33,33.,Carl Lundgren (27),211,1907,R
34,33.,Pedro Martinez+ (31),211,2003,R
35,36.,Ed Reulbach (22),209,1905,R
36,37.,Ron Guidry (27),208,1978,L
37,38.,Jack Taylor (28),206,1902,R
38,39.,Zack Greinke (25),205,2009,R
39,39.,Dinelson Lamet (27),205,2020,R
40,39.,Old Hoss Radbourn+ (29),205,1884,R
41,42.,Addie Joss+ (28),204,1908,R
42,43.,Corey Kluber (31),202,2017,R
43,43.,Pedro Martinez+ (30),202,2002,R
44,45.,Dolf Luque (32),201,1923,R
45,46.,Dean Chance (23),200,1964,R
46,46.,Billy Pierce (28),200,1955,L
47,48.,Spud Chandler (35),198,1943,R
48,49.,Randy Johnson+ (33),197,1997,L
49,49.,Clayton Kershaw (26),197,2014,L
50,49.,Al Maul (29),197,1895,R
51,52.,Trevor Bauer (27),196,2018,R
52,52.,Kyle Hendricks (26),196,2016,R
53,54.,Randy Johnson+ (38),195,2002,L
54,54.,Silver King (20),195,1888,R
55,54.,Hal Newhouser+ (24),195,1945,L
56,54.,Nolan Ryan+ (34),195,1981,R
57,54.,Ed Siever (27),195,1902,L
58,54.,Cy Young+ (41),195,1908,R
59,60.,Clayton Kershaw (25),194,2013,L
60,60.,Tom Seaver+ (26),194,1971,R
61,62.,Mordecai Brown+ (32),193,1909,R
