,Rank,Player (age that year),Championship WPA (cWPA),Year,Bats
213,212.,Bill Terry+ (29),11.75,1928,L
214,215.,Will Clark (25),11.70,1989,L
215,215.,Casey Stengel+ (25),11.70,1916,L
216,217.,Barry Bonds (28),11.67,1993,L
217,218.,Kiki Cuyler+ (26),11.65,1925,R
218,219.,Rocky Colavito (25),11.61,1959,R
219,220.,Dick McAuliffe (27),11.60,1967,L
220,221.,Barry Bonds (37),11.57,2002,L
221,222.,Babe Ruth+ (23),11.56,1918,L
222,223.,Rich Reese (25),11.51,1967,L
223,223.,Rudy York (30),11.51,1944,R
224,225.,Rogers Hornsby+ (33),11.46,1929,R
225,226.,Dave Parker (28),11.45,1979,L
226,227.,Kiki Cuyler+ (31),11.44,1930,R
227,228.,Dixie Walker (34),11.41,1945,L
228,229.,John Roseboro (28),11.38,1961,L
229,230.,Gabby Hartnett+ (36),11.36,1937,R
230,231.,Barry Bonds (26),11.35,1991,L
231,232.,Gil Hodges (28),11.34,1952,R
232,232.,Bill Skowron (26),11.34,1957,R
233,234.,Mel Ott+ (19),11.25,1928,L
234,235.,George Brett+ (32),11.21,1985,L
235,236.,Minnie Minoso (31),11.15,1957,R
236,237.,Nick Etten (29),11.14,1943,L
237,237.,Pee Wee Reese+ (27),11.14,1946,R
238,237.,Dixie Walker (30),11.14,1941,L
239,240.,Hack Wilson+ (29),11.08,1929,R
240,241.,Joe DiMaggio+ (26),11.07,1941,R
241,242.,Ripper Collins (30),11.05,1934,B
242,242.,Pete Reiser (23),11.05,1942,L
243,244.,Dolph Camilli (35),11.04,1942,L
244,244.,Harmon Killebrew+ (33),11.04,1969,R
245,244.,Ralph Kiner+ (25),11.04,1948,R
246,244.,Minnie Minoso (34),11.04,1960,R
247,248.,Jackie Robinson+ (33),10.97,1952,R
248,248.,Joe Sewell+ (21),10.97,1920,L
249,250.,Willie Stargell+ (26),10.96,1966,L
250,251.,Dick Groat (29),10.92,1960,R
251,251.,Enos Slaughter+ (33),10.92,1949,L
252,251.,Bill White (30),10.92,1964,L
253,254.,Dave Parker (27),10.90,1978,L
254,255.,Elston Howard (35),10.87,1964,R
255,255.,Johnny Pesky (30),10.87,1949,L
256,257.,Larry Gardner (35),10.86,1921,L
257,257.,Duke Snider+ (28),10.86,1955,L
258,259.,Vern Stephens (27),10.85,1948,R
259,260.,George Burns (28),10.83,1921,R
260,260.,Hank Thompson (28),10.83,1954,L
261,262.,Wally Pipp (29),10.79,1922,L
262,263.,Mickey Cochrane+ (27),10.78,1930,L
263,263.,Marv Owen (28),10.78,1934,R
264,265.,Mel Ott+ (24),10.71,1933,L
265,266.,Mickey Mantle+ (21),10.69,1953,B
266,267.,Cuckoo Christensen (26),10.67,1926,L
267,268.,David Justice (25),10.65,1991,L
268,269.,Dom DiMaggio (31),10.63,1948,R
269,270.,Tony Perez+ (25),10.62,1967,R
270,271.,Yogi Berra+ (29),10.61,1954,L
271,271.,Buddy Lewis (28),10.61,1945,L
272,273.,Happy Felsch (24),10.59,1916,R
273,274.,Enos Slaughter+ (32),10.57,1948,L
274,275.,Barry Bonds (27),10.55,1992,L
275,275.,Darryl Strawberry (29),10.55,1991,L
