,Rank,Player (age that year),Assists as LF (s.1901),Year,Throws
0,1.,Chet Chadbourne (29),34,1914,R
1,2.,Jimmy Sheckard (32),32,1911,R
2,3.,Ping Bodie (29),30,1917,R
3,3.,Duffy Lewis (22),30,1910,R
4,3.,Tillie Walker (26),30,1914,R
5,6.,Carson Bigbee (27),28,1922,R
6,7.,Max Carey+ (23),27,1913,R
7,7.,Duffy Lewis (23),27,1911,R
8,9.,Duffy Lewis (25),26,1913,R
9,9.,Jimmy Sheckard (33),26,1912,R
10,11.,Claude Cooper (23),25,1915,L
11,11.,Rube Ellis (23),25,1909,L
12,11.,Rube Ellis (24),25,1910,L
13,11.,Bibb Falk (25),25,1924,L
14,11.,Goose Goslin+ (22),25,1923,R
15,11.,Willie Hogan (26),25,1911,R
16,11.,Matty McIntyre (26),25,1906,L
17,11.,Jo-Jo Moore (27),25,1936,R
18,11.,Burt Shotton (31),25,1916,R
19,11.,Ken Williams (31),25,1921,R
20,21.,Carson Bigbee (26),24,1921,R
21,21.,Jesse Burkett+ (35),24,1904,L
22,21.,Red Murray (23),24,1907,R
23,21.,Frank Schulte (32),24,1915,R
24,21.,Jimmy Sheckard (26),24,1905,R
25,21.,Bobby Veach (32),24,1920,R
26,21.,Gary Ward (29),24,1983,R
27,28.,Max Carey+ (24),23,1914,R
28,28.,Duffy Lewis (24),23,1912,R
29,28.,Bobby Veach (26),23,1914,R
30,28.,Ken Williams (33),23,1923,R
31,32.,Bob Bescher (29),22,1913,L
32,32.,Warren Cromartie (24),22,1978,L
33,32.,Jack Graney (30),22,1916,L
34,32.,Bob Johnson (38),22,1944,R
35,32.,Johnny Johnston (23),22,1913,R
36,32.,Roy Johnson (32),22,1935,R
37,32.,Duffy Lewis (26),22,1914,R
38,32.,Alfonso Soriano (30),22,2006,R
39,40.,Bob Bescher (27),21,1911,L
40,40.,Max Carey+ (25),21,1915,R
41,40.,Ray Demmitt (30),21,1914,R
42,40.,Rube Ellis (25),21,1911,L
43,40.,Bibb Falk (28),21,1927,L
44,40.,Charlie Jamieson (35),21,1928,L
45,40.,Tim Raines+ (23),21,1983,R
46,40.,Jimmy Sheckard (31),21,1910,R
47,40.,Bobby Veach (33),21,1921,R
48,40.,Tillie Walker (33),21,1921,R
49,40.,Zack Wheat+ (22),21,1910,R
50,40.,Zack Wheat+ (26),21,1914,R
51,52.,Bill Collins (28),20,1910,R
52,52.,Patsy Dougherty (30),20,1907,R
53,52.,Alex Gordon (27),20,2011,R
54,52.,Jack Graney (25),20,1911,L
55,52.,Steve Henderson (25),20,1978,R
56,52.,George Jackson (30),20,1912,R
57,52.,Duffy Lewis (29),20,1917,R
58,52.,Lee Magee (24),20,1913,R
59,52.,Les Mann (26),20,1919,R
60,52.,Jim Rice+ (30),20,1983,R
61,52.,George Stone (33),20,1910,L
62,63.,George Burns (26),19,1916,R
63,63.,Joe Connolly (30),19,1914,R
64,63.,Bernard Gilkey (26),19,1993,R
65,63.,Bobby Higginson (29),19,2000,R
66,63.,Jay Kirke (24),19,1912,R
67,63.,Merlin Kopp (26),19,1918,R
68,63.,Jeffrey Leonard (27),19,1983,R
69,63.,Sherry Magee (20),19,1905,R
70,63.,Gene Richards (26),19,1980,L
71,63.,Al Simmons+ (27),19,1929,R
72,63.,Alfonso Soriano (31),19,2007,R
73,63.,Bobby Veach (27),19,1915,R
74,63.,Possum Whitted (27),19,1917,R
75,76.,Harry Anderson (27),18,1959,R
76,76.,John Anderson (32),18,1906,R
77,76.,Turner Barber (27),18,1921,R
78,76.,Bob Bescher (32),18,1916,L
79,76.,George Burns (23),18,1913,R
80,76.,Pat Burrell (24),18,2001,R
81,76.,Max Carey+ (22),18,1912,R
82,76.,Patsy Dougherty (27),18,1904,R
83,76.,Bernard Gilkey (29),18,1996,R
84,76.,Goose Goslin+ (24),18,1925,R
85,76.,Goose Goslin+ (31),18,1932,R
86,76.,Bill Lamar (28),18,1925,R
87,76.,Les Mann (24),18,1917,R
88,76.,Les Mann (25),18,1918,R
89,76.,Matty McIntyre (25),18,1905,L
90,76.,Alex Metzler (26),18,1929,R
91,76.,Minnie Minoso (29),18,1955,R
92,76.,Ben Oglivie (31),18,1980,L
93,76.,Jim Russell (25),18,1944,R
94,76.,Hank Sauer (34),18,1951,R
95,76.,Spike Shannon (32),18,1907,R
96,76.,Bob Skinner (26),18,1958,R
97,76.,Lonnie Smith (28),18,1984,R
98,76.,Moose Solters (31),18,1937,R
99,76.,Zack Wheat+ (27),18,1915,R
100,101.,George Bell (26),17,1986,R
101,101.,Dante Bichette (35),17,1999,R
102,101.,George Burns (29),17,1919,R
103,101.,Fred Clarke+ (36),17,1909,R
104,101.,Gil Coan (29),17,1951,R
105,101.,Birdie Cree (30),17,1913,R
106,101.,Pat Duncan (27),17,1921,R
107,101.,Clyde Engle (25),17,1909,R
108,101.,Del Ennis (24),17,1949,R
109,101.,Max Flack (24),17,1914,L
110,101.,Alex Gordon (28),17,2012,R
111,101.,Alex Gordon (29),17,2013,R
112,101.,Jack Graney (29),17,1915,L
113,101.,Rickey Henderson+ (21),17,1980,L
114,101.,Bobby Higginson (26),17,1997,R
115,101.,John Hummel (25),17,1908,R
116,101.,Bob Johnson (35),17,1941,R
117,101.,Bob Johnson (36),17,1942,R
118,101.,Joe Kelley+ (34),17,1906,R
119,101.,Bris Lord (27),17,1911,R
120,101.,Lee Magee (23),17,1912,R
121,101.,Sherry Magee (21),17,1906,R
122,101.,Starling Marte (27),17,2016,R
123,101.,Matty McIntyre (28),17,1908,L
124,101.,Kevin McReynolds (28),17,1988,R
125,101.,Joe Medwick+ (21),17,1933,R
126,101.,Joe Medwick+ (24),17,1936,R
127,101.,Sam Mertes (31),17,1904,R
128,101.,Irish Meusel (28),17,1921,R
129,101.,Manny Ramirez (33),17,2005,R
130,101.,Hank Sauer (35),17,1952,R
131,101.,Gary Sheffield (32),17,2001,R
132,101.,Bobby Veach (29),17,1917,R
133,101.,Tillie Walker (34),17,1922,R
134,101.,Zack Wheat+ (33),17,1921,R
135,101.,Billy Williams+ (24),17,1962,R
136,101.,Al Wingo (27),17,1925,R
137,101.,Carl Yastrzemski+ (23),17,1963,R
138,101.,Carl Yastrzemski+ (29),17,1969,R
139,101.,Carl Yastrzemski+ (31),17,1971,R
140,101.,Gus Zernial (30),17,1953,R
141,142.,Morrie Arnovich (27),16,1938,R
142,142.,Johnny Bates (25),16,1909,L
143,142.,Albert Belle (26),16,1993,R
144,142.,Bob Bescher (26),16,1910,L
145,142.,Ping Bodie (30),16,1918,R
146,142.,George Burns (27),16,1917,R
147,142.,Yoenis Céspedes (28),16,2014,R
148,142.,Fred Clarke+ (32),16,1905,R
149,142.,Joe Connolly (29),16,1913,R
150,142.,Warren Cromartie (25),16,1979,L
151,142.,Jose Cruz (32),16,1980,L
152,142.,Jim Delahanty (26),16,1905,R
153,142.,Josh Devore (22),16,1910,R
154,142.,Pat Duncan (26),16,1920,R
155,142.,Pat Duncan (28),16,1922,R
156,142.,Bibb Falk (26),16,1925,L
157,142.,Bernard Gilkey (30),16,1997,R
158,142.,Denver Grigsby (23),16,1924,R
159,142.,Hugh High (29),16,1917,L
160,142.,Jim Jackson (27),16,1905,R
161,142.,Shoeless Joe Jackson (28),16,1916,R
162,142.,Charlie Jamieson (32),16,1925,L
163,142.,Charlie Jamieson (33),16,1926,L
164,142.,Bob Johnson (28),16,1934,R
165,142.,Bob Johnson (39),16,1945,R
166,142.,Matty McIntyre (24),16,1904,L
167,142.,Ward Miller (30),16,1915,R
168,142.,Jo-Jo Moore (24),16,1933,R
169,142.,Fred Odwell (31),16,1904,R
170,142.,Al Scheer (26),16,1915,R
171,142.,Jimmy Sheckard (25),16,1904,R
172,142.,Jimmy Sheckard (30),16,1909,R
173,142.,Riggs Stephenson (29),16,1927,R
174,142.,B.J. Surhoff (34),16,1999,R
175,142.,Jack Tobin (27),16,1919,L
176,142.,Bobby Veach (25),16,1913,R
177,142.,Bobby Veach (34),16,1922,R
178,142.,Ken Williams (32),16,1922,R
179,142.,Dave Winfield+ (30),16,1982,R
180,142.,Gene Woodling (27),16,1950,R
181,142.,Carl Yastrzemski+ (22),16,1962,R
182,142.,Carl Yastrzemski+ (37),16,1977,R
183,184.,Dusty Baker (30),15,1979,R
184,184.,Jimmy Barrett (32),15,1907,R
185,184.,Jason Bay (30),15,2009,R
186,184.,George Bell (27),15,1987,R
187,184.,Bob Bescher (25),15,1909,L
188,184.,Bob Bescher (28),15,1912,L
189,184.,Carson Bigbee (25),15,1920,R
190,184.,Rube Bressler (32),15,1927,L
191,184.,George Case (25),15,1941,R
192,184.,Fred Clarke+ (33),15,1906,R
193,184.,Fred Clarke+ (34),15,1907,R
