,Rank,Player (age that year),Assists as LF (s.1901),Year,Throws
194,184.,Fred Clarke+ (35),15,1908,R
195,184.,Vince Coleman (25),15,1987,R
196,184.,Birdie Cree (28),15,1911,R
197,184.,Vern Duncan (25),15,1915,R
198,184.,Adam Duvall (28),15,2017,R
199,184.,Del Ennis (21),15,1946,R
200,184.,Bibb Falk (27),15,1926,L
201,184.,Cliff Floyd (32),15,2005,R
202,184.,Ralph Garr (25),15,1971,R
203,184.,Goose Goslin+ (29),15,1930,R
204,184.,Jack Graney (27),15,1913,L
205,184.,Jack Graney (28),15,1914,L
206,184.,Topsy Hartsel (32),15,1906,L
207,184.,Steve Henderson (30),15,1983,R
208,184.,Bobby Higginson (31),15,2002,R
209,184.,Bill Hinchman (24),15,1907,R
210,184.,Del Howard (28),15,1906,R
211,184.,Charlie Jamieson (29),15,1922,L
212,184.,Charlie Jamieson (30),15,1923,L
213,184.,Bob Johnson (33),15,1939,R
214,184.,Davy Jones (27),15,1907,R
215,184.,Davy Jones (31),15,1911,R
216,184.,Chet Laabs (31),15,1943,R
217,184.,Duffy Lewis (27),15,1915,R
218,184.,Duffy Lewis (28),15,1916,R
219,184.,Duffy Lewis (32),15,1920,R
220,184.,Sherry Magee (23),15,1908,R
221,184.,Starling Marte (26),15,2015,R
222,184.,Carmelo Martinez (23),15,1984,R
223,184.,Mike Menosky (22),15,1917,R
224,184.,Clyde Milan (33),15,1920,R
225,184.,Minnie Minoso (27),15,1953,R
226,184.,Ben Oglivie (33),15,1982,L
227,184.,Jim Rice+ (33),15,1986,R
228,184.,Pete Rose (31),15,1972,R
229,184.,Pete Rose (32),15,1973,R
230,184.,Jim Russell (24),15,1943,R
231,184.,Babe Ruth+ (26),15,1921,L
232,184.,Russ Scarritt (26),15,1929,R
233,184.,Al Simmons+ (31),15,1933,R
234,184.,Moose Solters (30),15,1936,R
235,184.,Willie Stargell+ (30),15,1970,L
236,184.,John Titus (28),15,1904,L
237,184.,Zack Wheat+ (36),15,1924,R
238,184.,Carl Yastrzemski+ (26),15,1966,R
239,184.,Gus Zernial (28),15,1951,R
240,241.,Dante Bichette (34),14,1998,R
241,241.,Barry Bonds (24),14,1989,L
242,241.,Barry Bonds (25),14,1990,L
243,241.,Phil Bradley (28),14,1987,R
244,241.,Phil Bradley (29),14,1988,R
245,241.,George Burns (24),14,1914,R
246,241.,Ben Chapman (24),14,1933,R
247,241.,Wally Clement (27),14,1909,R
248,241.,Rocky Colavito (27),14,1961,R
249,241.,Josh Devore (23),14,1911,R
250,241.,Del Ennis (28),14,1953,R
251,241.,Hoot Evers (29),14,1950,R
252,241.,Sid Gordon (29),14,1947,R
253,241.,Goose Goslin+ (33),14,1934,R
254,241.,Jack Graney (31),14,1917,L
255,241.,Johnny Grubb (29),14,1978,R
256,241.,Chick Hafey+ (24),14,1927,R
257,241.,Topsy Hartsel (30),14,1904,L
258,241.,Hugh High (28),14,1916,L
259,241.,Larry Hisle (29),14,1976,R
260,241.,Brian Hunter (28),14,1999,R
261,241.,Scotty Ingerton (25),14,1911,R
262,241.,Shoeless Joe Jackson (29),14,1917,R
263,241.,Geoff Jenkins (24),14,1999,R
264,241.,Bob Johnson (29),14,1935,R
265,241.,Bob Johnson (31),14,1937,R
266,241.,Roy Johnson (31),14,1934,R
267,241.,Bill Lamar (27),14,1924,R
268,241.,Bevo LeBourveau (23),14,1920,R
269,241.,Ron LeFlore (32),14,1980,R
270,241.,Sherry Magee (26),14,1911,R
271,241.,Carmelo Martinez (24),14,1985,R
272,241.,Gary Matthews (31),14,1982,R
273,241.,Austin McHenry (22),14,1918,R
274,241.,Austin McHenry (24),14,1920,R
275,241.,Mike Menosky (25),14,1920,R
276,241.,Sam Mertes (33),14,1906,R
277,241.,Irish Meusel (32),14,1925,R
278,241.,Hack Miller (29),14,1923,R
279,241.,Minnie Minoso (33),14,1959,R
280,241.,Minnie Minoso (34),14,1960,R
281,241.,Johnny Mokan (27),14,1923,R
282,241.,Wally Moon (30),14,1960,R
283,241.,Phil Plantier (24),14,1993,R
284,241.,Rick Reichardt (26),14,1969,R
285,241.,Gene Richards (27),14,1981,L
286,241.,Babe Ruth+ (24),14,1919,L
287,241.,Hank Sauer (32),14,1949,R
288,241.,Howie Shanks (21),14,1912,R
289,241.,Burt Shotton (30),14,1915,R
290,241.,Al Simmons+ (32),14,1934,R
291,241.,Lonnie Smith (27),14,1983,R
292,241.,Bobby Veach (28),14,1916,R
293,241.,Bobby Veach (30),14,1918,R
294,241.,Bobby Veach (31),14,1919,R
295,241.,Joe Vosmik (28),14,1938,R
296,241.,Tillie Walker (32),14,1920,R
297,241.,Zack Wheat+ (28),14,1916,R
298,241.,Zack Wheat+ (34),14,1922,R
299,241.,Billy Williams+ (26),14,1964,R
300,241.,Billy Williams+ (35),14,1973,R
301,241.,Ted Williams+ (23),14,1942,R
302,303.,Garret Anderson (31),13,2003,L
303,303.,Dusty Baker (29),13,1978,R
304,303.,Johnny Bates (24),13,1908,L
305,303.,Jason Bay (28),13,2007,R
306,303.,George Bell (25),13,1985,R
307,303.,Barry Bonds (26),13,1991,L
308,303.,George Burns (25),13,1915,R
309,303.,George Burns (30),13,1920,R
310,303.,Jeff Burroughs (27),13,1978,R
311,303.,Melky Cabrera (29),13,2014,L
312,303.,Jose Cardenal (31),13,1975,R
313,303.,Bob Cerv (33),13,1958,R
314,303.,Josh Clarke (29),13,1908,R
315,303.,Vince Coleman (26),13,1988,R
316,303.,Bill Cunningham (29),13,1924,R
317,303.,Kal Daniels (26),13,1990,R
318,303.,David DeJesus (29),13,2009,L
319,303.,Johnny Dickshot (35),13,1945,R
320,303.,George Foster (33),13,1982,R
321,303.,Bob Ganley (33),13,1908,L
322,303.,Brian Giles (31),13,2002,L
323,303.,Goose Goslin+ (30),13,1931,R
324,303.,Jack Graney (33),13,1919,L
325,303.,Hank Greenberg+ (29),13,1940,R
326,303.,Chick Hafey+ (25),13,1928,R
327,303.,Ed Hahn (30),13,1906,R
328,303.,Tommy Harper (32),13,1973,R
329,303.,Joe Harris (31),13,1922,R
330,303.,Ken Henderson (26),13,1972,R
331,303.,Richard Hidalgo (24),13,1999,R
332,303.,Willie Hogan (27),13,1912,R
333,303.,Charlie Jamieson (34),13,1927,L
334,303.,Bob Johnson (27),13,1933,R
335,303.,Bob Johnson (30),13,1936,R
336,303.,Roy Johnson (26),13,1929,R
337,303.,Ron Kittle (26),13,1984,R
338,303.,Jason Kubel (30),13,2012,R
339,303.,Jack Lelivelt (24),13,1910,L
340,303.,Jeffrey Leonard (28),13,1984,R
341,303.,Duffy Lewis (31),13,1919,R
342,303.,Danny Litwhiler (24),13,1941,R
343,303.,Peanuts Lowrey (27),13,1945,R
344,303.,Sherry Magee (22),13,1907,R
345,303.,Sherry Magee (32),13,1917,R
346,303.,Carlos May (24),13,1972,R
347,303.,Jack McCarthy (37),13,1906,L
348,303.,Austin McHenry (26),13,1922,R
349,303.,Matty McIntyre (29),13,1909,L
350,303.,Mike Menosky (26),13,1921,R
351,303.,Ward Miller (29),13,1914,R
352,303.,Minnie Minoso (28),13,1954,R
353,303.,Minnie Minoso (32),13,1958,R
354,303.,Harry Niles (28),13,1909,R
355,303.,Joe Orsulak (29),13,1991,L
356,303.,Tony Phillips (37),13,1996,R
357,303.,Lou Piniella (25),13,1969,R
358,303.,Lou Piniella (30),13,1974,R
359,303.,Jim Rice+ (25),13,1978,R
360,303.,Kip Selbach (32),13,1904,R
361,303.,Howie Shanks (24),13,1915,R
362,303.,Spike Shannon (31),13,1906,R
363,303.,Jimmy Sheckard (27),13,1906,R
364,303.,Jimmy Sheckard (28),13,1907,R
365,303.,Jimmy Sheckard (29),13,1908,R
366,303.,Bob Skinner (28),13,1960,R
367,303.,Moose Solters (29),13,1935,R
368,303.,Willie Stargell+ (27),13,1967,L
369,303.,Willie Stargell+ (33),13,1973,L
370,303.,George Stone (28),13,1905,L
371,303.,Frank Thomas (33),13,1962,R
372,303.,Dayán Viciedo (23),13,2012,R
373,303.,Tillie Walker (23),13,1911,R
374,303.,George Watkins (35),13,1935,R
375,303.,Zack Wheat+ (23),13,1911,R
376,303.,Zack Wheat+ (24),13,1912,R
377,303.,Zack Wheat+ (25),13,1913,R
378,303.,Roy White (24),13,1968,R
379,303.,Possum Whitted (26),13,1916,R
380,303.,Al Wickland (27),13,1915,L
381,303.,Billy Williams+ (25),13,1963,R
382,303.,Billy Williams+ (32),13,1970,R
383,303.,Ken Williams (37),13,1927,R
384,303.,Carl Yastrzemski+ (27),13,1967,R
385,386.,Garret Anderson (25),12,1997,L
386,386.,Carson Bigbee (28),12,1923,R
387,386.,Ray Blades (28),12,1925,R
388,386.,Curt Blefary (23),12,1967,R
389,386.,Barry Bonds (30),12,1995,L
390,386.,Ryan Braun (32),12,2016,R
391,386.,Lou Brock+ (28),12,1967,L
392,386.,Pat Burrell (31),12,2008,R
393,386.,Melky Cabrera (21),12,2006,L
394,386.,Melky Cabrera (31),12,2016,L
395,386.,Miguel Cabrera (22),12,2005,R
396,386.,Jose Canseco (22),12,1987,R
397,386.,Ben Chapman (22),12,1931,R
398,386.,Marty Cordova (27),12,1997,R
399,386.,Jose Cruz (36),12,1984,L
400,386.,Roy Cullenbine (28),12,1942,R
401,386.,Tom Daley (29),12,1914,R
402,386.,Josh Devore (24),12,1912,R
403,386.,Patsy Dougherty (29),12,1906,R
404,386.,Erv Dusak (25),12,1946,R
405,386.,Mike Easler (30),12,1981,R
406,386.,Gus Felix (28),12,1923,R
407,386.,Gus Felix (32),12,1927,R
408,386.,Augie Galan (23),12,1935,R
409,386.,Ralph Garr (29),12,1975,R
410,386.,Bernard Gilkey (31),12,1998,R
411,386.,Dan Gladden (30),12,1988,R
412,386.,Goose Goslin+ (23),12,1924,R
413,386.,Goose Goslin+ (27),12,1928,R
414,386.,Goose Goslin+ (35),12,1936,R
415,386.,Mike Greenwell (26),12,1990,R
416,386.,George Hendrick (26),12,1976,R
417,386.,Bill Hinchman (26),12,1909,R
418,386.,Harry Hooper+ (21),12,1909,R
419,386.,Pete Incaviglia (24),12,1988,R
420,386.,Bo Jackson (25),12,1988,R
421,386.,Smead Jolley (30),12,1932,R
422,386.,Davy Jones (30),12,1910,R
423,386.,Steve Kemp (24),12,1979,L
424,386.,Ralph Kiner+ (26),12,1949,R
425,386.,Ralph Kiner+ (30),12,1953,R
426,386.,Nemo Leibold (26),12,1918,R
427,386.,Danny Litwhiler (26),12,1943,R
428,386.,Whitey Lockman (23),12,1950,R
429,386.,Bris Lord (26),12,1910,R
430,386.,Candy Maldonado (31),12,1992,R
431,386.,Les Mann (22),12,1915,R
432,386.,Les Mann (27),12,1920,R
433,386.,Gary Matthews (30),12,1981,R
434,386.,Carlos May (22),12,1970,R
435,386.,Austin McHenry (23),12,1919,R
436,386.,Austin McHenry (25),12,1921,R
437,386.,Kevin McReynolds (30),12,1990,R
438,386.,Joe Medwick+ (26),12,1938,R
439,386.,Irish Meusel (25),12,1918,R
440,386.,Irish Meusel (29),12,1922,R
441,386.,Mike Mitchell (33),12,1913,R
442,386.,Craig Monroe (29),12,2006,R
443,386.,Stan Musial+ (30),12,1951,L
444,386.,Lefty O'Doul (32),12,1929,L
445,386.,Jimmy Outlaw (32),12,1945,R
446,386.,Gerardo Parra (24),12,2011,L
447,386.,Ray Pepper (28),12,1934,R
448,386.,Luis Polonia (29),12,1993,L
449,386.,Boog Powell (22),12,1964,R
450,386.,Tim Raines+ (31),12,1991,R
451,386.,Tim Raines+ (32),12,1992,R
452,386.,Jim Rice+ (34),12,1987,R
453,386.,Dave Robertson (30),12,1920,L
454,386.,Eddie Rosario (23),12,2015,R
455,386.,Chet Ross (23),12,1940,R
456,386.,Hank Sauer (31),12,1948,R
457,386.,Hank Sauer (33),12,1950,R
458,386.,Frank Schulte (22),12,1905,R
459,386.,Howie Shanks (25),12,1916,R
460,386.,Jimmy Slagle (30),12,1904,R
461,386.,Enos Slaughter+ (31),12,1947,R
462,386.,Lonnie Smith (26),12,1982,R
463,386.,Alfonso Soriano (36),12,2012,R
464,386.,Alfonso Soriano (37),12,2013,R
465,386.,Jake Stahl (29),12,1908,R
466,386.,Riggs Stephenson (30),12,1928,R
467,386.,George Stone (30),12,1907,L
468,386.,John Stone (30),12,1936,R
469,386.,B.J. Surhoff (33),12,1998,R
470,386.,Jack Thoney (28),12,1908,R
471,386.,Dayán Viciedo (24),12,2013,R
472,386.,Joe Vosmik (21),12,1931,R
473,386.,Joe Vosmik (23),12,1933,R
474,386.,Gary Ward (28),12,1982,R
475,386.,Zack Wheat+ (29),12,1917,R
476,386.,Terry Whitfield (26),12,1979,R
477,386.,Ken Williams (30),12,1920,R
478,386.,Ken Williams (34),12,1924,R
479,386.,Ken Williams (35),12,1925,R
480,386.,Ted Williams+ (21),12,1940,R
481,386.,Ted Williams+ (30),12,1949,R
482,386.,Al Wingo (28),12,1926,R
483,386.,Jim Wynn (34),12,1976,R
484,386.,Carl Yastrzemski+ (28),12,1968,R
485,386.,Delmon Young (24),12,2010,R
486,487.,Bob Allison (30),11,1965,R
487,487.,Moises Alou (31),11,1998,R
488,487.,Albert Belle (31),11,1998,R
489,487.,Andrew Benintendi (22),11,2017,L
490,487.,Andrew Benintendi (23),11,2018,L
491,487.,Carson Bigbee (23),11,1918,R
492,487.,Barry Bonds (39),11,2004,L
493,487.,Phil Bradley (27),11,1986,R
494,487.,Michael Brantley (26),11,2013,L
495,487.,Steve Braun (29),11,1977,R
496,487.,Lou Brock+ (26),11,1965,L
497,487.,Eddie Brown (35),11,1927,R
498,487.,Don Buford (33),11,1970,R
499,487.,Jesse Burkett+ (36),11,1905,L
