,Rank,Player (age that year),Range Factor/Game as SS,Year,Throws
43,44.,Gene DeMontreville (24),6.121,1897,R
44,45.,Danny Richardson (27),6.118,1890,R
45,46.,Monte Cross (28),6.107,1898,R
46,47.,Shorty Fuller (27),6.103,1895,R
47,48.,Phil Tomney (26),6.098,1889,R
48,49.,Herman Long (36),6.094,1902,R
49,50.,Monte Cross (30),6.092,1900,R
50,51.,Dick Bartell (28),6.083,1936,R
51,52.,Bobby Wallace+ (36),6.081,1910,R
52,53.,Bill Dahlen (23),6.080,1893,R
53,54.,Ivy Olson (35),6.075,1921,R
54,55.,Gene DeMontreville (26),6.073,1899,R
55,56.,Dave Bancroft+ (34),6.072,1925,R
56,57.,Frank Parkinson (26),6.067,1921,R
57,58.,Art Fletcher (33),6.065,1918,R
58,58.,George McBride (27),6.065,1908,R
59,60.,Tommy Corcoran (27),6.061,1896,R
60,61.,Herman Long (30),6.050,1896,R
61,62.,Dick Bartell (22),6.048,1930,R
62,63.,Travis Jackson+ (24),6.047,1928,R
63,64.,Bob Allen (25),6.040,1893,R
64,64.,Buck Weaver (22),6.040,1913,R
65,66.,Kid Elberfeld (27),6.039,1902,R
66,67.,Herman Long (27),6.016,1893,R
67,68.,Donie Bush (24),6.000,1912,R
68,68.,Honus Wagner+ (31),6.000,1905,R
69,70.,Al Bridwell (22),5.983,1906,R
70,71.,George Magoon (23),5.979,1898,R
71,72.,George Davis+ (26),5.977,1897,R
72,73.,Tommy Corcoran (29),5.974,1898,R
73,74.,Zeke Wrigley (24),5.959,1898,
74,75.,Glenn Wright (23),5.954,1924,R
75,76.,Charlie Hollocher (24),5.950,1920,R
76,77.,Eddie Miller (22),5.948,1939,R
77,78.,Dave Bancroft+ (26),5.942,1917,R
78,79.,Rabbit Maranville+ (31),5.936,1923,R
79,80.,Jimmy Cooney (31),5.929,1926,R
80,81.,Dick Bartell (29),5.914,1937,R
81,82.,Travis Jackson+ (25),5.913,1929,R
82,82.,Doc Lavan (29),5.913,1920,R
83,84.,Hughie Jennings+ (22),5.912,1891,R
84,85.,Buck Herzog (29),5.909,1915,R
85,86.,Eddie Miller (23),5.907,1940,R
86,87.,Bobby Wallace+ (28),5.901,1902,R
87,88.,Buck Weaver (21),5.898,1912,R
88,89.,Rabbit Maranville+ (37),5.897,1929,R
89,90.,Everett Scott (28),5.896,1921,R
90,91.,Gene DeMontreville (23),5.895,1896,R
91,91.,Travis Jackson+ (23),5.895,1927,R
92,93.,Honus Wagner+ (32),5.891,1906,R
93,94.,Kid Elberfeld (32),5.890,1907,R
94,94.,Rogers Hornsby+ (22),5.890,1918,R
95,96.,Dave Bancroft+ (25),5.887,1916,R
96,97.,Rabbit Maranville+ (23),5.886,1915,R
97,98.,Billy Gilbert (26),5.884,1902,R
98,98.,George Magoon (24),5.884,1899,R
99,98.,Rabbit Maranville+ (30),5.884,1922,R
100,101.,John Ward+ (30),5.883,1890,R
101,102.,Bob Smith (28),5.881,1923,R
102,103.,Herman Long (28),5.878,1894,R
103,104.,Wid Conroy (24),5.873,1901,R
104,105.,Travis Jackson+ (21),5.864,1925,R
105,106.,Bill Dahlen (38),5.861,1908,R
106,106.,Garry Templeton (24),5.861,1980,R
107,108.,Herman Long (31),5.860,1897,R
108,108.,Rabbit Warstler (28),5.860,1932,R
109,110.,Lena Blackburne (31),5.856,1918,R
110,110.,Ozzie Smith+ (27),5.856,1982,R
111,112.,Joe Tinker+ (24),5.852,1905,R
112,113.,Monte Cross (29),5.838,1899,R
113,113.,George McBride (30),5.838,1911,R
114,115.,Ozzie Smith+ (26),5.836,1981,R
115,116.,Terry Turner (25),5.830,1906,R
116,117.,Honus Wagner+ (39),5.829,1913,R
117,118.,Roger Peckinpaugh (28),5.826,1919,R
118,119.,Buck Herzog (28),5.825,1914,R
119,120.,Luke Appling+ (28),5.824,1935,R
120,121.,Bill Dahlen (31),5.822,1901,R
121,122.,Bobby Wallace+ (33),5.816,1907,R
122,123.,Dave Bancroft+ (35),5.813,1926,R
123,123.,Rabbit Maranville+ (24),5.813,1916,R
124,123.,Eddie Miller (27),5.813,1944,R
125,126.,Bobby Wallace+ (34),5.810,1908,R
126,127.,Dave Bancroft+ (36),5.808,1927,R
127,128.,Germany Smith (35),5.806,1894,R
128,129.,Mickey Doolin (35),5.804,1915,R
129,129.,Charley O'Leary (31),5.804,1907,R
130,129.,Whitey Wietelmann (24),5.804,1943,R
131,132.,Joe Tinker+ (31),5.803,1912,R
132,133.,Bob Allen (23),5.797,1891,R
133,134.,Tommy Corcoran (36),5.795,1905,R
134,135.,Hod Ford (30),5.792,1928,R
135,136.,Hughie Jennings+ (23),5.790,1892,R
136,137.,Heinie Sand (26),5.788,1924,R
137,138.,Dick Bartell (30),5.787,1938,R
138,139.,Luke Appling+ (29),5.774,1936,R
139,140.,Jack Glasscock (29),5.771,1887,R
140,141.,Germany Smith (34),5.769,1893,R
141,142.,Dick Bartell (24),5.766,1932,R
142,142.,George McBride (29),5.766,1910,R
143,144.,Joe Cronin+ (27),5.764,1934,R
144,145.,Art Fletcher (35),5.762,1920,R
145,145.,Herman Long (24),5.762,1890,R
146,147.,Tommy Corcoran (24),5.757,1893,R
147,147.,Woody English (23),5.757,1929,R
148,149.,Tommy Thevenow (26),5.756,1930,R
149,150.,Bill Dahlen (29),5.755,1899,R
150,150.,Germany Smith (33),5.755,1892,R
151,152.,Ozzie Smith+ (25),5.753,1980,R
152,153.,Dick Bartell (25),5.750,1933,R
153,154.,Joe Dugan (21),5.744,1918,R
154,154.,Rudy Hulswitt (25),5.744,1902,R
155,156.,Rabbit Maranville+ (25),5.739,1917,R
156,156.,Frank Shugart (25),5.739,1892,R
157,158.,Lou Boudreau+ (26),5.738,1944,R
158,158.,Davy Force (26),5.738,1876,R
159,160.,Travis Jackson+ (20),5.735,1924,R
