,Rank,Player (age that year),Adj. Batting Runs,Year,Bats
0,1.,Barry Bonds (36),126,2001,L
1,2.,Barry Bonds (37),124,2002,L
2,2.,Barry Bonds (39),124,2004,L
3,4.,Babe Ruth+ (28),121,1923,L
4,5.,Babe Ruth+ (26),120,1921,L
5,6.,Babe Ruth+ (25),114,1920,L
6,7.,Lou Gehrig+ (24),105,1927,L
7,8.,Babe Ruth+ (29),104,1924,L
8,8.,Babe Ruth+ (32),104,1927,L
9,8.,Ted Williams+ (22),104,1941,L
10,11.,Babe Ruth+ (31),101,1926,L
11,12.,Rogers Hornsby+ (28),98,1924,R
12,12.,Babe Ruth+ (36),98,1931,L
13,14.,Rogers Hornsby+ (26),96,1922,R
14,15.,Jimmie Foxx+ (24),95,1932,R
15,15.,Mark McGwire (34),95,1998,R
16,15.,Babe Ruth+ (35),95,1930,L
17,18.,Lou Gehrig+ (27),94,1930,L
18,19.,Lou Gehrig+ (31),93,1934,L
19,19.,Sammy Sosa (32),93,2001,R
20,19.,Ted Williams+ (23),93,1942,L
21,19.,Ted Williams+ (27),93,1946,L
22,23.,Mickey Mantle+ (25),92,1957,B
23,24.,Barry Bonds (38),90,2003,L
24,25.,Ted Williams+ (28),89,1947,L
25,25.,Ted Williams+ (38),89,1957,L
26,27.,Barry Bonds (28),88,1993,L
27,27.,Rogers Hornsby+ (29),88,1925,R
28,27.,Babe Ruth+ (33),88,1928,L
29,30.,Lou Gehrig+ (33),87,1936,L
30,30.,Jason Giambi (30),87,2001,L
31,30.,Mickey Mantle+ (24),87,1956,B
32,30.,Stan Musial+ (27),87,1948,L
33,34.,Ted Williams+ (30),86,1949,L
34,35.,Norm Cash (27),85,1961,L
35,35.,Lou Gehrig+ (28),85,1931,L
36,37.,Jimmie Foxx+ (25),84,1933,R
37,38.,Tip O'Neill (27),82,1887,R
38,39.,Rogers Hornsby+ (32),81,1928,R
39,39.,Mickey Mantle+ (29),81,1961,B
40,41.,Carlos Delgado (28),80,2000,L
41,41.,Lou Gehrig+ (25),80,1928,L
42,41.,Bryce Harper (22),80,2015,L
43,41.,Albert Pujols (29),80,2009,R
44,45.,Willie McCovey+ (31),79,1969,L
45,45.,Albert Pujols (23),79,2003,R
46,47.,Jason Giambi (29),78,2000,L
47,47.,Rogers Hornsby+ (25),78,1921,R
48,47.,Gary Sheffield (27),78,1996,R
49,50.,Fred Dunlap (25),77,1884,R
50,50.,John Olerud (24),77,1993,L
51,50.,Albert Pujols (28),77,2008,R
52,53.,Barry Bonds (31),76,1996,L
53,53.,Ty Cobb+ (24),76,1911,L
54,53.,Rogers Hornsby+ (33),76,1929,R
55,53.,Frank Robinson+ (30),76,1966,R
56,53.,Babe Ruth+ (37),76,1932,L
57,53.,Hack Wilson+ (30),76,1930,R
58,59.,Jeff Bagwell+ (28),75,1996,R
59,59.,Barry Bonds (27),75,1992,L
60,59.,Ty Cobb+ (30),75,1917,L
61,59.,Jimmie Foxx+ (30),75,1938,R
62,59.,Lou Gehrig+ (29),75,1932,L
63,59.,Frank Thomas+ (26),75,1994,R
64,59.,Ted Williams+ (29),75,1948,L
65,66.,Harry Heilmann+ (28),74,1923,R
66,66.,Edgar Martinez+ (32),74,1995,R
67,66.,Tris Speaker+ (35),74,1923,L
68,69.,Ed Delahanty+ (31),73,1899,R
69,69.,Lou Gehrig+ (34),73,1937,L
70,69.,Tris Speaker+ (24),73,1912,L
71,69.,Jim Thome+ (31),73,2002,L
72,73.,Hank Aaron+ (25),72,1959,R
73,73.,Miguel Cabrera (30),72,2013,R
74,73.,Shoeless Joe Jackson (23),72,1911,L
75,73.,Nap Lajoie+ (26),72,1901,R
76,73.,Babe Ruth+ (24),72,1919,L
77,73.,George Sisler+ (27),72,1920,L
78,73.,Mike Trout (26),72,2018,R
79,73.,Arky Vaughan+ (23),72,1935,L
80,73.,Carl Yastrzemski+ (27),72,1967,L
81,82.,Barry Bonds (33),71,1998,L
82,82.,Ty Cobb+ (28),71,1915,L
83,82.,Jimmie Foxx+ (26),71,1934,R
84,82.,Luis Gonzalez (33),71,2001,L
85,82.,Ralph Kiner+ (28),71,1951,R
86,82.,Stan Musial+ (28),71,1949,L
87,82.,Stan Musial+ (30),71,1951,L
88,82.,Larry Walker+ (30),71,1997,L
89,90.,Jeff Bagwell+ (26),70,1994,R
90,90.,Barry Bonds (35),70,2000,L
91,90.,Miguel Cabrera (28),70,2011,R
92,90.,Jimmie Foxx+ (27),70,1935,R
93,90.,Babe Herman (27),70,1930,L
94,90.,Nap Lajoie+ (35),70,1910,R
95,90.,Joe Medwick+ (25),70,1937,R
96,90.,Frank Thomas+ (23),70,1991,R
97,90.,Frank Thomas+ (28),70,1996,R
98,90.,Frank Thomas+ (29),70,1997,R
99,90.,Mike Trout (21),70,2013,R
100,101.,Rod Carew+ (31),69,1977,L
101,101.,Ty Cobb+ (25),69,1912,L
102,101.,Shoeless Joe Jackson (24),69,1912,L
103,101.,Ralph Kiner+ (26),69,1949,R
104,101.,Mickey Mantle+ (26),69,1958,B
105,101.,Stan Musial+ (25),69,1946,L
106,101.,Mike Piazza+ (28),69,1997,R
107,108.,Mookie Betts (25),68,2018,R
108,108.,Ed Delahanty+ (27),68,1895,R
109,108.,Hugh Duffy+ (27),68,1894,R
110,108.,Reggie Jackson+ (23),68,1969,L
111,108.,Mark McGwire (32),68,1996,R
112,108.,Alex Rodriguez (31),68,2007,R
113,108.,Frank Thomas+ (27),68,1995,R
114,108.,Ted Williams+ (35),68,1954,L
115,108.,Carl Yastrzemski+ (30),68,1970,L
116,117.,Jose Bautista (30),67,2011,R
117,117.,Albert Belle (31),67,1998,R
118,117.,Wade Boggs+ (29),67,1987,L
119,117.,Dan Brouthers+ (28),67,1886,L
120,117.,Ed Delahanty+ (28),67,1896,R
121,117.,Joe DiMaggio+ (26),67,1941,R
122,117.,Lou Gehrig+ (32),67,1935,L
123,117.,Hank Greenberg+ (26),67,1937,R
124,117.,Billy Hamilton+ (28),67,1894,L
125,117.,Todd Helton (26),67,2000,L
126,117.,Derrek Lee (29),67,2005,R
127,117.,Albert Pujols (24),67,2004,R
128,117.,Al Rosen (29),67,1953,R
129,117.,Babe Ruth+ (34),67,1929,L
130,117.,Joey Votto (31),67,2015,L
131,132.,Dick Allen (30),66,1972,R
132,132.,George Brett+ (27),66,1980,L
133,132.,George Brett+ (32),66,1985,L
134,132.,Ty Cobb+ (23),66,1910,L
