,Rank,Player (age that year),Adj. Pitching Runs,Year,Throws
129,129.,Kevin Appier (25),51,1993,R
130,129.,Dizzy Dean+ (24),51,1934,R
131,129.,Jacob deGrom (30),51,2018,R
132,129.,Bob Feller+ (27),51,1946,R
133,129.,Walter Johnson+ (27),51,1915,R
134,129.,Walter Johnson+ (31),51,1919,R
135,129.,Mel Parnell (27),51,1949,L
136,137.,Johnny Antonelli (24),50,1954,L
137,137.,Charlie Buffinton (30),50,1891,R
138,137.,Roger Clemens (24),50,1987,R
139,137.,Roger Clemens (27),50,1990,R
140,137.,Roger Clemens (35),50,1998,R
141,137.,Nig Cuppy (25),50,1895,R
142,137.,Bob Gibson+ (33),50,1969,R
143,137.,Lefty Grove+ (37),50,1937,L
144,137.,Tim Keefe+ (27),50,1884,R
145,137.,Silver King (21),50,1889,R
146,137.,Corey Kluber (31),50,2017,R
147,137.,Tony Mullane (25),50,1884,R
148,137.,John Tudor (31),50,1985,L
149,150.,Mark Baldwin (26),49,1890,R
150,150.,Bob Caruthers (22),49,1886,R
151,150.,Roger Clemens (23),49,1986,R
152,150.,Gerrit Cole (28),49,2019,R
153,150.,Red Faber+ (33),49,1922,R
154,150.,George Haddock (24),49,1891,R
155,150.,Mel Harder (24),49,1934,R
156,150.,Walter Johnson+ (30),49,1918,R
157,150.,Jimmy Key (26),49,1987,L
158,150.,Derek Lowe (29),49,2002,R
159,150.,Juan Marichal+ (28),49,1966,R
160,150.,Pedro Martinez+ (31),49,2003,R
161,150.,Joe McGinnity+ (32),49,1903,R
162,150.,Doc McJames (23),49,1898,R
163,150.,Gaylord Perry+ (33),49,1972,R
164,150.,Bret Saberhagen (25),49,1989,R
165,150.,Ed Walsh+ (31),49,1912,R
166,167.,Ewell Blackwell (24),48,1947,R
167,167.,Harry Brecheen (33),48,1948,L
168,167.,Bob Caruthers (23),48,1887,R
169,167.,Eddie Cicotte (35),48,1919,R
170,167.,Tim Keefe+ (31),48,1888,R
171,167.,Sandy Koufax+ (29),48,1965,L
172,167.,Juan Marichal+ (27),48,1965,R
173,167.,Joe McGinnity+ (28),48,1899,R
174,167.,Sadie McMahon (23),48,1891,R
175,167.,Ed Morris (21),48,1884,L
176,167.,Kid Nichols+ (24),48,1894,R
177,167.,Ed Reulbach (22),48,1905,R
178,167.,Curt Schilling (34),48,2001,R
179,167.,Justin Verlander (28),48,2011,R
180,167.,Cy Young+ (32),48,1899,R
181,182.,Pete Alexander+ (29),47,1916,R
182,182.,Bert Blyleven+ (22),47,1973,R
183,182.,Steve Carlton+ (35),47,1980,L
184,182.,Stan Coveleski+ (30),47,1920,R
185,182.,Cy Falkenberg (34),47,1914,R
186,182.,Walter Johnson+ (26),47,1914,R
187,182.,Dolf Luque (34),47,1925,R
188,182.,Pedro Martinez+ (26),47,1998,R
189,182.,Pedro Martinez+ (30),47,2002,R
190,182.,Jumbo McGinnis (29),47,1883,
191,182.,Dave Stieb (27),47,1985,R
192,182.,Jack Stivetts (23),47,1891,R
193,182.,Jack Taylor (28),47,1902,R
194,182.,Rube Waddell+ (25),47,1902,L
195,196.,Tommy Bond (23),46,1879,R
196,196.,Kevin Brown (33),46,1998,R
197,196.,Kevin Brown (35),46,2000,R
198,196.,Roger Clemens (28),46,1991,R
199,196.,Mort Cooper (29),46,1942,R
200,196.,Randy Johnson+ (40),46,2004,L
201,196.,Clayton Kershaw (25),46,2013,L
202,196.,Sandy Koufax+ (27),46,1963,L
203,196.,Greg Maddux+ (27),46,1993,R
204,196.,Bobo Newsom (32),46,1940,R
205,196.,Kid Nichols+ (21),46,1891,R
206,196.,Jim Palmer+ (27),46,1973,R
207,196.,Billy Pierce (28),46,1955,L
208,196.,Jose Rijo (28),46,1993,R
209,196.,Blake Snell (25),46,2018,L
210,196.,Frank Viola (27),46,1987,L
211,196.,Ed Walsh+ (27),46,1908,R
212,196.,Bucky Walters (31),46,1940,R
213,196.,Lon Warneke (23),46,1932,R
214,196.,Early Wynn+ (36),46,1956,R
215,216.,Mordecai Brown+ (29),45,1906,R
216,216.,Mordecai Brown+ (32),45,1909,R
217,216.,Charlie Buffinton (27),45,1888,R
218,216.,Mike Caldwell (29),45,1978,L
219,216.,Eddie Cicotte (33),45,1917,R
220,216.,Jack Coombs (27),45,1910,R
221,216.,Frank Dwyer (28),45,1896,R
222,216.,Tom Glavine+ (32),45,1998,L
223,216.,Lefty Grove+ (39),45,1939,L
224,216.,Roy Halladay+ (33),45,2010,R
225,216.,Tim Hudson (27),45,2003,R
226,216.,Tim Keefe+ (28),45,1885,R
227,216.,Greg Maddux+ (34),45,2000,R
228,216.,Christy Mathewson+ (22),45,1903,R
229,216.,Phil Niekro+ (35),45,1974,R
230,216.,Herb Pennock+ (30),45,1924,L
231,216.,Andy Pettitte (33),45,2005,L
232,216.,Johnny Sain (30),45,1948,R
233,216.,Johan Santana (27),45,2006,L
234,216.,Jason Schmidt (30),45,2003,R
235,216.,Herb Score (23),45,1956,L
236,216.,Mike Scott (31),45,1986,R
237,216.,George Uhle (27),45,1926,R
238,216.,Jim Whitney (25),45,1883,R
239,240.,Johnny Allen (31),44,1936,R
240,240.,Jim Bunning+ (34),44,1966,R
241,240.,John Clarkson+ (24),44,1886,R
242,240.,Dave Davenport (25),44,1915,R
243,240.,Mark Eichhorn (25),44,1986,R
244,240.,Dick Ellsworth (23),44,1963,L
245,240.,Felix Hernandez (23),44,2009,R
246,240.,Walter Johnson+ (36),44,1924,R
247,240.,Frank Killen (22),44,1893,L
248,240.,Tim Lincecum (24),44,2008,R
249,240.,Esteban Loaiza (31),44,2003,R
250,240.,Juan Marichal+ (31),44,1969,R
251,240.,Jim McCormick (26),44,1883,R
252,240.,Kevin Millwood (24),44,1999,R
253,240.,Robin Roberts+ (27),44,1954,R
254,240.,Johan Santana (29),44,2008,L
255,240.,Tom Seaver+ (24),44,1969,R
256,240.,Ed Walsh+ (29),44,1910,R
257,240.,Ed Walsh+ (30),44,1911,R
258,259.,Gene Bearden (27),43,1948,L
259,259.,Larry Benton (30),43,1928,R
260,259.,Charlie Buffinton (28),43,1889,R
261,259.,John Candelaria (23),43,1977,L
262,259.,Jack Chesbro+ (30),43,1904,R
263,259.,Roger Clemens (29),43,1992,R
264,259.,Curt Davis (30),43,1934,R
265,259.,Red Ehret (21),43,1890,R
266,259.,Wes Ferrell (22),43,1930,R
267,259.,Vean Gregg (26),43,1911,L
268,259.,Juan Guzman (29),43,1996,R
269,259.,Roy Halladay+ (32),43,2009,R
270,259.,Bill Hands (29),43,1969,R
271,259.,Felix Hernandez (24),43,2010,R
272,259.,Ken Hill (30),43,1996,R
273,259.,Walter Johnson+ (22),43,1910,R
274,259.,Cliff Lee (29),43,2008,L
275,259.,Bob Lemon+ (27),43,1948,R
276,259.,Dutch Leonard (22),43,1914,L
277,259.,Tim Lincecum (25),43,2009,R
278,259.,Greg Maddux+ (26),43,1992,R
279,259.,Greg Maddux+ (30),43,1996,R
280,259.,Christy Mathewson+ (27),43,1908,R
281,259.,Andy Messersmith (29),43,1975,R
282,259.,Hal Newhouser+ (23),43,1944,L
283,259.,Kid Nichols+ (29),43,1899,R
284,259.,Mike Norris (25),43,1980,R
285,259.,Andy Pettitte (25),43,1997,L
286,259.,Red Ruffing+ (32),43,1937,R
287,259.,CC Sabathia (27),43,2008,L
288,259.,Bobby Shantz (26),43,1952,L
289,259.,Al Spalding+ (25),43,1876,R
290,259.,Tommy Thomas (27),43,1927,R
291,259.,Virgil Trucks (32),43,1949,R
292,259.,Whit Wyatt (33),43,1941,R
293,294.,Pete Alexander+ (40),42,1927,R
294,294.,Ralph Branca (21),42,1947,R
295,294.,Tommy Bridges (29),42,1936,R
296,294.,Chris Carpenter (34),42,2009,R
297,294.,Spud Chandler (35),42,1943,R
298,294.,Lefty Grove+ (29),42,1929,L
299,294.,Noodles Hahn (20),42,1899,L
300,294.,Mike Hampton (26),42,1999,L
301,294.,Egyptian Healy (23),42,1890,R
302,294.,Guy Hecker (29),42,1885,R
303,294.,Teddy Higuera (28),42,1986,L
304,294.,Catfish Hunter+ (29),42,1975,R
305,294.,Bill Hutchison (31),42,1891,R
306,294.,Clayton Kershaw (27),42,2015,L
307,294.,Frank Kitson (29),42,1899,R
308,294.,Christy Mathewson+ (30),42,1911,R
309,294.,Christy Mathewson+ (31),42,1912,R
310,294.,Al Maul (32),42,1898,R
311,294.,Bobo Newsom (31),42,1939,R
312,294.,Aaron Nola (25),42,2018,R
313,294.,Gaylord Perry+ (35),42,1974,R
314,294.,Mark Prior (22),42,2003,R
315,294.,Old Hoss Radbourn+ (35),42,1890,R
316,294.,Rick Reuschel (28),42,1977,R
317,294.,Max Scherzer (32),42,2017,R
318,294.,Bob Shawkey (29),42,1920,R
319,294.,Urban Shocker (31),42,1922,R
320,294.,Lefty Stewart (29),42,1930,L
321,322.,Hank Aguirre (31),41,1962,L
322,322.,Jim Bagby (30),41,1920,R
323,322.,Tommy Bond (21),41,1877,R
324,322.,Stan Coveleski+ (35),41,1925,R
325,322.,Jacob deGrom (31),41,2019,R
326,322.,Clark Griffith+ (25),41,1895,R
327,322.,Lefty Grove+ (26),41,1926,L
328,322.,Kyle Hendricks (26),41,2016,R
329,322.,Walter Johnson+ (23),41,1911,R
330,322.,Matt Kilroy (23),41,1889,L
331,322.,Sandy Koufax+ (28),41,1964,L
332,322.,Christy Mathewson+ (28),41,1909,R
333,322.,Carl Mays (29),41,1921,R
334,322.,Sadie McMahon (26),41,1894,R
335,322.,Mike Mussina+ (23),41,1992,R
336,322.,Jake Peavy (26),41,2007,R
337,322.,Eppa Rixey+ (34),41,1925,L
338,322.,Robin Roberts+ (25),41,1952,R
339,322.,Johan Santana (26),41,2005,L
340,322.,Bill Sweeney (26),41,1884,R
341,322.,Justin Verlander (35),41,2018,R
342,322.,Frank Viola (28),41,1988,L
343,344.,Cy Blanton (26),40,1935,R
344,344.,Steve Carlton+ (32),40,1977,L
345,344.,General Crowder (33),40,1932,R
346,344.,Don Drysdale+ (27),40,1964,R
347,344.,Russ Ford (31),40,1914,R
348,344.,Whitey Ford+ (35),40,1964,L
349,344.,Lefty Grove+ (28),40,1928,L
350,344.,Jesse Haines+ (33),40,1927,R
351,344.,Teddy Higuera (30),40,1988,L
352,344.,Jay Hughes (25),40,1899,R
353,344.,Tim Keefe+ (29),40,1886,R
354,344.,Clayton Kershaw (26),40,2014,L
355,344.,Clayton Kershaw (28),40,2016,L
356,344.,Darryl Kile (28),40,1997,R
357,344.,Ray Kremer (32),40,1927,R
358,344.,Bill Lee (28),40,1938,R
359,344.,Jon Lester (32),40,2016,L
360,344.,Chris Sale (29),40,2018,L
361,344.,Max Scherzer (33),40,2018,R
362,344.,Curt Schilling (37),40,2004,R
363,344.,Tom Seaver+ (32),40,1977,R
364,344.,Ben Sheets (25),40,2004,R
365,344.,Dave Stieb (26),40,1984,R
366,344.,Frank Tanana (23),40,1977,L
367,344.,Luis Tiant (27),40,1968,R
368,344.,Rube Waddell+ (27),40,1904,L
369,344.,Rube Waddell+ (28),40,1905,L
370,344.,Jered Weaver (28),40,2011,R
371,344.,Brandon Webb (28),40,2007,R
372,344.,Hoyt Wilhelm+ (36),40,1959,R
373,344.,Vic Willis+ (25),40,1901,R
374,344.,Barry Zito (24),40,2002,L
375,376.,Pete Alexander+ (30),39,1917,R
376,376.,Johnny Allen (32),39,1937,R
377,376.,Trevor Bauer (27),39,2018,R
378,376.,Spud Chandler (38),39,1946,R
379,376.,David Cone (31),39,1994,R
380,376.,Dizzy Dean+ (25),39,1935,R
381,376.,Dennis Eckersley+ (24),39,1979,R
382,376.,Wes Ferrell (27),39,1935,R
383,376.,Noodles Hahn (23),39,1902,L
384,376.,Roy Halladay+ (25),39,2002,R
385,376.,Roy Halladay+ (26),39,2003,R
386,376.,Roy Halladay+ (34),39,2011,R
387,376.,Mel Harder (25),39,1935,R
388,376.,Carl Hubbell+ (29),39,1932,L
389,376.,Ubaldo Jimenez (26),39,2010,R
390,376.,Jim Kern (30),39,1979,R
391,376.,Silver King (19),39,1887,R
392,376.,Al Leiter (32),39,1998,L
393,376.,Ted Lyons+ (26),39,1927,R
394,376.,Wilcy Moore (30),39,1927,R
395,376.,Johnny Rigney (25),39,1940,R
396,376.,Red Ruffing+ (34),39,1939,R
397,376.,Chris Sale (28),39,2017,L
398,376.,Tom Seaver+ (25),39,1970,R
399,376.,John Smoltz+ (29),39,1996,R
400,376.,Monty Stratton (25),39,1937,R
401,376.,Dizzy Trout (31),39,1946,R
402,376.,Justin Verlander (29),39,2012,R
403,376.,Lon Warneke (24),39,1933,R
404,376.,Brandon Webb (27),39,2006,R
405,406.,Sheriff Blake (28),38,1928,R
406,406.,Kevin Brown (32),38,1997,R
407,406.,Kevin Brown (38),38,2003,R
408,406.,Tom Candiotti (33),38,1991,R
409,406.,Chris Carpenter (30),38,2005,R
410,406.,John Clarkson+ (29),38,1891,R
411,406.,Roger Clemens (31),38,1994,R
412,406.,Roger Clemens (33),38,1996,R
413,406.,Larry Dierker (22),38,1969,R
414,406.,Charlie Ferguson (24),38,1887,R
415,406.,Alex Fernandez (26),38,1996,R
416,406.,Whitey Ford+ (27),38,1956,L
417,406.,Kyle Freeland (25),38,2018,L
418,406.,Lefty Gomez+ (22),38,1931,L
419,406.,Roy Halladay+ (31),38,2008,R
420,406.,Felix Hernandez (28),38,2014,R
421,406.,Art Houtteman (22),38,1950,R
422,406.,Waite Hoyt+ (27),38,1927,R
423,406.,Addie Joss+ (28),38,1908,R
424,406.,Dallas Keuchel (27),38,2015,L
425,406.,Jerry Koosman (26),38,1969,L
426,406.,Cliff Lee (32),38,2011,L
427,406.,Sam McDowell (22),38,1965,L
428,406.,Denny McLain (24),38,1968,R
429,406.,Mike Mussina+ (25),38,1994,R
430,406.,Charles Nagy (29),38,1996,R
431,406.,Roy Oswalt (28),38,2006,R
432,406.,Jim Palmer+ (31),38,1977,R
433,406.,Herb Pennock+ (31),38,1925,L
434,406.,Billy Pierce (26),38,1953,L
435,406.,Steve Rogers (32),38,1982,R
436,406.,Nap Rucker (27),38,1912,L
437,406.,Amos Rusie+ (19),38,1890,R
438,406.,Hyun Jin Ryu (32),38,2019,L
439,406.,Jesse Tannehill (24),38,1899,L
440,406.,Justin Thompson (24),38,1997,L
441,406.,Adam Wainwright (27),38,2009,R
442,406.,Adam Wainwright (28),38,2010,R
443,406.,Tim Wakefield (28),38,1995,R
444,406.,Mickey Welch+ (29),38,1889,R
445,406.,Gus Weyhing (23),38,1890,R
446,406.,Mike Witt (25),38,1986,R
447,448.,Babe Adams (29),37,1911,R
448,448.,Kevin Appier (24),37,1992,R
449,448.,Tommy Bond (20),37,1876,R
450,448.,Theodore Breitenstein (25),37,1894,L
451,448.,Steve Carlton+ (24),37,1969,L
452,448.,David Cone (34),37,1997,R
453,448.,Johnny Cueto (28),37,2014,R
454,448.,Ned Garver (24),37,1950,R
455,448.,Zack Greinke (35),37,2019,R
456,448.,Mark Gubicza (25),37,1988,R
457,448.,Rich Harden (26),37,2008,R
458,448.,Bill Hoffer (25),37,1896,R
459,448.,Joe Horlen (26),37,1964,R
460,448.,Bill James (22),37,1914,R
461,448.,Josh Johnson (26),37,2010,R
462,448.,Sad Sam Jones (28),37,1921,R
463,448.,Tim Keefe+ (30),37,1887,R
464,448.,Clayton Kershaw (23),37,2011,L
465,448.,Clayton Kershaw (29),37,2017,L
466,448.,Bill Lee (26),37,1973,L
467,448.,Sam Leever (31),37,1903,R
468,448.,Jon Matlack (28),37,1978,L
469,448.,Joe Mays (25),37,2001,R
470,448.,Denny McLain (25),37,1969,R
471,448.,Kris Medlen (26),37,2012,R
472,448.,Mike Mussina+ (26),37,1995,R
473,448.,Hal Newhouser+ (27),37,1948,L
474,448.,Kid Nichols+ (22),37,1892,R
475,448.,Robin Roberts+ (23),37,1950,R
476,448.,Reb Russell (24),37,1913,L
477,448.,Babe Ruth+ (21),37,1916,L
478,448.,Bret Saberhagen (23),37,1987,R
479,448.,Curt Schilling (35),37,2002,R
480,448.,Tom Seaver+ (30),37,1975,R
481,448.,Bob Shawkey (31),37,1922,R
482,448.,Dave Stieb (25),37,1983,R
483,448.,Don Sutton+ (27),37,1972,R
484,448.,Jim Turner (33),37,1937,R
485,448.,Dazzy Vance+ (36),37,1927,R
486,448.,Ed Walsh+ (26),37,1907,R
487,448.,Mickey Welch+ (28),37,1888,R
488,448.,Gus Weyhing (24),37,1891,R
489,490.,Mike Cuellar (32),36,1969,L
490,490.,Pete Donohue (24),36,1925,R
491,490.,Red Ehret (27),36,1896,R
492,490.,Bob Feller+ (22),36,1941,R
493,490.,Whitey Ford+ (29),36,1958,L
494,490.,Burleigh Grimes+ (35),36,1929,R
495,490.,Tim Hudson (26),36,2002,R
496,490.,Tex Hughson (26),36,1942,R
497,490.,Fergie Jenkins+ (28),36,1971,R
498,490.,Walter Johnson+ (28),36,1916,R
499,490.,Frank Killen (25),36,1896,L
500,490.,Corey Kluber (28),36,2014,R
501,490.,Greg Maddux+ (35),36,2001,R
502,490.,Bobby Mathews (33),36,1885,R
503,490.,Christy Mathewson+ (29),36,1910,R
504,490.,Christy Mathewson+ (32),36,1913,R
505,490.,George Mogridge (32),36,1921,L
506,490.,Phil Niekro+ (39),36,1978,R
507,490.,Jim Palmer+ (32),36,1978,R
508,490.,Claude Passeau (31),36,1940,R
509,490.,David Price (29),36,2015,L
510,490.,Bob Purkey (32),36,1962,R
511,490.,Mariano Rivera+ (26),36,1996,R
512,490.,Red Ruffing+ (33),36,1938,R
513,490.,Amos Rusie+ (24),36,1895,R
514,490.,Nolan Ryan+ (30),36,1977,R
515,490.,Bill Singer (25),36,1969,R
516,490.,Mike Soroka (21),36,2019,R
517,490.,Dave Stewart (33),36,1990,R
518,490.,Dave Stieb (24),36,1982,R
519,490.,Jack Stivetts (21),36,1889,R
520,490.,Stephen Strasburg (28),36,2017,R
521,490.,Kevin Tapani (27),36,1991,R
522,490.,Bill Walker (27),36,1931,L
523,490.,Mickey Welch+ (24),36,1884,R
524,490.,Dontrelle Willis (23),36,2005,L
525,490.,Cy Young+ (41),36,1908,R
526,490.,Carlos Zambrano (23),36,2004,R
